FIPS	State	County	Variable	african_american
1001	Alabama	Autauga	african_american	18.3
1003	Alabama	Baldwin	african_american	9.6
1005	Alabama	Barbour	african_american	46.4
1007	Alabama	Bibb	african_american	22.2
1009	Alabama	Blount	african_american	1.7
1011	Alabama	Bullock	african_american	68.3
1013	Alabama	Butler	african_american	43.2
1015	Alabama	Calhoun	african_american	20.6
1017	Alabama	Chambers	african_american	38.5
1019	Alabama	Cherokee	african_american	4.9
1021	Alabama	Chilton	african_american	9.9
1023	Alabama	Choctaw	african_american	43.2
1025	Alabama	Clarke	african_american	43.8
1027	Alabama	Clay	african_american	15
1029	Alabama	Cleburne	african_american	3.9
1031	Alabama	Coffee	african_american	17
1033	Alabama	Colbert	african_american	16.2
1035	Alabama	Conecuh	african_american	46.2
1037	Alabama	Coosa	african_american	30.7
1039	Alabama	Covington	african_american	12.8
1041	Alabama	Crenshaw	african_american	24
1043	Alabama	Cullman	african_american	1.3
1045	Alabama	Dale	african_american	19.3
1047	Alabama	Dallas	african_american	69
1049	Alabama	DeKalb	african_american	1.8
1051	Alabama	Elmore	african_american	20.9
1053	Alabama	Escambia	african_american	31.9
1055	Alabama	Etowah	african_american	15.3
1057	Alabama	Fayette	african_american	11.6
1059	Alabama	Franklin	african_american	4.1
1061	Alabama	Geneva	african_american	9.9
1063	Alabama	Greene	african_american	80.1
1065	Alabama	Hale	african_american	58
1067	Alabama	Henry	african_american	28.1
1069	Alabama	Houston	african_american	25.9
1071	Alabama	Jackson	african_american	3.5
1073	Alabama	Jefferson	african_american	41.9
1075	Alabama	Lamar	african_american	11.5
1077	Alabama	Lauderdale	african_american	10.1
1079	Alabama	Lawrence	african_american	11.6
1081	Alabama	Lee	african_american	22.7
1083	Alabama	Limestone	african_american	13
1085	Alabama	Lowndes	african_american	72.4
1087	Alabama	Macon	african_american	80.8
1089	Alabama	Madison	african_american	24
1091	Alabama	Marengo	african_american	51.4
1093	Alabama	Marion	african_american	4.2
1095	Alabama	Marshall	african_american	1.9
1097	Alabama	Mobile	african_american	34.7
1099	Alabama	Monroe	african_american	41.4
1101	Alabama	Montgomery	african_american	54.6
1103	Alabama	Morgan	african_american	12.1
1105	Alabama	Perry	african_american	67.6
1107	Alabama	Pickens	african_american	41.2
1109	Alabama	Pike	african_american	36.6
1111	Alabama	Randolph	african_american	20.3
1113	Alabama	Russell	african_american	41.2
1115	Alabama	St. Clair	african_american	8.9
1117	Alabama	Shelby	african_american	11.2
1119	Alabama	Sumter	african_american	73.2
1121	Alabama	Talladega	african_american	31.8
1123	Alabama	Tallapoosa	african_american	26.5
1125	Alabama	Tuscaloosa	african_american	29.8
1127	Alabama	Walker	african_american	6.1
1129	Alabama	Washington	african_american	25
1131	Alabama	Wilcox	african_american	71.7
1133	Alabama	Winston	african_american	1
2013	Alaska	Aleutians East	african_american	7.1
2016	Alaska	Aleutians West	african_american	6.3
2020	Alaska	Anchorage	african_american	5.3
2050	Alaska	Bethel	african_american	0.6
2060	Alaska	Bristol Bay	african_american	0.2
2068	Alaska	Denali	african_american	0.9
2070	Alaska	Dillingham	african_american	0.4
2090	Alaska	Fairbanks North Star	african_american	4.6
2100	Alaska	Haines	african_american	0.6
2110	Alaska	Juneau	african_american	1.1
2122	Alaska	Kenai Peninsula	african_american	0.6
2130	Alaska	Ketchikan Gateway	african_american	0.7
2150	Alaska	Kodiak Island	african_american	1
2164	Alaska	Lake and Peninsula	african_american	1
2170	Alaska	Matanuska-Susitna	african_american	1.1
2180	Alaska	Nome	african_american	0.5
2185	Alaska	North Slope	african_american	1.1
2188	Alaska	Northwest Arctic	african_american	0.6
2201	Alaska	Prince of Wales-Outer Ketchikan	african_american	0.5
2220	Alaska	Sitka	african_american	0.8
