FIPS	State	County	Variable	age_adjusted_premature_mortality
1001	Alabama	Autauga	age_adjusted_premature_mortality	439.5
1003	Alabama	Baldwin	age_adjusted_premature_mortality	365
1005	Alabama	Barbour	age_adjusted_premature_mortality	459.3
1007	Alabama	Bibb	age_adjusted_premature_mortality	541.8
1009	Alabama	Blount	age_adjusted_premature_mortality	426.2
1011	Alabama	Bullock	age_adjusted_premature_mortality	514.8
1013	Alabama	Butler	age_adjusted_premature_mortality	553
1015	Alabama	Calhoun	age_adjusted_premature_mortality	532.3
1017	Alabama	Chambers	age_adjusted_premature_mortality	531.1
1019	Alabama	Cherokee	age_adjusted_premature_mortality	466.5
1021	Alabama	Chilton	age_adjusted_premature_mortality	521.7
1023	Alabama	Choctaw	age_adjusted_premature_mortality	515.6
1025	Alabama	Clarke	age_adjusted_premature_mortality	452.2
1027	Alabama	Clay	age_adjusted_premature_mortality	500.7
1029	Alabama	Cleburne	age_adjusted_premature_mortality	531.6
1031	Alabama	Coffee	age_adjusted_premature_mortality	398.2
1033	Alabama	Colbert	age_adjusted_premature_mortality	493.2
1035	Alabama	Conecuh	age_adjusted_premature_mortality	572.9
1037	Alabama	Coosa	age_adjusted_premature_mortality	525.8
1039	Alabama	Covington	age_adjusted_premature_mortality	473.9
1041	Alabama	Crenshaw	age_adjusted_premature_mortality	499
1043	Alabama	Cullman	age_adjusted_premature_mortality	467
1045	Alabama	Dale	age_adjusted_premature_mortality	453.1
1047	Alabama	Dallas	age_adjusted_premature_mortality	585.4
1049	Alabama	DeKalb	age_adjusted_premature_mortality	475.2
1051	Alabama	Elmore	age_adjusted_premature_mortality	432.5
1053	Alabama	Escambia	age_adjusted_premature_mortality	497.3
1055	Alabama	Etowah	age_adjusted_premature_mortality	553.8
1057	Alabama	Fayette	age_adjusted_premature_mortality	542.8
1059	Alabama	Franklin	age_adjusted_premature_mortality	546.5
1061	Alabama	Geneva	age_adjusted_premature_mortality	459.2
1063	Alabama	Greene	age_adjusted_premature_mortality	487.3
1065	Alabama	Hale	age_adjusted_premature_mortality	594.7
1067	Alabama	Henry	age_adjusted_premature_mortality	456
1069	Alabama	Houston	age_adjusted_premature_mortality	414.9
1071	Alabama	Jackson	age_adjusted_premature_mortality	524.6
1073	Alabama	Jefferson	age_adjusted_premature_mortality	495.7
1075	Alabama	Lamar	age_adjusted_premature_mortality	521.4
1077	Alabama	Lauderdale	age_adjusted_premature_mortality	421.9
1079	Alabama	Lawrence	age_adjusted_premature_mortality	520.3
1081	Alabama	Lee	age_adjusted_premature_mortality	381
1083	Alabama	Limestone	age_adjusted_premature_mortality	374
1085	Alabama	Lowndes	age_adjusted_premature_mortality	632.8
1087	Alabama	Macon	age_adjusted_premature_mortality	613.5
1089	Alabama	Madison	age_adjusted_premature_mortality	372
1091	Alabama	Marengo	age_adjusted_premature_mortality	505.2
1093	Alabama	Marion	age_adjusted_premature_mortality	502.9
1095	Alabama	Marshall	age_adjusted_premature_mortality	509.4
1097	Alabama	Mobile	age_adjusted_premature_mortality	490
1099	Alabama	Monroe	age_adjusted_premature_mortality	502.8
