FIPS	State	County	Variable	acsc_rate
1001	Alabama	Autauga	acsc_rate	71
1003	Alabama	Baldwin	acsc_rate	56
1005	Alabama	Barbour	acsc_rate	109
1007	Alabama	Bibb	acsc_rate	87
1009	Alabama	Blount	acsc_rate	95
1011	Alabama	Bullock	acsc_rate	117
1013	Alabama	Butler	acsc_rate	143
1015	Alabama	Calhoun	acsc_rate	99
1017	Alabama	Chambers	acsc_rate	89
1019	Alabama	Cherokee	acsc_rate	116
1021	Alabama	Chilton	acsc_rate	68
1023	Alabama	Choctaw	acsc_rate	64
1025	Alabama	Clarke	acsc_rate	108
1027	Alabama	Clay	acsc_rate	144
1029	Alabama	Cleburne	acsc_rate	92
1031	Alabama	Coffee	acsc_rate	95
1033	Alabama	Colbert	acsc_rate	70
1035	Alabama	Conecuh	acsc_rate	179
1037	Alabama	Coosa	acsc_rate	100
1039	Alabama	Covington	acsc_rate	153
1041	Alabama	Crenshaw	acsc_rate	88
1043	Alabama	Cullman	acsc_rate	65
1045	Alabama	Dale	acsc_rate	79
1047	Alabama	Dallas	acsc_rate	85
1049	Alabama	DeKalb	acsc_rate	95
1051	Alabama	Elmore	acsc_rate	84
1053	Alabama	Escambia	acsc_rate	130
1055	Alabama	Etowah	acsc_rate	92
1057	Alabama	Fayette	acsc_rate	79
1059	Alabama	Franklin	acsc_rate	113
1061	Alabama	Geneva	acsc_rate	108
1063	Alabama	Greene	acsc_rate	133
1065	Alabama	Hale	acsc_rate	99
1067	Alabama	Henry	acsc_rate	55
1069	Alabama	Houston	acsc_rate	63
1071	Alabama	Jackson	acsc_rate	126
1073	Alabama	Jefferson	acsc_rate	56
1075	Alabama	Lamar	acsc_rate	113
1077	Alabama	Lauderdale	acsc_rate	66
1079	Alabama	Lawrence	acsc_rate	103
1081	Alabama	Lee	acsc_rate	58
1083	Alabama	Limestone	acsc_rate	76
1085	Alabama	Lowndes	acsc_rate	66
1087	Alabama	Macon	acsc_rate	51
1089	Alabama	Madison	acsc_rate	56
1091	Alabama	Marengo	acsc_rate	104
1093	Alabama	Marion	acsc_rate	137
1095	Alabama	Marshall	acsc_rate	96
1097	Alabama	Mobile	acsc_rate	72
1099	Alabama	Monroe	acsc_rate	97
1101	Alabama	Montgomery	acsc_rate	59
1103	Alabama	Morgan	acsc_rate	95
1105	Alabama	Perry	acsc_rate	82
1107	Alabama	Pickens	acsc_rate	88
1109	Alabama	Pike	acsc_rate	96
1111	Alabama	Randolph	acsc_rate	115
1113	Alabama	Russell	acsc_rate	62
1115	Alabama	St. Clair	acsc_rate	85
1117	Alabama	Shelby	acsc_rate	57
1119	Alabama	Sumter	acsc_rate	64
1121	Alabama	Talladega	acsc_rate	101
1123	Alabama	Tallapoosa	acsc_rate	80
1125	Alabama	Tuscaloosa	acsc_rate	88
1127	Alabama	Walker	acsc_rate	83
1129	Alabama	Washington	acsc_rate	78
1131	Alabama	Wilcox	acsc_rate	71
1133	Alabama	Winston	acsc_rate	180
2013	Alaska	Aleutians East	acsc_rate	
2016	Alaska	Aleutians West	acsc_rate	
2020	Alaska	Anchorage	acsc_rate	44
2050	Alaska	Bethel	acsc_rate	132
2060	Alaska	Bristol Bay	acsc_rate	
2068	Alaska	Denali	acsc_rate	
2070	Alaska	Dillingham	acsc_rate	
2090	Alaska	Fairbanks North Star	acsc_rate	41
2100	Alaska	Haines	acsc_rate	
2110	Alaska	Juneau	acsc_rate	44
2122	Alaska	Kenai Peninsula	acsc_rate	57
2130	Alaska	Ketchikan Gateway	acsc_rate	69
2150	Alaska	Kodiak Island	acsc_rate	74
2164	Alaska	Lake and Peninsula	acsc_rate	
2170	Alaska	Matanuska-Susitna	acsc_rate	58
