FIPS	State	County	Variable	american_indian__alaskan_native
1001	Alabama	Autauga	american_indian__alaskan_native	0.5
1003	Alabama	Baldwin	american_indian__alaskan_native	0.7
1005	Alabama	Barbour	american_indian__alaskan_native	0.6
1007	Alabama	Bibb	american_indian__alaskan_native	0.3
1009	Alabama	Blount	american_indian__alaskan_native	0.6
1011	Alabama	Bullock	american_indian__alaskan_native	0.9
1013	Alabama	Butler	american_indian__alaskan_native	0.4
1015	Alabama	Calhoun	american_indian__alaskan_native	0.5
1017	Alabama	Chambers	american_indian__alaskan_native	0.2
1019	Alabama	Cherokee	american_indian__alaskan_native	0.6
1021	Alabama	Chilton	american_indian__alaskan_native	0.5
1023	Alabama	Choctaw	american_indian__alaskan_native	0.1
1025	Alabama	Clarke	american_indian__alaskan_native	0.4
1027	Alabama	Clay	american_indian__alaskan_native	0.4
1029	Alabama	Cleburne	american_indian__alaskan_native	0.4
1031	Alabama	Coffee	american_indian__alaskan_native	1.5
1033	Alabama	Colbert	american_indian__alaskan_native	0.5
1035	Alabama	Conecuh	american_indian__alaskan_native	0.4
1037	Alabama	Coosa	american_indian__alaskan_native	0.6
1039	Alabama	Covington	american_indian__alaskan_native	0.6
1041	Alabama	Crenshaw	american_indian__alaskan_native	0.4
1043	Alabama	Cullman	american_indian__alaskan_native	0.6
1045	Alabama	Dale	american_indian__alaskan_native	0.9
1047	Alabama	Dallas	american_indian__alaskan_native	0.2
1049	Alabama	DeKalb	american_indian__alaskan_native	2.2
1051	Alabama	Elmore	american_indian__alaskan_native	0.4
1053	Alabama	Escambia	american_indian__alaskan_native	3.4
1055	Alabama	Etowah	american_indian__alaskan_native	0.6
1057	Alabama	Fayette	american_indian__alaskan_native	0.4
1059	Alabama	Franklin	american_indian__alaskan_native	1.5
1061	Alabama	Geneva	american_indian__alaskan_native	0.9
1063	Alabama	Greene	american_indian__alaskan_native	0.2
1065	Alabama	Hale	american_indian__alaskan_native	0.2
1067	Alabama	Henry	american_indian__alaskan_native	0.4
1069	Alabama	Houston	american_indian__alaskan_native	0.5
1071	Alabama	Jackson	american_indian__alaskan_native	1.5
1073	Alabama	Jefferson	american_indian__alaskan_native	0.4
1075	Alabama	Lamar	american_indian__alaskan_native	0.2
1077	Alabama	Lauderdale	american_indian__alaskan_native	0.4
1079	Alabama	Lawrence	american_indian__alaskan_native	5.7
1081	Alabama	Lee	american_indian__alaskan_native	0.4
1083	Alabama	Limestone	american_indian__alaskan_native	0.9
1085	Alabama	Lowndes	american_indian__alaskan_native	0.2
1087	Alabama	Macon	american_indian__alaskan_native	0.2
1089	Alabama	Madison	american_indian__alaskan_native	0.8
1091	Alabama	Marengo	american_indian__alaskan_native	0.2
1093	Alabama	Marion	american_indian__alaskan_native	0.4
1095	Alabama	Marshall	american_indian__alaskan_native	1.2
1097	Alabama	Mobile	american_indian__alaskan_native	0.9
1099	Alabama	Monroe	american_indian__alaskan_native	1.1
1101	Alabama	Montgomery	american_indian__alaskan_native	0.4
1103	Alabama	Morgan	american_indian__alaskan_native	1.1
1105	Alabama	Perry	american_indian__alaskan_native	0.2
1107	Alabama	Pickens	american_indian__alaskan_native	0.2
1109	Alabama	Pike	american_indian__alaskan_native	0.6
1111	Alabama	Randolph	american_indian__alaskan_native	0.4
1113	Alabama	Russell	american_indian__alaskan_native	0.5
1115	Alabama	St. Clair	american_indian__alaskan_native	0.4
1117	Alabama	Shelby	american_indian__alaskan_native	0.4
1119	Alabama	Sumter	american_indian__alaskan_native	0.1
