FIPS	State	County	Variable	asian
1001	Alabama	Autauga	asian	0.9
1003	Alabama	Baldwin	asian	0.8
1005	Alabama	Barbour	asian	0.4
1007	Alabama	Bibb	asian	0.1
1009	Alabama	Blount	asian	0.2
1011	Alabama	Bullock	asian	0.2
1013	Alabama	Butler	asian	0.9
1015	Alabama	Calhoun	asian	0.8
1017	Alabama	Chambers	asian	0.6
1019	Alabama	Cherokee	asian	0.2
1021	Alabama	Chilton	asian	0.3
1023	Alabama	Choctaw	asian	0.2
1025	Alabama	Clarke	asian	0.4
1027	Alabama	Clay	asian	0.2
1029	Alabama	Cleburne	asian	0.2
1031	Alabama	Coffee	asian	1.3
1033	Alabama	Colbert	asian	0.5
1035	Alabama	Conecuh	asian	0.2
1037	Alabama	Coosa	asian	0.2
1039	Alabama	Covington	asian	0.5
1041	Alabama	Crenshaw	asian	1.8
1043	Alabama	Cullman	asian	0.5
1045	Alabama	Dale	asian	1.2
1047	Alabama	Dallas	asian	0.4
1049	Alabama	DeKalb	asian	0.4
1051	Alabama	Elmore	asian	0.7
1053	Alabama	Escambia	asian	0.3
1055	Alabama	Etowah	asian	0.7
1057	Alabama	Fayette	asian	0.3
1059	Alabama	Franklin	asian	0.3
1061	Alabama	Geneva	asian	0.3
1063	Alabama	Greene	asian	0.2
1065	Alabama	Hale	asian	0.3
1067	Alabama	Henry	asian	0.4
1069	Alabama	Houston	asian	0.9
1071	Alabama	Jackson	asian	0.4
1073	Alabama	Jefferson	asian	1.5
1075	Alabama	Lamar	asian	0.1
1077	Alabama	Lauderdale	asian	0.8
1079	Alabama	Lawrence	asian	0.2
1081	Alabama	Lee	asian	2.7
1083	Alabama	Limestone	asian	1.2
1085	Alabama	Lowndes	asian	0.3
1087	Alabama	Macon	asian	0.4
1089	Alabama	Madison	asian	2.5
1091	Alabama	Marengo	asian	0.3
1093	Alabama	Marion	asian	0.2
1095	Alabama	Marshall	asian	0.6
1097	Alabama	Mobile	asian	1.9
1099	Alabama	Monroe	asian	0.4
1101	Alabama	Montgomery	asian	2.1
