FIPS	State	County	Variable	chlamydia_rate
1001	Alabama	Autauga	chlamydia_rate	363
1003	Alabama	Baldwin	chlamydia_rate	306
1005	Alabama	Barbour	chlamydia_rate	645
1007	Alabama	Bibb	chlamydia_rate	327
1009	Alabama	Blount	chlamydia_rate	113
1011	Alabama	Bullock	chlamydia_rate	770
1013	Alabama	Butler	chlamydia_rate	645
1015	Alabama	Calhoun	chlamydia_rate	566
1017	Alabama	Chambers	chlamydia_rate	664
1019	Alabama	Cherokee	chlamydia_rate	258
1021	Alabama	Chilton	chlamydia_rate	197
1023	Alabama	Choctaw	chlamydia_rate	433
1025	Alabama	Clarke	chlamydia_rate	763
1027	Alabama	Clay	chlamydia_rate	395
1029	Alabama	Cleburne	chlamydia_rate	220
1031	Alabama	Coffee	chlamydia_rate	623
1033	Alabama	Colbert	chlamydia_rate	498
1035	Alabama	Conecuh	chlamydia_rate	605
1037	Alabama	Coosa	chlamydia_rate	477
1039	Alabama	Covington	chlamydia_rate	471
1041	Alabama	Crenshaw	chlamydia_rate	647
1043	Alabama	Cullman	chlamydia_rate	214
1045	Alabama	Dale	chlamydia_rate	444
1047	Alabama	Dallas	chlamydia_rate	1264
1049	Alabama	DeKalb	chlamydia_rate	179
1051	Alabama	Elmore	chlamydia_rate	478
1053	Alabama	Escambia	chlamydia_rate	446
1055	Alabama	Etowah	chlamydia_rate	545
1057	Alabama	Fayette	chlamydia_rate	302
1059	Alabama	Franklin	chlamydia_rate	202
1061	Alabama	Geneva	chlamydia_rate	433
1063	Alabama	Greene	chlamydia_rate	1238
1065	Alabama	Hale	chlamydia_rate	1326
1067	Alabama	Henry	chlamydia_rate	665
1069	Alabama	Houston	chlamydia_rate	750
1071	Alabama	Jackson	chlamydia_rate	154
1073	Alabama	Jefferson	chlamydia_rate	800
1075	Alabama	Lamar	chlamydia_rate	295
1077	Alabama	Lauderdale	chlamydia_rate	478
1079	Alabama	Lawrence	chlamydia_rate	402
1081	Alabama	Lee	chlamydia_rate	501
1083	Alabama	Limestone	chlamydia_rate	268
1085	Alabama	Lowndes	chlamydia_rate	903
1087	Alabama	Macon	chlamydia_rate	1040
1089	Alabama	Madison	chlamydia_rate	453
1091	Alabama	Marengo	chlamydia_rate	666
1093	Alabama	Marion	chlamydia_rate	150
1095	Alabama	Marshall	chlamydia_rate	188
1097	Alabama	Mobile	chlamydia_rate	785
1099	Alabama	Monroe	chlamydia_rate	663
1101	Alabama	Montgomery	chlamydia_rate	1175
1103	Alabama	Morgan	chlamydia_rate	433
1105	Alabama	Perry	chlamydia_rate	954
1107	Alabama	Pickens	chlamydia_rate	532
1109	Alabama	Pike	chlamydia_rate	1021
1111	Alabama	Randolph	chlamydia_rate	249
1113	Alabama	Russell	chlamydia_rate	816
1115	Alabama	St. Clair	chlamydia_rate	
1117	Alabama	Shelby	chlamydia_rate	191
1119	Alabama	Sumter	chlamydia_rate	1075
1121	Alabama	Talladega	chlamydia_rate	514
1123	Alabama	Tallapoosa	chlamydia_rate	428
1125	Alabama	Tuscaloosa	chlamydia_rate	620
1127	Alabama	Walker	chlamydia_rate	388
1129	Alabama	Washington	chlamydia_rate	438
1131	Alabama	Wilcox	chlamydia_rate	1071
1133	Alabama	Winston	chlamydia_rate	212
2013	Alaska	Aleutians East	chlamydia_rate	287
2016	Alaska	Aleutians West	chlamydia_rate	144
2020	Alaska	Anchorage	chlamydia_rate	908
2050	Alaska	Bethel	chlamydia_rate	2445
2060	Alaska	Bristol Bay	chlamydia_rate	201
2068	Alaska	Denali	chlamydia_rate	274
2070	Alaska	Dillingham	chlamydia_rate	1527
2090	Alaska	Fairbanks North Star	chlamydia_rate	823
2100	Alaska	Haines	chlamydia_rate	399
2110	Alaska	Juneau	chlamydia_rate	563
2122	Alaska	Kenai Peninsula	chlamydia_rate	338
2130	Alaska	Ketchikan Gateway	chlamydia_rate	861
2150	Alaska	Kodiak Island	chlamydia_rate	383
2164	Alaska	Lake and Peninsula	chlamydia_rate	613
2170	Alaska	Matanuska-Susitna	chlamydia_rate	453
2180	Alaska	Nome	chlamydia_rate	2813
2185	Alaska	North Slope	chlamydia_rate	1251
2188	Alaska	Northwest Arctic	chlamydia_rate	2738
2201	Alaska	Prince of Wales-Outer Ketchikan	chlamydia_rate	
2220	Alaska	Sitka	chlamydia_rate	563
2232	Alaska	Skagway-Hoonah-Angoon	chlamydia_rate	962
2240	Alaska	Southeast Fairbanks	chlamydia_rate	270
2261	Alaska	Valdez-Cordova	chlamydia_rate	457
2270	Alaska	Wade Hampton	chlamydia_rate	2802
2280	Alaska	Wrangell-Petersburg	chlamydia_rate	
2282	Alaska	Yakutat	chlamydia_rate	604
2290	Alaska	Yukon-Koyukuk	chlamydia_rate	1199
4001	Arizona	Apache	chlamydia_rate	646
4003	Arizona	Cochise	chlamydia_rate	299
4005	Arizona	Coconino	chlamydia_rate	542
4007	Arizona	Gila	chlamydia_rate	235
4009	Arizona	Graham	chlamydia_rate	344
4011	Arizona	Greenlee	chlamydia_rate	190
4012	Arizona	La Paz	chlamydia_rate	107
4013	Arizona	Maricopa	chlamydia_rate	408
4015	Arizona	Mohave	chlamydia_rate	139
4017	Arizona	Navajo	chlamydia_rate	559
4019	Arizona	Pima	chlamydia_rate	421
4021	Arizona	Pinal	chlamydia_rate	253
4023	Arizona	Santa Cruz	chlamydia_rate	297
4025	Arizona	Yavapai	chlamydia_rate	114
4027	Arizona	Yuma	chlamydia_rate	417
5001	Arkansas	Arkansas	chlamydia_rate	684
5003	Arkansas	Ashley	chlamydia_rate	837
5005	Arkansas	Baxter	chlamydia_rate	289
5007	Arkansas	Benton	chlamydia_rate	169
5009	Arkansas	Boone	chlamydia_rate	306
5011	Arkansas	Bradley	chlamydia_rate	591
5013	Arkansas	Calhoun	chlamydia_rate	261
5015	Arkansas	Carroll	chlamydia_rate	208
5017	Arkansas	Chicot	chlamydia_rate	610
5019	Arkansas	Clark	chlamydia_rate	944
5021	Arkansas	Clay	chlamydia_rate	118
5023	Arkansas	Cleburne	chlamydia_rate	254
5025	Arkansas	Cleveland	chlamydia_rate	334
5027	Arkansas	Columbia	chlamydia_rate	1234
5029	Arkansas	Conway	chlamydia_rate	226
5031	Arkansas	Craighead	chlamydia_rate	699
5033	Arkansas	Crawford	chlamydia_rate	194
5035	Arkansas	Crittenden	chlamydia_rate	1271
5037	Arkansas	Cross	chlamydia_rate	778
5039	Arkansas	Dallas	chlamydia_rate	887
5041	Arkansas	Desha	chlamydia_rate	884
5043	Arkansas	Drew	chlamydia_rate	729
5045	Arkansas	Faulkner	chlamydia_rate	423
5047	Arkansas	Franklin	chlamydia_rate	342
5049	Arkansas	Fulton	chlamydia_rate	147
5051	Arkansas	Garland	chlamydia_rate	334
5053	Arkansas	Grant	chlamydia_rate	247
5055	Arkansas	Greene	chlamydia_rate	304
5057	Arkansas	Hempstead	chlamydia_rate	1106
5059	Arkansas	Hot Spring	chlamydia_rate	416
5061	Arkansas	Howard	chlamydia_rate	950
5063	Arkansas	Independence	chlamydia_rate	415
5065	Arkansas	Izard	chlamydia_rate	139
5067	Arkansas	Jackson	chlamydia_rate	533
5069	Arkansas	Jefferson	chlamydia_rate	1285
5071	Arkansas	Johnson	chlamydia_rate	337
5073	Arkansas	Lafayette	chlamydia_rate	1007
5075	Arkansas	Lawrence	chlamydia_rate	293
5077	Arkansas	Lee	chlamydia_rate	959
5079	Arkansas	Lincoln	chlamydia_rate	368
5081	Arkansas	Little River	chlamydia_rate	737
5083	Arkansas	Logan	chlamydia_rate	300
5085	Arkansas	Lonoke	chlamydia_rate	323
5087	Arkansas	Madison	chlamydia_rate	153
5089	Arkansas	Marion	chlamydia_rate	132
5091	Arkansas	Miller	chlamydia_rate	960
5093	Arkansas	Mississippi	chlamydia_rate	1102
5095	Arkansas	Monroe	chlamydia_rate	1117
5097	Arkansas	Montgomery	chlamydia_rate	200
5099	Arkansas	Nevada	chlamydia_rate	800
5101	Arkansas	Newton	chlamydia_rate	132
5103	Arkansas	Ouachita	chlamydia_rate	865
5105	Arkansas	Perry	chlamydia_rate	249
5107	Arkansas	Phillips	chlamydia_rate	1066
5109	Arkansas	Pike	chlamydia_rate	372
5111	Arkansas	Poinsett	chlamydia_rate	631
5113	Arkansas	Polk	chlamydia_rate	276
5115	Arkansas	Pope	chlamydia_rate	468
5117	Arkansas	Prairie	chlamydia_rate	425
5119	Arkansas	Pulaski	chlamydia_rate	791
5121	Arkansas	Randolph	chlamydia_rate	340
5123	Arkansas	St. Francis	chlamydia_rate	1026
5125	Arkansas	Saline	chlamydia_rate	211
5127	Arkansas	Scott	chlamydia_rate	454
5129	Arkansas	Searcy	chlamydia_rate	207
5131	Arkansas	Sebastian	chlamydia_rate	446
5133	Arkansas	Sevier	chlamydia_rate	504
5135	Arkansas	Sharp	chlamydia_rate	267
5137	Arkansas	Stone	chlamydia_rate	73
5139	Arkansas	Union	chlamydia_rate	790
5141	Arkansas	Van Buren	chlamydia_rate	197
5143	Arkansas	Washington	chlamydia_rate	383
5145	Arkansas	White	chlamydia_rate	352
5147	Arkansas	Woodruff	chlamydia_rate	344
5149	Arkansas	Yell	chlamydia_rate	370
6001	California	Alameda	chlamydia_rate	438
6003	California	Alpine	chlamydia_rate	0
