FIPS	State	County	Variable	pcnt_fast_foods
1001	Alabama	Autauga	pcnt_fast_foods	52
1003	Alabama	Baldwin	pcnt_fast_foods	35
1005	Alabama	Barbour	pcnt_fast_foods	56
1007	Alabama	Bibb	pcnt_fast_foods	45
1009	Alabama	Blount	pcnt_fast_foods	56
1011	Alabama	Bullock	pcnt_fast_foods	50
1013	Alabama	Butler	pcnt_fast_foods	47
1015	Alabama	Calhoun	pcnt_fast_foods	55
1017	Alabama	Chambers	pcnt_fast_foods	54
1019	Alabama	Cherokee	pcnt_fast_foods	67
1021	Alabama	Chilton	pcnt_fast_foods	56
1023	Alabama	Choctaw	pcnt_fast_foods	38
1025	Alabama	Clarke	pcnt_fast_foods	63
1027	Alabama	Clay	pcnt_fast_foods	40
1029	Alabama	Cleburne	pcnt_fast_foods	64
1031	Alabama	Coffee	pcnt_fast_foods	51
1033	Alabama	Colbert	pcnt_fast_foods	55
1035	Alabama	Conecuh	pcnt_fast_foods	50
1037	Alabama	Coosa	pcnt_fast_foods	
1039	Alabama	Covington	pcnt_fast_foods	54
1041	Alabama	Crenshaw	pcnt_fast_foods	29
1043	Alabama	Cullman	pcnt_fast_foods	52
1045	Alabama	Dale	pcnt_fast_foods	52
1047	Alabama	Dallas	pcnt_fast_foods	54
1049	Alabama	DeKalb	pcnt_fast_foods	56
1051	Alabama	Elmore	pcnt_fast_foods	42
1053	Alabama	Escambia	pcnt_fast_foods	56
1055	Alabama	Etowah	pcnt_fast_foods	61
1057	Alabama	Fayette	pcnt_fast_foods	67
1059	Alabama	Franklin	pcnt_fast_foods	49
1061	Alabama	Geneva	pcnt_fast_foods	60
1063	Alabama	Greene	pcnt_fast_foods	25
1065	Alabama	Hale	pcnt_fast_foods	50
1067	Alabama	Henry	pcnt_fast_foods	56
1069	Alabama	Houston	pcnt_fast_foods	53
1071	Alabama	Jackson	pcnt_fast_foods	56
1073	Alabama	Jefferson	pcnt_fast_foods	60
1075	Alabama	Lamar	pcnt_fast_foods	31
1077	Alabama	Lauderdale	pcnt_fast_foods	49
1079	Alabama	Lawrence	pcnt_fast_foods	51
