FIPS	State	County	Variable	pcnt_afgr
1001	Alabama	Autauga	pcnt_afgr	80
1003	Alabama	Baldwin	pcnt_afgr	74
1005	Alabama	Barbour	pcnt_afgr	61
1007	Alabama	Bibb	pcnt_afgr	73
1009	Alabama	Blount	pcnt_afgr	81
1011	Alabama	Bullock	pcnt_afgr	71
1013	Alabama	Butler	pcnt_afgr	72
1015	Alabama	Calhoun	pcnt_afgr	79
1017	Alabama	Chambers	pcnt_afgr	79
1019	Alabama	Cherokee	pcnt_afgr	72
1021	Alabama	Chilton	pcnt_afgr	73
1023	Alabama	Choctaw	pcnt_afgr	78
1025	Alabama	Clarke	pcnt_afgr	77
1027	Alabama	Clay	pcnt_afgr	80
1029	Alabama	Cleburne	pcnt_afgr	92
1031	Alabama	Coffee	pcnt_afgr	84
1033	Alabama	Colbert	pcnt_afgr	75
1035	Alabama	Conecuh	pcnt_afgr	79
1037	Alabama	Coosa	pcnt_afgr	47
1039	Alabama	Covington	pcnt_afgr	76
1041	Alabama	Crenshaw	pcnt_afgr	87
1043	Alabama	Cullman	pcnt_afgr	77
1045	Alabama	Dale	pcnt_afgr	76
1047	Alabama	Dallas	pcnt_afgr	71
1049	Alabama	DeKalb	pcnt_afgr	86
1051	Alabama	Elmore	pcnt_afgr	74
1053	Alabama	Escambia	pcnt_afgr	76
1055	Alabama	Etowah	pcnt_afgr	75
1057	Alabama	Fayette	pcnt_afgr	83
1059	Alabama	Franklin	pcnt_afgr	85
1061	Alabama	Geneva	pcnt_afgr	76
1063	Alabama	Greene	pcnt_afgr	66
1065	Alabama	Hale	pcnt_afgr	67
1067	Alabama	Henry	pcnt_afgr	72
1069	Alabama	Houston	pcnt_afgr	71
1071	Alabama	Jackson	pcnt_afgr	80
1073	Alabama	Jefferson	pcnt_afgr	73
1075	Alabama	Lamar	pcnt_afgr	72
1077	Alabama	Lauderdale	pcnt_afgr	81
1079	Alabama	Lawrence	pcnt_afgr	79
1081	Alabama	Lee	pcnt_afgr	87
1083	Alabama	Limestone	pcnt_afgr	82
1085	Alabama	Lowndes	pcnt_afgr	60
1087	Alabama	Macon	pcnt_afgr	86
1089	Alabama	Madison	pcnt_afgr	74
1091	Alabama	Marengo	pcnt_afgr	87
1093	Alabama	Marion	pcnt_afgr	73
1095	Alabama	Marshall	pcnt_afgr	82
1097	Alabama	Mobile	pcnt_afgr	64
1099	Alabama	Monroe	pcnt_afgr	79
1101	Alabama	Montgomery	pcnt_afgr	66
1103	Alabama	Morgan	pcnt_afgr	71
1105	Alabama	Perry	pcnt_afgr	87
1107	Alabama	Pickens	pcnt_afgr	75
1109	Alabama	Pike	pcnt_afgr	69
1111	Alabama	Randolph	pcnt_afgr	81
1113	Alabama	Russell	pcnt_afgr	65
1115	Alabama	St. Clair	pcnt_afgr	76
1117	Alabama	Shelby	pcnt_afgr	86
1119	Alabama	Sumter	pcnt_afgr	80
1121	Alabama	Talladega	pcnt_afgr	74
1123	Alabama	Tallapoosa	pcnt_afgr	77
1125	Alabama	Tuscaloosa	pcnt_afgr	67
1127	Alabama	Walker	pcnt_afgr	77
1129	Alabama	Washington	pcnt_afgr	85
1131	Alabama	Wilcox	pcnt_afgr	72
1133	Alabama	Winston	pcnt_afgr	87
2013	Alaska	Aleutians East	pcnt_afgr	61
2016	Alaska	Aleutians West	pcnt_afgr	85
2020	Alaska	Anchorage	pcnt_afgr	72
2050	Alaska	Bethel	pcnt_afgr	42
2060	Alaska	Bristol Bay	pcnt_afgr	73
2068	Alaska	Denali	pcnt_afgr	50
2070	Alaska	Dillingham	pcnt_afgr	44
2090	Alaska	Fairbanks North Star	pcnt_afgr	67
2100	Alaska	Haines	pcnt_afgr	81
2110	Alaska	Juneau	pcnt_afgr	72
2122	Alaska	Kenai Peninsula	pcnt_afgr	73
2130	Alaska	Ketchikan Gateway	pcnt_afgr	65
2150	Alaska	Kodiak Island	pcnt_afgr	78
2164	Alaska	Lake and Peninsula	pcnt_afgr	50
2170	Alaska	Matanuska-Susitna	pcnt_afgr	70
2180	Alaska	Nome	pcnt_afgr	56
2185	Alaska	North Slope	pcnt_afgr	59
2188	Alaska	Northwest Arctic	pcnt_afgr	49
2201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_afgr	59
2220	Alaska	Sitka	pcnt_afgr	83
2232	Alaska	Skagway-Hoonah-Angoon	pcnt_afgr	79
2240	Alaska	Southeast Fairbanks	pcnt_afgr	64
2261	Alaska	Valdez-Cordova	pcnt_afgr	86
2270	Alaska	Wade Hampton	pcnt_afgr	47
2280	Alaska	Wrangell-Petersburg	pcnt_afgr	80
2282	Alaska	Yakutat	pcnt_afgr	100
2290	Alaska	Yukon-Koyukuk	pcnt_afgr	46
4001	Arizona	Apache	pcnt_afgr	70
4003	Arizona	Cochise	pcnt_afgr	79
4005	Arizona	Coconino	pcnt_afgr	76
4007	Arizona	Gila	pcnt_afgr	72
4009	Arizona	Graham	pcnt_afgr	82
4011	Arizona	Greenlee	pcnt_afgr	83
4012	Arizona	La Paz	pcnt_afgr	75
4013	Arizona	Maricopa	pcnt_afgr	80
4015	Arizona	Mohave	pcnt_afgr	73
4017	Arizona	Navajo	pcnt_afgr	72
4019	Arizona	Pima	pcnt_afgr	74
4021	Arizona	Pinal	pcnt_afgr	71
4023	Arizona	Santa Cruz	pcnt_afgr	81
4025	Arizona	Yavapai	pcnt_afgr	78
4027	Arizona	Yuma	pcnt_afgr	78
5001	Arkansas	Arkansas	pcnt_afgr	83
5003	Arkansas	Ashley	pcnt_afgr	83
5005	Arkansas	Baxter	pcnt_afgr	80
5007	Arkansas	Benton	pcnt_afgr	87
5009	Arkansas	Boone	pcnt_afgr	82
5011	Arkansas	Bradley	pcnt_afgr	86
5013	Arkansas	Calhoun	pcnt_afgr	83
5015	Arkansas	Carroll	pcnt_afgr	76
5017	Arkansas	Chicot	pcnt_afgr	78
5019	Arkansas	Clark	pcnt_afgr	81
5021	Arkansas	Clay	pcnt_afgr	84
5023	Arkansas	Cleburne	pcnt_afgr	84
5025	Arkansas	Cleveland	pcnt_afgr	90
5027	Arkansas	Columbia	pcnt_afgr	86
5029	Arkansas	Conway	pcnt_afgr	82
5031	Arkansas	Craighead	pcnt_afgr	85
5033	Arkansas	Crawford	pcnt_afgr	88
5035	Arkansas	Crittenden	pcnt_afgr	74
5037	Arkansas	Cross	pcnt_afgr	82
5039	Arkansas	Dallas	pcnt_afgr	88
5041	Arkansas	Desha	pcnt_afgr	86
5043	Arkansas	Drew	pcnt_afgr	85
5045	Arkansas	Faulkner	pcnt_afgr	87
5047	Arkansas	Franklin	pcnt_afgr	86
5049	Arkansas	Fulton	pcnt_afgr	99
5051	Arkansas	Garland	pcnt_afgr	82
5053	Arkansas	Grant	pcnt_afgr	80
5055	Arkansas	Greene	pcnt_afgr	83
5057	Arkansas	Hempstead	pcnt_afgr	84
5059	Arkansas	Hot Spring	pcnt_afgr	83
5061	Arkansas	Howard	pcnt_afgr	91
5063	Arkansas	Independence	pcnt_afgr	90
5065	Arkansas	Izard	pcnt_afgr	90
5067	Arkansas	Jackson	pcnt_afgr	86
5069	Arkansas	Jefferson	pcnt_afgr	76
5071	Arkansas	Johnson	pcnt_afgr	85
5073	Arkansas	Lafayette	pcnt_afgr	90
5075	Arkansas	Lawrence	pcnt_afgr	90
5077	Arkansas	Lee	pcnt_afgr	83
5079	Arkansas	Lincoln	pcnt_afgr	82
5081	Arkansas	Little River	pcnt_afgr	80
5083	Arkansas	Logan	pcnt_afgr	85
5085	Arkansas	Lonoke	pcnt_afgr	79
5087	Arkansas	Madison	pcnt_afgr	86
5089	Arkansas	Marion	pcnt_afgr	87
5091	Arkansas	Miller	pcnt_afgr	80
5093	Arkansas	Mississippi	pcnt_afgr	75
5095	Arkansas	Monroe	pcnt_afgr	75
5097	Arkansas	Montgomery	pcnt_afgr	86
5099	Arkansas	Nevada	pcnt_afgr	91
5101	Arkansas	Newton	pcnt_afgr	88
5103	Arkansas	Ouachita	pcnt_afgr	85
5105	Arkansas	Perry	pcnt_afgr	88
5107	Arkansas	Phillips	pcnt_afgr	76
5109	Arkansas	Pike	pcnt_afgr	87
