FIPS	State	County	Variable	hispanic
1001	Alabama	Autauga	hispanic	2.6
1003	Alabama	Baldwin	hispanic	4.5
1005	Alabama	Barbour	hispanic	5.3
1007	Alabama	Bibb	hispanic	2
1009	Alabama	Blount	hispanic	8.6
1011	Alabama	Bullock	hispanic	7.7
1013	Alabama	Butler	hispanic	1.1
1015	Alabama	Calhoun	hispanic	3.4
1017	Alabama	Chambers	hispanic	1.7
1019	Alabama	Cherokee	hispanic	1.4
1021	Alabama	Chilton	hispanic	7.8
1023	Alabama	Choctaw	hispanic	0.6
1025	Alabama	Clarke	hispanic	1.2
1027	Alabama	Clay	hispanic	2.9
1029	Alabama	Cleburne	hispanic	2.4
1031	Alabama	Coffee	hispanic	6.4
1033	Alabama	Colbert	hispanic	2.2
1035	Alabama	Conecuh	hispanic	1.5
1037	Alabama	Coosa	hispanic	2.2
1039	Alabama	Covington	hispanic	1.4
1041	Alabama	Crenshaw	hispanic	1.7
1043	Alabama	Cullman	hispanic	4.5
1045	Alabama	Dale	hispanic	5.6
1047	Alabama	Dallas	hispanic	0.8
1049	Alabama	DeKalb	hispanic	14
1051	Alabama	Elmore	hispanic	2.8
1053	Alabama	Escambia	hispanic	2
1055	Alabama	Etowah	hispanic	3.5
1057	Alabama	Fayette	hispanic	1.4
1059	Alabama	Franklin	hispanic	15.1
1061	Alabama	Geneva	hispanic	3.4
1063	Alabama	Greene	hispanic	0.9
1065	Alabama	Hale	hispanic	1.1
1067	Alabama	Henry	hispanic	2.5
1069	Alabama	Houston	hispanic	3.1
1071	Alabama	Jackson	hispanic	2.6
1073	Alabama	Jefferson	hispanic	4
1075	Alabama	Lamar	hispanic	1.3
1077	Alabama	Lauderdale	hispanic	2.4
1079	Alabama	Lawrence	hispanic	1.9
1081	Alabama	Lee	hispanic	3.4
1083	Alabama	Limestone	hispanic	5.7
1085	Alabama	Lowndes	hispanic	1.1
1087	Alabama	Macon	hispanic	1.8
1089	Alabama	Madison	hispanic	4.7
1091	Alabama	Marengo	hispanic	1.7
1093	Alabama	Marion	hispanic	2.2
1095	Alabama	Marshall	hispanic	12.5
1097	Alabama	Mobile	hispanic	2.5
1099	Alabama	Monroe	hispanic	1.1
1101	Alabama	Montgomery	hispanic	3.6
1103	Alabama	Morgan	hispanic	7.8
1105	Alabama	Perry	hispanic	1.3
1107	Alabama	Pickens	hispanic	1.7
1109	Alabama	Pike	hispanic	2.4
1111	Alabama	Randolph	hispanic	2.9
1113	Alabama	Russell	hispanic	4.1
1115	Alabama	St. Clair	hispanic	2.2
1117	Alabama	Shelby	hispanic	6
1119	Alabama	Sumter	hispanic	0.9
1121	Alabama	Talladega	hispanic	2.1
1123	Alabama	Tallapoosa	hispanic	2.7
1125	Alabama	Tuscaloosa	hispanic	3.1
1127	Alabama	Walker	hispanic	2.1
1129	Alabama	Washington	hispanic	1
1131	Alabama	Wilcox	hispanic	0.7
1133	Alabama	Winston	hispanic	2.8
2013	Alaska	Aleutians East	hispanic	12.8
2016	Alaska	Aleutians West	hispanic	14
2020	Alaska	Anchorage	hispanic	7.9
2050	Alaska	Bethel	hispanic	1.4
2060	Alaska	Bristol Bay	hispanic	2.8
2068	Alaska	Denali	hispanic	2.6
2070	Alaska	Dillingham	hispanic	2.3
2090	Alaska	Fairbanks North Star	hispanic	6.3
2100	Alaska	Haines	hispanic	2.3
2110	Alaska	Juneau	hispanic	5.4
2122	Alaska	Kenai Peninsula	hispanic	3.2
2130	Alaska	Ketchikan Gateway	hispanic	4.3
2150	Alaska	Kodiak Island	hispanic	7.9
2164	Alaska	Lake and Peninsula	hispanic	3.3
2170	Alaska	Matanuska-Susitna	hispanic	3.9
2180	Alaska	Nome	hispanic	1.6
2185	Alaska	North Slope	hispanic	3
2188	Alaska	Northwest Arctic	hispanic	1.1
2201	Alaska	Prince of Wales-Outer Ketchikan	hispanic	2.8
2220	Alaska	Sitka	hispanic	5
2232	Alaska	Skagway-Hoonah-Angoon	hispanic	3.5
2240	Alaska	Southeast Fairbanks	hispanic	3.7
2261	Alaska	Valdez-Cordova	hispanic	3.9
2270	Alaska	Wade Hampton	hispanic	0.2
2280	Alaska	Wrangell-Petersburg	hispanic	3.1
2282	Alaska	Yakutat	hispanic	2.8
2290	Alaska	Yukon-Koyukuk	hispanic	1.4
4001	Arizona	Apache	hispanic	6.8
4003	Arizona	Cochise	hispanic	32.6
4005	Arizona	Coconino	hispanic	13.9
4007	Arizona	Gila	hispanic	18.4
4009	Arizona	Graham	hispanic	30.8
4011	Arizona	Greenlee	hispanic	47.3
4012	Arizona	La Paz	hispanic	24.5
