FIPS	State	County	Variable	hiv_rate
1001	Alabama	Autauga	hiv_rate	185
1003	Alabama	Baldwin	hiv_rate	179
1005	Alabama	Barbour	hiv_rate	345
1007	Alabama	Bibb	hiv_rate	100
1009	Alabama	Blount	hiv_rate	81
1011	Alabama	Bullock	hiv_rate	358
1013	Alabama	Butler	hiv_rate	207
1015	Alabama	Calhoun	hiv_rate	176
1017	Alabama	Chambers	hiv_rate	282
1019	Alabama	Cherokee	hiv_rate	100
1021	Alabama	Chilton	hiv_rate	81
1023	Alabama	Choctaw	hiv_rate	242
1025	Alabama	Clarke	hiv_rate	107
1027	Alabama	Clay	hiv_rate	130
1029	Alabama	Cleburne	hiv_rate	104
1031	Alabama	Coffee	hiv_rate	133
1033	Alabama	Colbert	hiv_rate	95
1035	Alabama	Conecuh	hiv_rate	261
1037	Alabama	Coosa	hiv_rate	114
1039	Alabama	Covington	hiv_rate	105
1041	Alabama	Crenshaw	hiv_rate	164
1043	Alabama	Cullman	hiv_rate	51
1045	Alabama	Dale	hiv_rate	299
1047	Alabama	Dallas	hiv_rate	370
1049	Alabama	DeKalb	hiv_rate	74
1051	Alabama	Elmore	hiv_rate	208
1053	Alabama	Escambia	hiv_rate	146
1055	Alabama	Etowah	hiv_rate	148
1057	Alabama	Fayette	hiv_rate	73
1059	Alabama	Franklin	hiv_rate	55
1061	Alabama	Geneva	hiv_rate	138
1063	Alabama	Greene	hiv_rate	271
1065	Alabama	Hale	hiv_rate	202
1067	Alabama	Henry	hiv_rate	178
1069	Alabama	Houston	hiv_rate	304
1071	Alabama	Jackson	hiv_rate	59
1073	Alabama	Jefferson	hiv_rate	543
1075	Alabama	Lamar	hiv_rate	91
1077	Alabama	Lauderdale	hiv_rate	60
1079	Alabama	Lawrence	hiv_rate	71
1081	Alabama	Lee	hiv_rate	152
1083	Alabama	Limestone	hiv_rate	150
1085	Alabama	Lowndes	hiv_rate	438
1087	Alabama	Macon	hiv_rate	505
1089	Alabama	Madison	hiv_rate	204
1091	Alabama	Marengo	hiv_rate	109
1093	Alabama	Marion	hiv_rate	106
1095	Alabama	Marshall	hiv_rate	99
1097	Alabama	Mobile	hiv_rate	488
1099	Alabama	Monroe	hiv_rate	170
1101	Alabama	Montgomery	hiv_rate	728
1103	Alabama	Morgan	hiv_rate	114
1105	Alabama	Perry	hiv_rate	275
1107	Alabama	Pickens	hiv_rate	153
1109	Alabama	Pike	hiv_rate	353
1111	Alabama	Randolph	hiv_rate	61
1113	Alabama	Russell	hiv_rate	347
1115	Alabama	St. Clair	hiv_rate	81
1117	Alabama	Shelby	hiv_rate	75
1119	Alabama	Sumter	hiv_rate	270
1121	Alabama	Talladega	hiv_rate	197
1123	Alabama	Tallapoosa	hiv_rate	140
1125	Alabama	Tuscaloosa	hiv_rate	211
1127	Alabama	Walker	hiv_rate	115
1129	Alabama	Washington	hiv_rate	72
1131	Alabama	Wilcox	hiv_rate	151
1133	Alabama	Winston	hiv_rate	48
2013	Alaska	Aleutians East	hiv_rate	
2016	Alaska	Aleutians West	hiv_rate	
2020	Alaska	Anchorage	hiv_rate	161
2050	Alaska	Bethel	hiv_rate	163
2060	Alaska	Bristol Bay	hiv_rate	
2068	Alaska	Denali	hiv_rate	
2070	Alaska	Dillingham	hiv_rate	230
2090	Alaska	Fairbanks North Star	hiv_rate	68
2100	Alaska	Haines	hiv_rate	
2110	Alaska	Juneau	hiv_rate	88
2122	Alaska	Kenai Peninsula	hiv_rate	52
2130	Alaska	Ketchikan Gateway	hiv_rate	62
2150	Alaska	Kodiak Island	hiv_rate	
2164	Alaska	Lake and Peninsula	hiv_rate	
2170	Alaska	Matanuska-Susitna	hiv_rate	38
2180	Alaska	Nome	hiv_rate	
2185	Alaska	North Slope	hiv_rate	
2188	Alaska	Northwest Arctic	hiv_rate	
