FIPS	State	County	Variable	homicide_rate
1001	Alabama	Autauga	homicide_rate	4
1003	Alabama	Baldwin	homicide_rate	4
1005	Alabama	Barbour	homicide_rate	5
1007	Alabama	Bibb	homicide_rate	8
1009	Alabama	Blount	homicide_rate	4
1011	Alabama	Bullock	homicide_rate	
1013	Alabama	Butler	homicide_rate	10
1015	Alabama	Calhoun	homicide_rate	11
1017	Alabama	Chambers	homicide_rate	8
1019	Alabama	Cherokee	homicide_rate	
1021	Alabama	Chilton	homicide_rate	5
1023	Alabama	Choctaw	homicide_rate	
1025	Alabama	Clarke	homicide_rate	8
1027	Alabama	Clay	homicide_rate	
1029	Alabama	Cleburne	homicide_rate	12
1031	Alabama	Coffee	homicide_rate	3
1033	Alabama	Colbert	homicide_rate	6
1035	Alabama	Conecuh	homicide_rate	11
1037	Alabama	Coosa	homicide_rate	
1039	Alabama	Covington	homicide_rate	4
1041	Alabama	Crenshaw	homicide_rate	
1043	Alabama	Cullman	homicide_rate	3
1045	Alabama	Dale	homicide_rate	6
1047	Alabama	Dallas	homicide_rate	20
1049	Alabama	DeKalb	homicide_rate	3
1051	Alabama	Elmore	homicide_rate	6
1053	Alabama	Escambia	homicide_rate	9
1055	Alabama	Etowah	homicide_rate	7
1057	Alabama	Fayette	homicide_rate	
1059	Alabama	Franklin	homicide_rate	
1061	Alabama	Geneva	homicide_rate	8
1063	Alabama	Greene	homicide_rate	18
1065	Alabama	Hale	homicide_rate	16
1067	Alabama	Henry	homicide_rate	
1069	Alabama	Houston	homicide_rate	5
1071	Alabama	Jackson	homicide_rate	5
1073	Alabama	Jefferson	homicide_rate	17
1075	Alabama	Lamar	homicide_rate	
1077	Alabama	Lauderdale	homicide_rate	6
1079	Alabama	Lawrence	homicide_rate	7
1081	Alabama	Lee	homicide_rate	7
1083	Alabama	Limestone	homicide_rate	6
1085	Alabama	Lowndes	homicide_rate	23
1087	Alabama	Macon	homicide_rate	29
1089	Alabama	Madison	homicide_rate	5
1091	Alabama	Marengo	homicide_rate	7
1093	Alabama	Marion	homicide_rate	6
