FIPS	State	County	Variable	infant_mortality_rate
1001	Alabama	Autauga	infant_mortality_rate	807.4
1003	Alabama	Baldwin	infant_mortality_rate	589.1
1005	Alabama	Barbour	infant_mortality_rate	1539.3
1007	Alabama	Bibb	infant_mortality_rate	1192.1
1009	Alabama	Blount	infant_mortality_rate	605.7
1011	Alabama	Bullock	infant_mortality_rate	1191.9
1013	Alabama	Butler	infant_mortality_rate	1020.4
1015	Alabama	Calhoun	infant_mortality_rate	908.1
1017	Alabama	Chambers	infant_mortality_rate	761
1019	Alabama	Cherokee	infant_mortality_rate	746.3
1021	Alabama	Chilton	infant_mortality_rate	1039.4
1023	Alabama	Choctaw	infant_mortality_rate	
1025	Alabama	Clarke	infant_mortality_rate	1093.2
1027	Alabama	Clay	infant_mortality_rate	
1029	Alabama	Cleburne	infant_mortality_rate	
1031	Alabama	Coffee	infant_mortality_rate	966.2
1033	Alabama	Colbert	infant_mortality_rate	909.7
1035	Alabama	Conecuh	infant_mortality_rate	
1037	Alabama	Coosa	infant_mortality_rate	
1039	Alabama	Covington	infant_mortality_rate	853.9
1041	Alabama	Crenshaw	infant_mortality_rate	
1043	Alabama	Cullman	infant_mortality_rate	628.6
1045	Alabama	Dale	infant_mortality_rate	710.8
1047	Alabama	Dallas	infant_mortality_rate	709.2
1049	Alabama	DeKalb	infant_mortality_rate	501.4
1051	Alabama	Elmore	infant_mortality_rate	682.6
1053	Alabama	Escambia	infant_mortality_rate	936.5
1055	Alabama	Etowah	infant_mortality_rate	994.7
1057	Alabama	Fayette	infant_mortality_rate	
1059	Alabama	Franklin	infant_mortality_rate	818.4
1061	Alabama	Geneva	infant_mortality_rate	688.8
1063	Alabama	Greene	infant_mortality_rate	
1065	Alabama	Hale	infant_mortality_rate	
1067	Alabama	Henry	infant_mortality_rate	
1069	Alabama	Houston	infant_mortality_rate	828.5
1071	Alabama	Jackson	infant_mortality_rate	892.6
1073	Alabama	Jefferson	infant_mortality_rate	1200.4
1075	Alabama	Lamar	infant_mortality_rate	
1077	Alabama	Lauderdale	infant_mortality_rate	774.4
1079	Alabama	Lawrence	infant_mortality_rate	672
1081	Alabama	Lee	infant_mortality_rate	668.3
1083	Alabama	Limestone	infant_mortality_rate	666.5
1085	Alabama	Lowndes	infant_mortality_rate	
1087	Alabama	Macon	infant_mortality_rate	1424.8
1089	Alabama	Madison	infant_mortality_rate	892.9
1091	Alabama	Marengo	infant_mortality_rate	
1093	Alabama	Marion	infant_mortality_rate	1114.2
1095	Alabama	Marshall	infant_mortality_rate	1061.9
1097	Alabama	Mobile	infant_mortality_rate	839.2
1099	Alabama	Monroe	infant_mortality_rate	
1101	Alabama	Montgomery	infant_mortality_rate	1116.4
1103	Alabama	Morgan	infant_mortality_rate	817.4
1105	Alabama	Perry	infant_mortality_rate	1404.5
1107	Alabama	Pickens	infant_mortality_rate	1726.7
1109	Alabama	Pike	infant_mortality_rate	776.8
1111	Alabama	Randolph	infant_mortality_rate	890.9
1113	Alabama	Russell	infant_mortality_rate	1101.7
1115	Alabama	St. Clair	infant_mortality_rate	760.5
1117	Alabama	Shelby	infant_mortality_rate	616.6
1119	Alabama	Sumter	infant_mortality_rate	
1121	Alabama	Talladega	infant_mortality_rate	1299.7
1123	Alabama	Tallapoosa	infant_mortality_rate	1183
1125	Alabama	Tuscaloosa	infant_mortality_rate	1337.5
1127	Alabama	Walker	infant_mortality_rate	1110
1129	Alabama	Washington	infant_mortality_rate	
1131	Alabama	Wilcox	infant_mortality_rate	
1133	Alabama	Winston	infant_mortality_rate	1125.4
2013	Alaska	Aleutians East	infant_mortality_rate	
2016	Alaska	Aleutians West	infant_mortality_rate	
2020	Alaska	Anchorage	infant_mortality_rate	584.2
2050	Alaska	Bethel	infant_mortality_rate	1577.5
2060	Alaska	Bristol Bay	infant_mortality_rate	
2068	Alaska	Denali	infant_mortality_rate	
2070	Alaska	Dillingham	infant_mortality_rate	
2090	Alaska	Fairbanks North Star	infant_mortality_rate	349.4
2100	Alaska	Haines	infant_mortality_rate	
2110	Alaska	Juneau	infant_mortality_rate	526.9
2122	Alaska	Kenai Peninsula	infant_mortality_rate	418.4
2130	Alaska	Ketchikan Gateway	infant_mortality_rate	
2150	Alaska	Kodiak Island	infant_mortality_rate	
2164	Alaska	Lake and Peninsula	infant_mortality_rate	
2170	Alaska	Matanuska-Susitna	infant_mortality_rate	477.4
2180	Alaska	Nome	infant_mortality_rate	1147.2
2185	Alaska	North Slope	infant_mortality_rate	1227
2188	Alaska	Northwest Arctic	infant_mortality_rate	
2201	Alaska	Prince of Wales-Outer Ketchikan	infant_mortality_rate	
2220	Alaska	Sitka	infant_mortality_rate	
2232	Alaska	Skagway-Hoonah-Angoon	infant_mortality_rate	
2240	Alaska	Southeast Fairbanks	infant_mortality_rate	
2261	Alaska	Valdez-Cordova	infant_mortality_rate	
2270	Alaska	Wade Hampton	infant_mortality_rate	2173.9
2280	Alaska	Wrangell-Petersburg	infant_mortality_rate	
2282	Alaska	Yakutat	infant_mortality_rate	
2290	Alaska	Yukon-Koyukuk	infant_mortality_rate	
4001	Arizona	Apache	infant_mortality_rate	822.2
4003	Arizona	Cochise	infant_mortality_rate	795.2
4005	Arizona	Coconino	infant_mortality_rate	600.6
4007	Arizona	Gila	infant_mortality_rate	861.8
4009	Arizona	Graham	infant_mortality_rate	697.9
4011	Arizona	Greenlee	infant_mortality_rate	
4012	Arizona	La Paz	infant_mortality_rate	
4013	Arizona	Maricopa	infant_mortality_rate	648.6
4015	Arizona	Mohave	infant_mortality_rate	685.1
4017	Arizona	Navajo	infant_mortality_rate	747.9
4019	Arizona	Pima	infant_mortality_rate	727.3
4021	Arizona	Pinal	infant_mortality_rate	597.2
4023	Arizona	Santa Cruz	infant_mortality_rate	711.7
4025	Arizona	Yavapai	infant_mortality_rate	655.3
4027	Arizona	Yuma	infant_mortality_rate	731.3
5001	Arkansas	Arkansas	infant_mortality_rate	
5003	Arkansas	Ashley	infant_mortality_rate	769.2
5005	Arkansas	Baxter	infant_mortality_rate	718.4
5007	Arkansas	Benton	infant_mortality_rate	645.5
5009	Arkansas	Boone	infant_mortality_rate	720
5011	Arkansas	Bradley	infant_mortality_rate	
5013	Arkansas	Calhoun	infant_mortality_rate	
5015	Arkansas	Carroll	infant_mortality_rate	809.2
5017	Arkansas	Chicot	infant_mortality_rate	
5019	Arkansas	Clark	infant_mortality_rate	
5021	Arkansas	Clay	infant_mortality_rate	
5023	Arkansas	Cleburne	infant_mortality_rate	
5025	Arkansas	Cleveland	infant_mortality_rate	
5027	Arkansas	Columbia	infant_mortality_rate	
5029	Arkansas	Conway	infant_mortality_rate	738.6
5031	Arkansas	Craighead	infant_mortality_rate	894.1
5033	Arkansas	Crawford	infant_mortality_rate	564.2
5035	Arkansas	Crittenden	infant_mortality_rate	1622.3
5037	Arkansas	Cross	infant_mortality_rate	
5039	Arkansas	Dallas	infant_mortality_rate	
5041	Arkansas	Desha	infant_mortality_rate	
5043	Arkansas	Drew	infant_mortality_rate	1080.2
5045	Arkansas	Faulkner	infant_mortality_rate	685.7
5047	Arkansas	Franklin	infant_mortality_rate	
5049	Arkansas	Fulton	infant_mortality_rate	
5051	Arkansas	Garland	infant_mortality_rate	768.1
5053	Arkansas	Grant	infant_mortality_rate	
5055	Arkansas	Greene	infant_mortality_rate	814.4
5057	Arkansas	Hempstead	infant_mortality_rate	
5059	Arkansas	Hot Spring	infant_mortality_rate	500.9
5061	Arkansas	Howard	infant_mortality_rate	
5063	Arkansas	Independence	infant_mortality_rate	944.6
5065	Arkansas	Izard	infant_mortality_rate	
5067	Arkansas	Jackson	infant_mortality_rate	
5069	Arkansas	Jefferson	infant_mortality_rate	823.4
5071	Arkansas	Johnson	infant_mortality_rate	646.9
5073	Arkansas	Lafayette	infant_mortality_rate	
5075	Arkansas	Lawrence	infant_mortality_rate	
5077	Arkansas	Lee	infant_mortality_rate	
5079	Arkansas	Lincoln	infant_mortality_rate	
5081	Arkansas	Little River	infant_mortality_rate	
5083	Arkansas	Logan	infant_mortality_rate	
5085	Arkansas	Lonoke	infant_mortality_rate	731.2
5087	Arkansas	Madison	infant_mortality_rate	
5089	Arkansas	Marion	infant_mortality_rate	
5091	Arkansas	Miller	infant_mortality_rate	938.4
5093	Arkansas	Mississippi	infant_mortality_rate	960.5
5095	Arkansas	Monroe	infant_mortality_rate	
5097	Arkansas	Montgomery	infant_mortality_rate	
5099	Arkansas	Nevada	infant_mortality_rate	
5101	Arkansas	Newton	infant_mortality_rate	
5103	Arkansas	Ouachita	infant_mortality_rate	1051.5
5105	Arkansas	Perry	infant_mortality_rate	
