FIPS	State	County	Variable	lt_18
1001	Alabama	Autauga	lt_18	26
1003	Alabama	Baldwin	lt_18	22.8
1005	Alabama	Barbour	lt_18	21.8
1007	Alabama	Bibb	lt_18	22.1
1009	Alabama	Blount	lt_18	24.4
1011	Alabama	Bullock	lt_18	21.9
1013	Alabama	Butler	lt_18	23.6
1015	Alabama	Calhoun	lt_18	22.8
1017	Alabama	Chambers	lt_18	22.3
1019	Alabama	Cherokee	lt_18	21.1
1021	Alabama	Chilton	lt_18	24.8
1023	Alabama	Choctaw	lt_18	22.1
1025	Alabama	Clarke	lt_18	24.2
1027	Alabama	Clay	lt_18	22.3
1029	Alabama	Cleburne	lt_18	23.4
1031	Alabama	Coffee	lt_18	24.1
1033	Alabama	Colbert	lt_18	21.9
1035	Alabama	Conecuh	lt_18	22.4
1037	Alabama	Coosa	lt_18	21
1039	Alabama	Covington	lt_18	22.4
1041	Alabama	Crenshaw	lt_18	23.6
1043	Alabama	Cullman	lt_18	22.9
1045	Alabama	Dale	lt_18	24.5
1047	Alabama	Dallas	lt_18	26.3
1049	Alabama	DeKalb	lt_18	25.6
1051	Alabama	Elmore	lt_18	23
1053	Alabama	Escambia	lt_18	22.7
1055	Alabama	Etowah	lt_18	22.9
1057	Alabama	Fayette	lt_18	21.7
1059	Alabama	Franklin	lt_18	24.6
1061	Alabama	Geneva	lt_18	22
1063	Alabama	Greene	lt_18	24
1065	Alabama	Hale	lt_18	24.1
1067	Alabama	Henry	lt_18	22.6
1069	Alabama	Houston	lt_18	24.3
1071	Alabama	Jackson	lt_18	22.1
1073	Alabama	Jefferson	lt_18	23.5
1075	Alabama	Lamar	lt_18	22.1
1077	Alabama	Lauderdale	lt_18	21.3
1079	Alabama	Lawrence	lt_18	22.8
1081	Alabama	Lee	lt_18	21.8
1083	Alabama	Limestone	lt_18	23.6
1085	Alabama	Lowndes	lt_18	24.2
1087	Alabama	Macon	lt_18	19.5
1089	Alabama	Madison	lt_18	23.3
1091	Alabama	Marengo	lt_18	24
1093	Alabama	Marion	lt_18	21.5
1095	Alabama	Marshall	lt_18	25
1097	Alabama	Mobile	lt_18	24.9
1099	Alabama	Monroe	lt_18	24.9
1101	Alabama	Montgomery	lt_18	24.8
1103	Alabama	Morgan	lt_18	23.8
1105	Alabama	Perry	lt_18	24.2
1107	Alabama	Pickens	lt_18	23
1109	Alabama	Pike	lt_18	20
1111	Alabama	Randolph	lt_18	23.5
1113	Alabama	Russell	lt_18	24.8
1115	Alabama	St. Clair	lt_18	23.6
1117	Alabama	Shelby	lt_18	25.3
1119	Alabama	Sumter	lt_18	21.3
1121	Alabama	Talladega	lt_18	23.1
1123	Alabama	Tallapoosa	lt_18	22
1125	Alabama	Tuscaloosa	lt_18	21.2
1127	Alabama	Walker	lt_18	22.3
1129	Alabama	Washington	lt_18	24.8
1131	Alabama	Wilcox	lt_18	26.3
1133	Alabama	Winston	lt_18	21.6
2013	Alaska	Aleutians East	lt_18	11.5
2016	Alaska	Aleutians West	lt_18	13.9
2020	Alaska	Anchorage	lt_18	25.7
2050	Alaska	Bethel	lt_18	36.2
2060	Alaska	Bristol Bay	lt_18	22.9
2068	Alaska	Denali	lt_18	21.9
2070	Alaska	Dillingham	lt_18	32.7
2090	Alaska	Fairbanks North Star	lt_18	25.3
2100	Alaska	Haines	lt_18	19.9
2110	Alaska	Juneau	lt_18	23.2
2122	Alaska	Kenai Peninsula	lt_18	23.4
2130	Alaska	Ketchikan Gateway	lt_18	23.8
2150	Alaska	Kodiak Island	lt_18	28.3
2164	Alaska	Lake and Peninsula	lt_18	29.2
2170	Alaska	Matanuska-Susitna	lt_18	28.4
2180	Alaska	Nome	lt_18	34.1
2185	Alaska	North Slope	lt_18	24.2
2188	Alaska	Northwest Arctic	lt_18	35.1
2201	Alaska	Prince of Wales-Outer Ketchikan	lt_18	25.2
2220	Alaska	Sitka	lt_18	23
2232	Alaska	Skagway-Hoonah-Angoon	lt_18	18.4
2240	Alaska	Southeast Fairbanks	lt_18	26.2
2261	Alaska	Valdez-Cordova	lt_18	24.3
2270	Alaska	Wade Hampton	lt_18	40.9
2280	Alaska	Wrangell-Petersburg	lt_18	22.4
2282	Alaska	Yakutat	lt_18	23.5
2290	Alaska	Yukon-Koyukuk	lt_18	27.7
4001	Arizona	Apache	lt_18	31.5
4003	Arizona	Cochise	lt_18	22.7
4005	Arizona	Coconino	lt_18	23.1
4007	Arizona	Gila	lt_18	21.4
4009	Arizona	Graham	lt_18	28
4011	Arizona	Greenlee	lt_18	28.8
4012	Arizona	La Paz	lt_18	18.2
4013	Arizona	Maricopa	lt_18	26
4015	Arizona	Mohave	lt_18	20.2
4017	Arizona	Navajo	lt_18	29.2
4019	Arizona	Pima	lt_18	22.7
4021	Arizona	Pinal	lt_18	26.1
4023	Arizona	Santa Cruz	lt_18	30
4025	Arizona	Yavapai	lt_18	18.5
4027	Arizona	Yuma	lt_18	27.6
5001	Arkansas	Arkansas	lt_18	23.4
5003	Arkansas	Ashley	lt_18	24.3
5005	Arkansas	Baxter	lt_18	17.9
5007	Arkansas	Benton	lt_18	27.6
5009	Arkansas	Boone	lt_18	22.7
5011	Arkansas	Bradley	lt_18	23.6
5013	Arkansas	Calhoun	lt_18	19.5
5015	Arkansas	Carroll	lt_18	22.3
5017	Arkansas	Chicot	lt_18	22.9
5019	Arkansas	Clark	lt_18	19.1
5021	Arkansas	Clay	lt_18	21.8
5023	Arkansas	Cleburne	lt_18	19.9
5025	Arkansas	Cleveland	lt_18	24.5
5027	Arkansas	Columbia	lt_18	22.6
5029	Arkansas	Conway	lt_18	23.7
5031	Arkansas	Craighead	lt_18	24.9
5033	Arkansas	Crawford	lt_18	25.8
5035	Arkansas	Crittenden	lt_18	28.5
5037	Arkansas	Cross	lt_18	24.6
5039	Arkansas	Dallas	lt_18	23.3
5041	Arkansas	Desha	lt_18	25.9
5043	Arkansas	Drew	lt_18	23.4
5045	Arkansas	Faulkner	lt_18	24.1
5047	Arkansas	Franklin	lt_18	24.1
5049	Arkansas	Fulton	lt_18	20.8
5051	Arkansas	Garland	lt_18	20.8
5053	Arkansas	Grant	lt_18	24
5055	Arkansas	Greene	lt_18	25.1
5057	Arkansas	Hempstead	lt_18	26.1
5059	Arkansas	Hot Spring	lt_18	23.1
5061	Arkansas	Howard	lt_18	26.5
5063	Arkansas	Independence	lt_18	24
5065	Arkansas	Izard	lt_18	18.8
5067	Arkansas	Jackson	lt_18	20.7
