FIPS	State	County	Variable	mv_mortality_rate
1001	Alabama	Autauga	mv_mortality_rate	24
1003	Alabama	Baldwin	mv_mortality_rate	20
1005	Alabama	Barbour	mv_mortality_rate	26
1007	Alabama	Bibb	mv_mortality_rate	34
1009	Alabama	Blount	mv_mortality_rate	28
1011	Alabama	Bullock	mv_mortality_rate	59
1013	Alabama	Butler	mv_mortality_rate	29
1015	Alabama	Calhoun	mv_mortality_rate	23
1017	Alabama	Chambers	mv_mortality_rate	27
1019	Alabama	Cherokee	mv_mortality_rate	26
1021	Alabama	Chilton	mv_mortality_rate	36
1023	Alabama	Choctaw	mv_mortality_rate	45
1025	Alabama	Clarke	mv_mortality_rate	31
1027	Alabama	Clay	mv_mortality_rate	20
1029	Alabama	Cleburne	mv_mortality_rate	24
1031	Alabama	Coffee	mv_mortality_rate	24
1033	Alabama	Colbert	mv_mortality_rate	21
1035	Alabama	Conecuh	mv_mortality_rate	48
1037	Alabama	Coosa	mv_mortality_rate	34
1039	Alabama	Covington	mv_mortality_rate	31
1041	Alabama	Crenshaw	mv_mortality_rate	35
1043	Alabama	Cullman	mv_mortality_rate	33
1045	Alabama	Dale	mv_mortality_rate	21
1047	Alabama	Dallas	mv_mortality_rate	27
1049	Alabama	DeKalb	mv_mortality_rate	25
1051	Alabama	Elmore	mv_mortality_rate	26
1053	Alabama	Escambia	mv_mortality_rate	37
1055	Alabama	Etowah	mv_mortality_rate	21
1057	Alabama	Fayette	mv_mortality_rate	42
1059	Alabama	Franklin	mv_mortality_rate	30
1061	Alabama	Geneva	mv_mortality_rate	33
1063	Alabama	Greene	mv_mortality_rate	33
1065	Alabama	Hale	mv_mortality_rate	43
1067	Alabama	Henry	mv_mortality_rate	32
1069	Alabama	Houston	mv_mortality_rate	17
1071	Alabama	Jackson	mv_mortality_rate	35
1073	Alabama	Jefferson	mv_mortality_rate	18
1075	Alabama	Lamar	mv_mortality_rate	29
1077	Alabama	Lauderdale	mv_mortality_rate	18
1079	Alabama	Lawrence	mv_mortality_rate	33
1081	Alabama	Lee	mv_mortality_rate	15
1083	Alabama	Limestone	mv_mortality_rate	24
1085	Alabama	Lowndes	mv_mortality_rate	45
1087	Alabama	Macon	mv_mortality_rate	33
1089	Alabama	Madison	mv_mortality_rate	17
1091	Alabama	Marengo	mv_mortality_rate	27
1093	Alabama	Marion	mv_mortality_rate	32
1095	Alabama	Marshall	mv_mortality_rate	27
1097	Alabama	Mobile	mv_mortality_rate	23
1099	Alabama	Monroe	mv_mortality_rate	40
1101	Alabama	Montgomery	mv_mortality_rate	15
1103	Alabama	Morgan	mv_mortality_rate	23
1105	Alabama	Perry	mv_mortality_rate	38
1107	Alabama	Pickens	mv_mortality_rate	31
1109	Alabama	Pike	mv_mortality_rate	28
1111	Alabama	Randolph	mv_mortality_rate	35
1113	Alabama	Russell	mv_mortality_rate	28
1115	Alabama	St. Clair	mv_mortality_rate	24
1117	Alabama	Shelby	mv_mortality_rate	16
1119	Alabama	Sumter	mv_mortality_rate	32
1121	Alabama	Talladega	mv_mortality_rate	24
1123	Alabama	Tallapoosa	mv_mortality_rate	23
1125	Alabama	Tuscaloosa	mv_mortality_rate	19
1127	Alabama	Walker	mv_mortality_rate	37
1129	Alabama	Washington	mv_mortality_rate	28
1131	Alabama	Wilcox	mv_mortality_rate	47
1133	Alabama	Winston	mv_mortality_rate	39
2013	Alaska	Aleutians East	mv_mortality_rate	
2016	Alaska	Aleutians West	mv_mortality_rate	
2020	Alaska	Anchorage	mv_mortality_rate	9
2050	Alaska	Bethel	mv_mortality_rate	
2060	Alaska	Bristol Bay	mv_mortality_rate	
2068	Alaska	Denali	mv_mortality_rate	
2070	Alaska	Dillingham	mv_mortality_rate	
2090	Alaska	Fairbanks North Star	mv_mortality_rate	12
2100	Alaska	Haines	mv_mortality_rate	
2110	Alaska	Juneau	mv_mortality_rate	7
2122	Alaska	Kenai Peninsula	mv_mortality_rate	19
2130	Alaska	Ketchikan Gateway	mv_mortality_rate	
2150	Alaska	Kodiak Island	mv_mortality_rate	
2164	Alaska	Lake and Peninsula	mv_mortality_rate	
2170	Alaska	Matanuska-Susitna	mv_mortality_rate	15
2180	Alaska	Nome	mv_mortality_rate	15
2185	Alaska	North Slope	mv_mortality_rate	18
2188	Alaska	Northwest Arctic	mv_mortality_rate	
2201	Alaska	Prince of Wales-Outer Ketchikan	mv_mortality_rate	
2220	Alaska	Sitka	mv_mortality_rate	
2232	Alaska	Skagway-Hoonah-Angoon	mv_mortality_rate	
2240	Alaska	Southeast Fairbanks	mv_mortality_rate	25
2261	Alaska	Valdez-Cordova	mv_mortality_rate	18
2270	Alaska	Wade Hampton	mv_mortality_rate	
2280	Alaska	Wrangell-Petersburg	mv_mortality_rate	
2282	Alaska	Yakutat	mv_mortality_rate	
2290	Alaska	Yukon-Koyukuk	mv_mortality_rate	
4001	Arizona	Apache	mv_mortality_rate	59
4003	Arizona	Cochise	mv_mortality_rate	22
4005	Arizona	Coconino	mv_mortality_rate	29
4007	Arizona	Gila	mv_mortality_rate	31
4009	Arizona	Graham	mv_mortality_rate	22
4011	Arizona	Greenlee	mv_mortality_rate	25
4012	Arizona	La Paz	mv_mortality_rate	41
4013	Arizona	Maricopa	mv_mortality_rate	13
4015	Arizona	Mohave	mv_mortality_rate	21
4017	Arizona	Navajo	mv_mortality_rate	44
4019	Arizona	Pima	mv_mortality_rate	14
4021	Arizona	Pinal	mv_mortality_rate	20
4023	Arizona	Santa Cruz	mv_mortality_rate	16
4025	Arizona	Yavapai	mv_mortality_rate	20
4027	Arizona	Yuma	mv_mortality_rate	14
5001	Arkansas	Arkansas	mv_mortality_rate	25
5003	Arkansas	Ashley	mv_mortality_rate	33
5005	Arkansas	Baxter	mv_mortality_rate	27
5007	Arkansas	Benton	mv_mortality_rate	16
5009	Arkansas	Boone	mv_mortality_rate	24
5011	Arkansas	Bradley	mv_mortality_rate	34
5013	Arkansas	Calhoun	mv_mortality_rate	
5015	Arkansas	Carroll	mv_mortality_rate	28
5017	Arkansas	Chicot	mv_mortality_rate	33
5019	Arkansas	Clark	mv_mortality_rate	18
5021	Arkansas	Clay	mv_mortality_rate	32
5023	Arkansas	Cleburne	mv_mortality_rate	35
5025	Arkansas	Cleveland	mv_mortality_rate	26
5027	Arkansas	Columbia	mv_mortality_rate	21
5029	Arkansas	Conway	mv_mortality_rate	26
5031	Arkansas	Craighead	mv_mortality_rate	24
5033	Arkansas	Crawford	mv_mortality_rate	18
5035	Arkansas	Crittenden	mv_mortality_rate	20
5037	Arkansas	Cross	mv_mortality_rate	30
5039	Arkansas	Dallas	mv_mortality_rate	37
5041	Arkansas	Desha	mv_mortality_rate	24
5043	Arkansas	Drew	mv_mortality_rate	31
5045	Arkansas	Faulkner	mv_mortality_rate	19
5047	Arkansas	Franklin	mv_mortality_rate	16
5049	Arkansas	Fulton	mv_mortality_rate	26
5051	Arkansas	Garland	mv_mortality_rate	25
5053	Arkansas	Grant	mv_mortality_rate	26
5055	Arkansas	Greene	mv_mortality_rate	27
5057	Arkansas	Hempstead	mv_mortality_rate	28
5059	Arkansas	Hot Spring	mv_mortality_rate	30
5061	Arkansas	Howard	mv_mortality_rate	32
5063	Arkansas	Independence	mv_mortality_rate	37
5065	Arkansas	Izard	mv_mortality_rate	19
5067	Arkansas	Jackson	mv_mortality_rate	35
5069	Arkansas	Jefferson	mv_mortality_rate	20
5071	Arkansas	Johnson	mv_mortality_rate	23
5073	Arkansas	Lafayette	mv_mortality_rate	42
5075	Arkansas	Lawrence	mv_mortality_rate	39
5077	Arkansas	Lee	mv_mortality_rate	27
5079	Arkansas	Lincoln	mv_mortality_rate	32
5081	Arkansas	Little River	mv_mortality_rate	27
5083	Arkansas	Logan	mv_mortality_rate	27
5085	Arkansas	Lonoke	mv_mortality_rate	25
5087	Arkansas	Madison	mv_mortality_rate	44
5089	Arkansas	Marion	mv_mortality_rate	29
5091	Arkansas	Miller	mv_mortality_rate	25
5093	Arkansas	Mississippi	mv_mortality_rate	26
5095	Arkansas	Monroe	mv_mortality_rate	49
5097	Arkansas	Montgomery	mv_mortality_rate	36
5099	Arkansas	Nevada	mv_mortality_rate	32
5101	Arkansas	Newton	mv_mortality_rate	25
5103	Arkansas	Ouachita	mv_mortality_rate	31
5105	Arkansas	Perry	mv_mortality_rate	38
5107	Arkansas	Phillips	mv_mortality_rate	34
5109	Arkansas	Pike	mv_mortality_rate	20
5111	Arkansas	Poinsett	mv_mortality_rate	33
5113	Arkansas	Polk	mv_mortality_rate	32
5115	Arkansas	Pope	mv_mortality_rate	18
5117	Arkansas	Prairie	mv_mortality_rate	18
5119	Arkansas	Pulaski	mv_mortality_rate	18
5121	Arkansas	Randolph	mv_mortality_rate	33
5123	Arkansas	St. Francis	mv_mortality_rate	22
5125	Arkansas	Saline	mv_mortality_rate	17
5127	Arkansas	Scott	mv_mortality_rate	33
5129	Arkansas	Searcy	mv_mortality_rate	35
5131	Arkansas	Sebastian	mv_mortality_rate	16
5133	Arkansas	Sevier	mv_mortality_rate	36
5135	Arkansas	Sharp	mv_mortality_rate	37
5137	Arkansas	Stone	mv_mortality_rate	26
5139	Arkansas	Union	mv_mortality_rate	27
5141	Arkansas	Van Buren	mv_mortality_rate	43
5143	Arkansas	Washington	mv_mortality_rate	13
5145	Arkansas	White	mv_mortality_rate	26
5147	Arkansas	Woodruff	mv_mortality_rate	24
5149	Arkansas	Yell	mv_mortality_rate	38
6001	California	Alameda	mv_mortality_rate	7
6003	California	Alpine	mv_mortality_rate	
6005	California	Amador	mv_mortality_rate	23
6007	California	Butte	mv_mortality_rate	18
6009	California	Calaveras	mv_mortality_rate	27
6011	California	Colusa	mv_mortality_rate	18
6013	California	Contra Costa	mv_mortality_rate	8
6015	California	Del Norte	mv_mortality_rate	24
6017	California	El Dorado	mv_mortality_rate	12
6019	California	Fresno	mv_mortality_rate	17
6021	California	Glenn	mv_mortality_rate	22
6023	California	Humboldt	mv_mortality_rate	17
6025	California	Imperial	mv_mortality_rate	16
6027	California	Inyo	mv_mortality_rate	17
6029	California	Kern	mv_mortality_rate	17
6031	California	Kings	mv_mortality_rate	18
6033	California	Lake	mv_mortality_rate	26
6035	California	Lassen	mv_mortality_rate	19
6037	California	Los Angeles	mv_mortality_rate	8
6039	California	Madera	mv_mortality_rate	23
6041	California	Marin	mv_mortality_rate	5
6043	California	Mariposa	mv_mortality_rate	25
6045	California	Mendocino	mv_mortality_rate	18
6047	California	Merced	mv_mortality_rate	18
6049	California	Modoc	mv_mortality_rate	27
6051	California	Mono	mv_mortality_rate	
6053	California	Monterey	mv_mortality_rate	11
6055	California	Napa	mv_mortality_rate	12
