FIPS	State	County	Variable	mph_rate
1001	Alabama	Autauga	mph_rate	0
1003	Alabama	Baldwin	mph_rate	0
1005	Alabama	Barbour	mph_rate	0
1007	Alabama	Bibb	mph_rate	
1009	Alabama	Blount	mph_rate	0
1011	Alabama	Bullock	mph_rate	
1013	Alabama	Butler	mph_rate	0
1015	Alabama	Calhoun	mph_rate	0
1017	Alabama	Chambers	mph_rate	0
1019	Alabama	Cherokee	mph_rate	
1021	Alabama	Chilton	mph_rate	0
1023	Alabama	Choctaw	mph_rate	
1025	Alabama	Clarke	mph_rate	0
1027	Alabama	Clay	mph_rate	0
1029	Alabama	Cleburne	mph_rate	
1031	Alabama	Coffee	mph_rate	0
1033	Alabama	Colbert	mph_rate	0
1035	Alabama	Conecuh	mph_rate	0
1037	Alabama	Coosa	mph_rate	
1039	Alabama	Covington	mph_rate	
1041	Alabama	Crenshaw	mph_rate	0
1043	Alabama	Cullman	mph_rate	0
1045	Alabama	Dale	mph_rate	0
1047	Alabama	Dallas	mph_rate	0
1049	Alabama	DeKalb	mph_rate	
1051	Alabama	Elmore	mph_rate	0
1053	Alabama	Escambia	mph_rate	0
1055	Alabama	Etowah	mph_rate	0
1057	Alabama	Fayette	mph_rate	
1059	Alabama	Franklin	mph_rate	0
1061	Alabama	Geneva	mph_rate	
1063	Alabama	Greene	mph_rate	0
1065	Alabama	Hale	mph_rate	0
1067	Alabama	Henry	mph_rate	
1069	Alabama	Houston	mph_rate	0
1071	Alabama	Jackson	mph_rate	0
1073	Alabama	Jefferson	mph_rate	0
1075	Alabama	Lamar	mph_rate	
1077	Alabama	Lauderdale	mph_rate	0
1079	Alabama	Lawrence	mph_rate	0
1081	Alabama	Lee	mph_rate	0
1083	Alabama	Limestone	mph_rate	0
1085	Alabama	Lowndes	mph_rate	
1087	Alabama	Macon	mph_rate	0
1089	Alabama	Madison	mph_rate	0
1091	Alabama	Marengo	mph_rate	
1093	Alabama	Marion	mph_rate	
1095	Alabama	Marshall	mph_rate	0
1097	Alabama	Mobile	mph_rate	0
1099	Alabama	Monroe	mph_rate	
1101	Alabama	Montgomery	mph_rate	0
1103	Alabama	Morgan	mph_rate	0
1105	Alabama	Perry	mph_rate	
1107	Alabama	Pickens	mph_rate	
1109	Alabama	Pike	mph_rate	0
1111	Alabama	Randolph	mph_rate	0
1113	Alabama	Russell	mph_rate	
1115	Alabama	St. Clair	mph_rate	0
1117	Alabama	Shelby	mph_rate	0
1119	Alabama	Sumter	mph_rate	
1121	Alabama	Talladega	mph_rate	0
1123	Alabama	Tallapoosa	mph_rate	0
1125	Alabama	Tuscaloosa	mph_rate	0
1127	Alabama	Walker	mph_rate	
1129	Alabama	Washington	mph_rate	
1131	Alabama	Wilcox	mph_rate	
1133	Alabama	Winston	mph_rate	
2013	Alaska	Aleutians East	mph_rate	
2016	Alaska	Aleutians West	mph_rate	
2020	Alaska	Anchorage	mph_rate	0
2050	Alaska	Bethel	mph_rate	0
2060	Alaska	Bristol Bay	mph_rate	
2068	Alaska	Denali	mph_rate	
2070	Alaska	Dillingham	mph_rate	
2090	Alaska	Fairbanks North Star	mph_rate	0
2100	Alaska	Haines	mph_rate	
2110	Alaska	Juneau	mph_rate	0
2122	Alaska	Kenai Peninsula	mph_rate	0
2130	Alaska	Ketchikan Gateway	mph_rate	0
2150	Alaska	Kodiak Island	mph_rate	0
2164	Alaska	Lake and Peninsula	mph_rate	
2170	Alaska	Matanuska-Susitna	mph_rate	0
2180	Alaska	Nome	mph_rate	0
2185	Alaska	North Slope	mph_rate	
2188	Alaska	Northwest Arctic	mph_rate	
2201	Alaska	Prince of Wales-Outer Ketchikan	mph_rate	
2220	Alaska	Sitka	mph_rate	0
2232	Alaska	Skagway-Hoonah-Angoon	mph_rate	
2240	Alaska	Southeast Fairbanks	mph_rate	
2261	Alaska	Valdez-Cordova	mph_rate	0
2270	Alaska	Wade Hampton	mph_rate	
2280	Alaska	Wrangell-Petersburg	mph_rate	
2282	Alaska	Yakutat	mph_rate	0
2290	Alaska	Yukon-Koyukuk	mph_rate	
4001	Arizona	Apache	mph_rate	0
4003	Arizona	Cochise	mph_rate	0
4005	Arizona	Coconino	mph_rate	0
4007	Arizona	Gila	mph_rate	0
4009	Arizona	Graham	mph_rate	0
4011	Arizona	Greenlee	mph_rate	
4012	Arizona	La Paz	mph_rate	
4013	Arizona	Maricopa	mph_rate	0
4015	Arizona	Mohave	mph_rate	0
4017	Arizona	Navajo	mph_rate	0
4019	Arizona	Pima	mph_rate	0
4021	Arizona	Pinal	mph_rate	0
4023	Arizona	Santa Cruz	mph_rate	0
4025	Arizona	Yavapai	mph_rate	0
4027	Arizona	Yuma	mph_rate	0
5001	Arkansas	Arkansas	mph_rate	
5003	Arkansas	Ashley	mph_rate	
5005	Arkansas	Baxter	mph_rate	0
5007	Arkansas	Benton	mph_rate	0
5009	Arkansas	Boone	mph_rate	0
5011	Arkansas	Bradley	mph_rate	
5013	Arkansas	Calhoun	mph_rate	
5015	Arkansas	Carroll	mph_rate	0
5017	Arkansas	Chicot	mph_rate	
5019	Arkansas	Clark	mph_rate	0
5021	Arkansas	Clay	mph_rate	
5023	Arkansas	Cleburne	mph_rate	0
5025	Arkansas	Cleveland	mph_rate	
5027	Arkansas	Columbia	mph_rate	0
5029	Arkansas	Conway	mph_rate	0
5031	Arkansas	Craighead	mph_rate	0
5033	Arkansas	Crawford	mph_rate	0
5035	Arkansas	Crittenden	mph_rate	0
5037	Arkansas	Cross	mph_rate	0
5039	Arkansas	Dallas	mph_rate	
5041	Arkansas	Desha	mph_rate	
5043	Arkansas	Drew	mph_rate	0
5045	Arkansas	Faulkner	mph_rate	0
5047	Arkansas	Franklin	mph_rate	
5049	Arkansas	Fulton	mph_rate	
5051	Arkansas	Garland	mph_rate	0
5053	Arkansas	Grant	mph_rate	
5055	Arkansas	Greene	mph_rate	0
5057	Arkansas	Hempstead	mph_rate	0
5059	Arkansas	Hot Spring	mph_rate	0
5061	Arkansas	Howard	mph_rate	
5063	Arkansas	Independence	mph_rate	0
5065	Arkansas	Izard	mph_rate	
5067	Arkansas	Jackson	mph_rate	0
5069	Arkansas	Jefferson	mph_rate	0
5071	Arkansas	Johnson	mph_rate	0
5073	Arkansas	Lafayette	mph_rate	
5075	Arkansas	Lawrence	mph_rate	
5077	Arkansas	Lee	mph_rate	0
5079	Arkansas	Lincoln	mph_rate	
