FIPS	State	County	Variable	native_hawaiian__other_pacific_islander
1001	Alabama	Autauga	native_hawaiian__other_pacific_islander	0.1
1003	Alabama	Baldwin	native_hawaiian__other_pacific_islander	0.1
1005	Alabama	Barbour	native_hawaiian__other_pacific_islander	0.2
1007	Alabama	Bibb	native_hawaiian__other_pacific_islander	0.1
1009	Alabama	Blount	native_hawaiian__other_pacific_islander	0.1
1011	Alabama	Bullock	native_hawaiian__other_pacific_islander	0.8
1013	Alabama	Butler	native_hawaiian__other_pacific_islander	0.1
1015	Alabama	Calhoun	native_hawaiian__other_pacific_islander	0.1
1017	Alabama	Chambers	native_hawaiian__other_pacific_islander	0
1019	Alabama	Cherokee	native_hawaiian__other_pacific_islander	0
1021	Alabama	Chilton	native_hawaiian__other_pacific_islander	0.2
1023	Alabama	Choctaw	native_hawaiian__other_pacific_islander	0
1025	Alabama	Clarke	native_hawaiian__other_pacific_islander	0
1027	Alabama	Clay	native_hawaiian__other_pacific_islander	0
1029	Alabama	Cleburne	native_hawaiian__other_pacific_islander	0.1
1031	Alabama	Coffee	native_hawaiian__other_pacific_islander	0.5
1033	Alabama	Colbert	native_hawaiian__other_pacific_islander	0
1035	Alabama	Conecuh	native_hawaiian__other_pacific_islander	0
1037	Alabama	Coosa	native_hawaiian__other_pacific_islander	0.1
1039	Alabama	Covington	native_hawaiian__other_pacific_islander	0
1041	Alabama	Crenshaw	native_hawaiian__other_pacific_islander	0.1
1043	Alabama	Cullman	native_hawaiian__other_pacific_islander	0
1045	Alabama	Dale	native_hawaiian__other_pacific_islander	0.1
1047	Alabama	Dallas	native_hawaiian__other_pacific_islander	0
1049	Alabama	DeKalb	native_hawaiian__other_pacific_islander	0.8
1051	Alabama	Elmore	native_hawaiian__other_pacific_islander	0.1
1053	Alabama	Escambia	native_hawaiian__other_pacific_islander	0.1
1055	Alabama	Etowah	native_hawaiian__other_pacific_islander	0.3
1057	Alabama	Fayette	native_hawaiian__other_pacific_islander	0
1059	Alabama	Franklin	native_hawaiian__other_pacific_islander	0.1
1061	Alabama	Geneva	native_hawaiian__other_pacific_islander	0.1
1063	Alabama	Greene	native_hawaiian__other_pacific_islander	0
1065	Alabama	Hale	native_hawaiian__other_pacific_islander	0
1067	Alabama	Henry	native_hawaiian__other_pacific_islander	0
1069	Alabama	Houston	native_hawaiian__other_pacific_islander	0.1
1071	Alabama	Jackson	native_hawaiian__other_pacific_islander	0.1
1073	Alabama	Jefferson	native_hawaiian__other_pacific_islander	0.1
1075	Alabama	Lamar	native_hawaiian__other_pacific_islander	0
1077	Alabama	Lauderdale	native_hawaiian__other_pacific_islander	0.1
1079	Alabama	Lawrence	native_hawaiian__other_pacific_islander	0
1081	Alabama	Lee	native_hawaiian__other_pacific_islander	0.1
1083	Alabama	Limestone	native_hawaiian__other_pacific_islander	0.2
