FIPS	State	County	Variable	non_hispanic_white
1001	Alabama	Autauga	non_hispanic_white	76
1003	Alabama	Baldwin	non_hispanic_white	83
1005	Alabama	Barbour	non_hispanic_white	47
1007	Alabama	Bibb	non_hispanic_white	75
1009	Alabama	Blount	non_hispanic_white	88
1011	Alabama	Bullock	non_hispanic_white	23
1013	Alabama	Butler	non_hispanic_white	54
1015	Alabama	Calhoun	non_hispanic_white	73
1017	Alabama	Chambers	non_hispanic_white	58
1019	Alabama	Cherokee	non_hispanic_white	92
1021	Alabama	Chilton	non_hispanic_white	81
1023	Alabama	Choctaw	non_hispanic_white	55
1025	Alabama	Clarke	non_hispanic_white	54
1027	Alabama	Clay	non_hispanic_white	80
1029	Alabama	Cleburne	non_hispanic_white	92
1031	Alabama	Coffee	non_hispanic_white	72
1033	Alabama	Colbert	non_hispanic_white	79
1035	Alabama	Conecuh	non_hispanic_white	51
1037	Alabama	Coosa	non_hispanic_white	66
1039	Alabama	Covington	non_hispanic_white	84
1041	Alabama	Crenshaw	non_hispanic_white	71
1043	Alabama	Cullman	non_hispanic_white	92
1045	Alabama	Dale	non_hispanic_white	71
1047	Alabama	Dallas	non_hispanic_white	29
1049	Alabama	DeKalb	non_hispanic_white	81
1051	Alabama	Elmore	non_hispanic_white	74
1053	Alabama	Escambia	non_hispanic_white	61
1055	Alabama	Etowah	non_hispanic_white	79
1057	Alabama	Fayette	non_hispanic_white	86
1059	Alabama	Franklin	non_hispanic_white	79
1061	Alabama	Geneva	non_hispanic_white	84
1063	Alabama	Greene	non_hispanic_white	18
1065	Alabama	Hale	non_hispanic_white	40
1067	Alabama	Henry	non_hispanic_white	68
1069	Alabama	Houston	non_hispanic_white	68
1071	Alabama	Jackson	non_hispanic_white	90
1073	Alabama	Jefferson	non_hispanic_white	51
1075	Alabama	Lamar	non_hispanic_white	86
1077	Alabama	Lauderdale	non_hispanic_white	85
1079	Alabama	Lawrence	non_hispanic_white	77
1081	Alabama	Lee	non_hispanic_white	70
1083	Alabama	Limestone	non_hispanic_white	78
1085	Alabama	Lowndes	non_hispanic_white	25
1087	Alabama	Macon	non_hispanic_white	16
1089	Alabama	Madison	non_hispanic_white	66
1091	Alabama	Marengo	non_hispanic_white	46
1093	Alabama	Marion	non_hispanic_white	92
1095	Alabama	Marshall	non_hispanic_white	83
1097	Alabama	Mobile	non_hispanic_white	59
1099	Alabama	Monroe	non_hispanic_white	55
1101	Alabama	Montgomery	non_hispanic_white	38
1103	Alabama	Morgan	non_hispanic_white	77
1105	Alabama	Perry	non_hispanic_white	30
1107	Alabama	Pickens	non_hispanic_white	56
1109	Alabama	Pike	non_hispanic_white	57
1111	Alabama	Randolph	non_hispanic_white	75
1113	Alabama	Russell	non_hispanic_white	52
1115	Alabama	St. Clair	non_hispanic_white	87
1117	Alabama	Shelby	non_hispanic_white	80
1119	Alabama	Sumter	non_hispanic_white	25
1121	Alabama	Talladega	non_hispanic_white	64
1123	Alabama	Tallapoosa	non_hispanic_white	69
1125	Alabama	Tuscaloosa	non_hispanic_white	65
