FIPS	State	County	Variable	num_fast_foods
1001	Alabama	Autauga	num_fast_foods	36
1003	Alabama	Baldwin	num_fast_foods	112
1005	Alabama	Barbour	num_fast_foods	19
1007	Alabama	Bibb	num_fast_foods	5
1009	Alabama	Blount	num_fast_foods	22
1011	Alabama	Bullock	num_fast_foods	2
1013	Alabama	Butler	num_fast_foods	16
1015	Alabama	Calhoun	num_fast_foods	94
1017	Alabama	Chambers	num_fast_foods	22
1019	Alabama	Cherokee	num_fast_foods	18
1021	Alabama	Chilton	num_fast_foods	25
1023	Alabama	Choctaw	num_fast_foods	6
1025	Alabama	Clarke	num_fast_foods	24
1027	Alabama	Clay	num_fast_foods	4
1029	Alabama	Cleburne	num_fast_foods	7
1031	Alabama	Coffee	num_fast_foods	36
1033	Alabama	Colbert	num_fast_foods	43
1035	Alabama	Conecuh	num_fast_foods	5
1037	Alabama	Coosa	num_fast_foods	
1039	Alabama	Covington	num_fast_foods	22
1041	Alabama	Crenshaw	num_fast_foods	4
1043	Alabama	Cullman	num_fast_foods	54
1045	Alabama	Dale	num_fast_foods	35
1047	Alabama	Dallas	num_fast_foods	21
1049	Alabama	DeKalb	num_fast_foods	40
1051	Alabama	Elmore	num_fast_foods	28
1053	Alabama	Escambia	num_fast_foods	22
1055	Alabama	Etowah	num_fast_foods	76
1057	Alabama	Fayette	num_fast_foods	12
1059	Alabama	Franklin	num_fast_foods	17
1061	Alabama	Geneva	num_fast_foods	12
1063	Alabama	Greene	num_fast_foods	1
1065	Alabama	Hale	num_fast_foods	4
1067	Alabama	Henry	num_fast_foods	10
1069	Alabama	Houston	num_fast_foods	89
1071	Alabama	Jackson	num_fast_foods	32
1073	Alabama	Jefferson	num_fast_foods	588
1075	Alabama	Lamar	num_fast_foods	5
1077	Alabama	Lauderdale	num_fast_foods	62
1079	Alabama	Lawrence	num_fast_foods	18
1081	Alabama	Lee	num_fast_foods	107
1083	Alabama	Limestone	num_fast_foods	42
1085	Alabama	Lowndes	num_fast_foods	2
1087	Alabama	Macon	num_fast_foods	13
1089	Alabama	Madison	num_fast_foods	289
1091	Alabama	Marengo	num_fast_foods	17
1093	Alabama	Marion	num_fast_foods	23
1095	Alabama	Marshall	num_fast_foods	64
1097	Alabama	Mobile	num_fast_foods	254
1099	Alabama	Monroe	num_fast_foods	12
1101	Alabama	Montgomery	num_fast_foods	166
1103	Alabama	Morgan	num_fast_foods	95
1105	Alabama	Perry	num_fast_foods	2
1107	Alabama	Pickens	num_fast_foods	7
1109	Alabama	Pike	num_fast_foods	27
1111	Alabama	Randolph	num_fast_foods	8
1113	Alabama	Russell	num_fast_foods	42
1115	Alabama	St. Clair	num_fast_foods	44
1117	Alabama	Shelby	num_fast_foods	120
1119	Alabama	Sumter	num_fast_foods	7
1121	Alabama	Talladega	num_fast_foods	46
1123	Alabama	Tallapoosa	num_fast_foods	24
1125	Alabama	Tuscaloosa	num_fast_foods	161
1127	Alabama	Walker	num_fast_foods	47
1129	Alabama	Washington	num_fast_foods	5
1131	Alabama	Wilcox	num_fast_foods	4
1133	Alabama	Winston	num_fast_foods	10
2013	Alaska	Aleutians East	num_fast_foods	1
2016	Alaska	Aleutians West	num_fast_foods	1
2020	Alaska	Anchorage	num_fast_foods	207
2050	Alaska	Bethel	num_fast_foods	6
2060	Alaska	Bristol Bay	num_fast_foods	1
2068	Alaska	Denali	num_fast_foods	2
2070	Alaska	Dillingham	num_fast_foods	
2090	Alaska	Fairbanks North Star	num_fast_foods	45
2100	Alaska	Haines	num_fast_foods	1
2110	Alaska	Juneau	num_fast_foods	22
2122	Alaska	Kenai Peninsula	num_fast_foods	33
2130	Alaska	Ketchikan Gateway	num_fast_foods	8
2150	Alaska	Kodiak Island	num_fast_foods	6
2164	Alaska	Lake and Peninsula	num_fast_foods	
2170	Alaska	Matanuska-Susitna	num_fast_foods	42
2180	Alaska	Nome	num_fast_foods	4
2185	Alaska	North Slope	num_fast_foods	3
2188	Alaska	Northwest Arctic	num_fast_foods	1
2201	Alaska	Prince of Wales-Outer Ketchikan	num_fast_foods	3
2220	Alaska	Sitka	num_fast_foods	3
2232	Alaska	Skagway-Hoonah-Angoon	num_fast_foods	4
2240	Alaska	Southeast Fairbanks	num_fast_foods	6
2261	Alaska	Valdez-Cordova	num_fast_foods	7
2270	Alaska	Wade Hampton	num_fast_foods	
2280	Alaska	Wrangell-Petersburg	num_fast_foods	7
2282	Alaska	Yakutat	num_fast_foods	1
2290	Alaska	Yukon-Koyukuk	num_fast_foods	
4001	Arizona	Apache	num_fast_foods	20
4003	Arizona	Cochise	num_fast_foods	61
4005	Arizona	Coconino	num_fast_foods	117
4007	Arizona	Gila	num_fast_foods	32
4009	Arizona	Graham	num_fast_foods	17
4011	Arizona	Greenlee	num_fast_foods	1
4012	Arizona	La Paz	num_fast_foods	16
4013	Arizona	Maricopa	num_fast_foods	2619
4015	Arizona	Mohave	num_fast_foods	110
4017	Arizona	Navajo	num_fast_foods	66
4019	Arizona	Pima	num_fast_foods	615
4021	Arizona	Pinal	num_fast_foods	124
4023	Arizona	Santa Cruz	num_fast_foods	29
4025	Arizona	Yavapai	num_fast_foods	140
4027	Arizona	Yuma	num_fast_foods	106
5001	Arkansas	Arkansas	num_fast_foods	16
