FIPS	State	County	Variable	pcnt_park_access
1001	Alabama	Autauga	pcnt_park_access	20
1003	Alabama	Baldwin	pcnt_park_access	5
1005	Alabama	Barbour	pcnt_park_access	4
1007	Alabama	Bibb	pcnt_park_access	
1009	Alabama	Blount	pcnt_park_access	1
1011	Alabama	Bullock	pcnt_park_access	1
1013	Alabama	Butler	pcnt_park_access	10
1015	Alabama	Calhoun	pcnt_park_access	17
1017	Alabama	Chambers	pcnt_park_access	2
1019	Alabama	Cherokee	pcnt_park_access	3
1021	Alabama	Chilton	pcnt_park_access	1
1023	Alabama	Choctaw	pcnt_park_access	5
1025	Alabama	Clarke	pcnt_park_access	1
1027	Alabama	Clay	pcnt_park_access	4
1029	Alabama	Cleburne	pcnt_park_access	1
1031	Alabama	Coffee	pcnt_park_access	
1033	Alabama	Colbert	pcnt_park_access	2
1035	Alabama	Conecuh	pcnt_park_access	2
1037	Alabama	Coosa	pcnt_park_access	2
1039	Alabama	Covington	pcnt_park_access	11
1041	Alabama	Crenshaw	pcnt_park_access	
1043	Alabama	Cullman	pcnt_park_access	
1045	Alabama	Dale	pcnt_park_access	2
1047	Alabama	Dallas	pcnt_park_access	5
1049	Alabama	DeKalb	pcnt_park_access	3
1051	Alabama	Elmore	pcnt_park_access	3
1053	Alabama	Escambia	pcnt_park_access	1
1055	Alabama	Etowah	pcnt_park_access	5
1057	Alabama	Fayette	pcnt_park_access	1
1059	Alabama	Franklin	pcnt_park_access	
1061	Alabama	Geneva	pcnt_park_access	4
1063	Alabama	Greene	pcnt_park_access	1
1065	Alabama	Hale	pcnt_park_access	4
1067	Alabama	Henry	pcnt_park_access	1
1069	Alabama	Houston	pcnt_park_access	1
1071	Alabama	Jackson	pcnt_park_access	3
1073	Alabama	Jefferson	pcnt_park_access	32
1075	Alabama	Lamar	pcnt_park_access	
1077	Alabama	Lauderdale	pcnt_park_access	16
1079	Alabama	Lawrence	pcnt_park_access	2
1081	Alabama	Lee	pcnt_park_access	16
1083	Alabama	Limestone	pcnt_park_access	11
1085	Alabama	Lowndes	pcnt_park_access	1
1087	Alabama	Macon	pcnt_park_access	9
1089	Alabama	Madison	pcnt_park_access	25
1091	Alabama	Marengo	pcnt_park_access	2
1093	Alabama	Marion	pcnt_park_access	2
1095	Alabama	Marshall	pcnt_park_access	3
1097	Alabama	Mobile	pcnt_park_access	28
1099	Alabama	Monroe	pcnt_park_access	1
1101	Alabama	Montgomery	pcnt_park_access	33
1103	Alabama	Morgan	pcnt_park_access	13
1105	Alabama	Perry	pcnt_park_access	
1107	Alabama	Pickens	pcnt_park_access	8
1109	Alabama	Pike	pcnt_park_access	15
1111	Alabama	Randolph	pcnt_park_access	
1113	Alabama	Russell	pcnt_park_access	4
1115	Alabama	St. Clair	pcnt_park_access	
1117	Alabama	Shelby	pcnt_park_access	7
1119	Alabama	Sumter	pcnt_park_access	17
1121	Alabama	Talladega	pcnt_park_access	18
1123	Alabama	Tallapoosa	pcnt_park_access	3
1125	Alabama	Tuscaloosa	pcnt_park_access	17
1127	Alabama	Walker	pcnt_park_access	
1129	Alabama	Washington	pcnt_park_access	3
1131	Alabama	Wilcox	pcnt_park_access	1
1133	Alabama	Winston	pcnt_park_access	1
2013	Alaska	Aleutians East	pcnt_park_access	
2016	Alaska	Aleutians West	pcnt_park_access	
2020	Alaska	Anchorage	pcnt_park_access	79
2050	Alaska	Bethel	pcnt_park_access	
2060	Alaska	Bristol Bay	pcnt_park_access	1
2068	Alaska	Denali	pcnt_park_access	16
2070	Alaska	Dillingham	pcnt_park_access	5
2090	Alaska	Fairbanks North Star	pcnt_park_access	30
2100	Alaska	Haines	pcnt_park_access	
2110	Alaska	Juneau	pcnt_park_access	40
2122	Alaska	Kenai Peninsula	pcnt_park_access	24
2130	Alaska	Ketchikan Gateway	pcnt_park_access	
2150	Alaska	Kodiak Island	pcnt_park_access	7
2164	Alaska	Lake and Peninsula	pcnt_park_access	11
2170	Alaska	Matanuska-Susitna	pcnt_park_access	7
2180	Alaska	Nome	pcnt_park_access	
2185	Alaska	North Slope	pcnt_park_access	3
2188	Alaska	Northwest Arctic	pcnt_park_access	
2201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_park_access	
2220	Alaska	Sitka	pcnt_park_access	12
2232	Alaska	Skagway-Hoonah-Angoon	pcnt_park_access	5
2240	Alaska	Southeast Fairbanks	pcnt_park_access	
2261	Alaska	Valdez-Cordova	pcnt_park_access	6
2270	Alaska	Wade Hampton	pcnt_park_access	
2280	Alaska	Wrangell-Petersburg	pcnt_park_access	
2282	Alaska	Yakutat	pcnt_park_access	
2290	Alaska	Yukon-Koyukuk	pcnt_park_access	
4001	Arizona	Apache	pcnt_park_access	4
4003	Arizona	Cochise	pcnt_park_access	7
4005	Arizona	Coconino	pcnt_park_access	32
4007	Arizona	Gila	pcnt_park_access	3
4009	Arizona	Graham	pcnt_park_access	5
4011	Arizona	Greenlee	pcnt_park_access	
4012	Arizona	La Paz	pcnt_park_access	5
4013	Arizona	Maricopa	pcnt_park_access	45
4015	Arizona	Mohave	pcnt_park_access	12
4017	Arizona	Navajo	pcnt_park_access	8
4019	Arizona	Pima	pcnt_park_access	44
4021	Arizona	Pinal	pcnt_park_access	19
4023	Arizona	Santa Cruz	pcnt_park_access	14
4025	Arizona	Yavapai	pcnt_park_access	30
4027	Arizona	Yuma	pcnt_park_access	21
5001	Arkansas	Arkansas	pcnt_park_access	19
5003	Arkansas	Ashley	pcnt_park_access	7
5005	Arkansas	Baxter	pcnt_park_access	4
5007	Arkansas	Benton	pcnt_park_access	23
5009	Arkansas	Boone	pcnt_park_access	1
5011	Arkansas	Bradley	pcnt_park_access	14
5013	Arkansas	Calhoun	pcnt_park_access	10
5015	Arkansas	Carroll	pcnt_park_access	
5017	Arkansas	Chicot	pcnt_park_access	
5019	Arkansas	Clark	pcnt_park_access	16
5021	Arkansas	Clay	pcnt_park_access	21
5023	Arkansas	Cleburne	pcnt_park_access	7
5025	Arkansas	Cleveland	pcnt_park_access	
5027	Arkansas	Columbia	pcnt_park_access	17
5029	Arkansas	Conway	pcnt_park_access	11
5031	Arkansas	Craighead	pcnt_park_access	21
5033	Arkansas	Crawford	pcnt_park_access	7
5035	Arkansas	Crittenden	pcnt_park_access	27
5037	Arkansas	Cross	pcnt_park_access	1
5039	Arkansas	Dallas	pcnt_park_access	
5041	Arkansas	Desha	pcnt_park_access	4
5043	Arkansas	Drew	pcnt_park_access	6
5045	Arkansas	Faulkner	pcnt_park_access	10
5047	Arkansas	Franklin	pcnt_park_access	11
5049	Arkansas	Fulton	pcnt_park_access	6
5051	Arkansas	Garland	pcnt_park_access	13
5053	Arkansas	Grant	pcnt_park_access	
5055	Arkansas	Greene	pcnt_park_access	6
5057	Arkansas	Hempstead	pcnt_park_access	8
5059	Arkansas	Hot Spring	pcnt_park_access	6
5061	Arkansas	Howard	pcnt_park_access	3
5063	Arkansas	Independence	pcnt_park_access	1
5065	Arkansas	Izard	pcnt_park_access	6
5067	Arkansas	Jackson	pcnt_park_access	11
5069	Arkansas	Jefferson	pcnt_park_access	18
5071	Arkansas	Johnson	pcnt_park_access	13
5073	Arkansas	Lafayette	pcnt_park_access	
5075	Arkansas	Lawrence	pcnt_park_access	
5077	Arkansas	Lee	pcnt_park_access	12
5079	Arkansas	Lincoln	pcnt_park_access	
5081	Arkansas	Little River	pcnt_park_access	2
5083	Arkansas	Logan	pcnt_park_access	25
5085	Arkansas	Lonoke	pcnt_park_access	12
5087	Arkansas	Madison	pcnt_park_access	1
5089	Arkansas	Marion	pcnt_park_access	1
5091	Arkansas	Miller	pcnt_park_access	8
5093	Arkansas	Mississippi	pcnt_park_access	25
5095	Arkansas	Monroe	pcnt_park_access	3
5097	Arkansas	Montgomery	pcnt_park_access	3
5099	Arkansas	Nevada	pcnt_park_access	24
5101	Arkansas	Newton	pcnt_park_access	
5103	Arkansas	Ouachita	pcnt_park_access	23
5105	Arkansas	Perry	pcnt_park_access	2
5107	Arkansas	Phillips	pcnt_park_access	13
5109	Arkansas	Pike	pcnt_park_access	12
5111	Arkansas	Poinsett	pcnt_park_access	21
5113	Arkansas	Polk	pcnt_park_access	9
5115	Arkansas	Pope	pcnt_park_access	16
5117	Arkansas	Prairie	pcnt_park_access	
5119	Arkansas	Pulaski	pcnt_park_access	30
5121	Arkansas	Randolph	pcnt_park_access	13
5123	Arkansas	St. Francis	pcnt_park_access	
5125	Arkansas	Saline	pcnt_park_access	7
5127	Arkansas	Scott	pcnt_park_access	1
5129	Arkansas	Searcy	pcnt_park_access	
5131	Arkansas	Sebastian	pcnt_park_access	18
5133	Arkansas	Sevier	pcnt_park_access	11
5135	Arkansas	Sharp	pcnt_park_access	3
5137	Arkansas	Stone	pcnt_park_access	4
5139	Arkansas	Union	pcnt_park_access	23
5141	Arkansas	Van Buren	pcnt_park_access	3
5143	Arkansas	Washington	pcnt_park_access	20
5145	Arkansas	White	pcnt_park_access	11
5147	Arkansas	Woodruff	pcnt_park_access	
5149	Arkansas	Yell	pcnt_park_access	14
6001	California	Alameda	pcnt_park_access	85
6003	California	Alpine	pcnt_park_access	2
6005	California	Amador	pcnt_park_access	3
6007	California	Butte	pcnt_park_access	26
6009	California	Calaveras	pcnt_park_access	13
6011	California	Colusa	pcnt_park_access	9
6013	California	Contra Costa	pcnt_park_access	68
6015	California	Del Norte	pcnt_park_access	13
6017	California	El Dorado	pcnt_park_access	28
6019	California	Fresno	pcnt_park_access	36
6021	California	Glenn	pcnt_park_access	29
6023	California	Humboldt	pcnt_park_access	49
6025	California	Imperial	pcnt_park_access	46
6027	California	Inyo	pcnt_park_access	16
6029	California	Kern	pcnt_park_access	44
