FIPS	State	County	Variable	average_daily_pm25
1001	Alabama	Autauga	average_daily_pm25	13.3
1003	Alabama	Baldwin	average_daily_pm25	11.8
1005	Alabama	Barbour	average_daily_pm25	12.1
1007	Alabama	Bibb	average_daily_pm25	13.7
1009	Alabama	Blount	average_daily_pm25	13
1011	Alabama	Bullock	average_daily_pm25	12.5
1013	Alabama	Butler	average_daily_pm25	12.4
1015	Alabama	Calhoun	average_daily_pm25	13.1
1017	Alabama	Chambers	average_daily_pm25	13.2
1019	Alabama	Cherokee	average_daily_pm25	12.9
1021	Alabama	Chilton	average_daily_pm25	13.6
1023	Alabama	Choctaw	average_daily_pm25	13
1025	Alabama	Clarke	average_daily_pm25	12.7
1027	Alabama	Clay	average_daily_pm25	13.2
1029	Alabama	Cleburne	average_daily_pm25	13
1031	Alabama	Coffee	average_daily_pm25	11.7
1033	Alabama	Colbert	average_daily_pm25	13.2
1035	Alabama	Conecuh	average_daily_pm25	12.1
1037	Alabama	Coosa	average_daily_pm25	13.5
1039	Alabama	Covington	average_daily_pm25	11.8
1041	Alabama	Crenshaw	average_daily_pm25	12.3
1043	Alabama	Cullman	average_daily_pm25	13
1045	Alabama	Dale	average_daily_pm25	11.7
1047	Alabama	Dallas	average_daily_pm25	13.2
1049	Alabama	DeKalb	average_daily_pm25	13
1051	Alabama	Elmore	average_daily_pm25	13.2
1053	Alabama	Escambia	average_daily_pm25	11.9
1055	Alabama	Etowah	average_daily_pm25	13
1057	Alabama	Fayette	average_daily_pm25	13.3
1059	Alabama	Franklin	average_daily_pm25	12.9
1061	Alabama	Geneva	average_daily_pm25	11.4
1063	Alabama	Greene	average_daily_pm25	13.9
1065	Alabama	Hale	average_daily_pm25	13.8
1067	Alabama	Henry	average_daily_pm25	11.6
1069	Alabama	Houston	average_daily_pm25	11.2
1071	Alabama	Jackson	average_daily_pm25	13.3
1073	Alabama	Jefferson	average_daily_pm25	13.3
1075	Alabama	Lamar	average_daily_pm25	13.2
1077	Alabama	Lauderdale	average_daily_pm25	13.4
1079	Alabama	Lawrence	average_daily_pm25	13
1081	Alabama	Lee	average_daily_pm25	13
1083	Alabama	Limestone	average_daily_pm25	13.3
1085	Alabama	Lowndes	average_daily_pm25	12.9
1087	Alabama	Macon	average_daily_pm25	12.8
1089	Alabama	Madison	average_daily_pm25	13.3
1091	Alabama	Marengo	average_daily_pm25	13.3
1093	Alabama	Marion	average_daily_pm25	13
1095	Alabama	Marshall	average_daily_pm25	12.9
1097	Alabama	Mobile	average_daily_pm25	11.8
1099	Alabama	Monroe	average_daily_pm25	12.4
1101	Alabama	Montgomery	average_daily_pm25	12.8
1103	Alabama	Morgan	average_daily_pm25	12.9
1105	Alabama	Perry	average_daily_pm25	13.6
1107	Alabama	Pickens	average_daily_pm25	13.6
1109	Alabama	Pike	average_daily_pm25	12.3
1111	Alabama	Randolph	average_daily_pm25	13.1
1113	Alabama	Russell	average_daily_pm25	12.5
1115	Alabama	St. Clair	average_daily_pm25	13.1
1117	Alabama	Shelby	average_daily_pm25	13.4
1119	Alabama	Sumter	average_daily_pm25	13.6
1121	Alabama	Talladega	average_daily_pm25	13.2
1123	Alabama	Tallapoosa	average_daily_pm25	13.3
1125	Alabama	Tuscaloosa	average_daily_pm25	13.6
1127	Alabama	Walker	average_daily_pm25	13.2
1129	Alabama	Washington	average_daily_pm25	12.3
1131	Alabama	Wilcox	average_daily_pm25	12.9
1133	Alabama	Winston	average_daily_pm25	13
2013	Alaska	Aleutians East	average_daily_pm25	
2016	Alaska	Aleutians West	average_daily_pm25	
2020	Alaska	Anchorage	average_daily_pm25	
2050	Alaska	Bethel	average_daily_pm25	
2060	Alaska	Bristol Bay	average_daily_pm25	
2068	Alaska	Denali	average_daily_pm25	
2070	Alaska	Dillingham	average_daily_pm25	
