FIPS	State	County	Variable	pcnt_drive_alone
1001	Alabama	Autauga	pcnt_drive_alone	87
1003	Alabama	Baldwin	pcnt_drive_alone	83
1005	Alabama	Barbour	pcnt_drive_alone	78
1007	Alabama	Bibb	pcnt_drive_alone	83
1009	Alabama	Blount	pcnt_drive_alone	80
1011	Alabama	Bullock	pcnt_drive_alone	79
1013	Alabama	Butler	pcnt_drive_alone	88
1015	Alabama	Calhoun	pcnt_drive_alone	85
1017	Alabama	Chambers	pcnt_drive_alone	83
1019	Alabama	Cherokee	pcnt_drive_alone	82
1021	Alabama	Chilton	pcnt_drive_alone	80
1023	Alabama	Choctaw	pcnt_drive_alone	79
1025	Alabama	Clarke	pcnt_drive_alone	88
1027	Alabama	Clay	pcnt_drive_alone	79
1029	Alabama	Cleburne	pcnt_drive_alone	78
1031	Alabama	Coffee	pcnt_drive_alone	85
1033	Alabama	Colbert	pcnt_drive_alone	87
1035	Alabama	Conecuh	pcnt_drive_alone	87
1037	Alabama	Coosa	pcnt_drive_alone	83
1039	Alabama	Covington	pcnt_drive_alone	80
1041	Alabama	Crenshaw	pcnt_drive_alone	79
1043	Alabama	Cullman	pcnt_drive_alone	81
1045	Alabama	Dale	pcnt_drive_alone	83
1047	Alabama	Dallas	pcnt_drive_alone	82
1049	Alabama	DeKalb	pcnt_drive_alone	83
1051	Alabama	Elmore	pcnt_drive_alone	86
1053	Alabama	Escambia	pcnt_drive_alone	81
1055	Alabama	Etowah	pcnt_drive_alone	85
1057	Alabama	Fayette	pcnt_drive_alone	83
1059	Alabama	Franklin	pcnt_drive_alone	81
1061	Alabama	Geneva	pcnt_drive_alone	83
1063	Alabama	Greene	pcnt_drive_alone	74
1065	Alabama	Hale	pcnt_drive_alone	83
1067	Alabama	Henry	pcnt_drive_alone	88
1069	Alabama	Houston	pcnt_drive_alone	87
1071	Alabama	Jackson	pcnt_drive_alone	87
1073	Alabama	Jefferson	pcnt_drive_alone	84
1075	Alabama	Lamar	pcnt_drive_alone	84
1077	Alabama	Lauderdale	pcnt_drive_alone	86
1079	Alabama	Lawrence	pcnt_drive_alone	87
1081	Alabama	Lee	pcnt_drive_alone	81
1083	Alabama	Limestone	pcnt_drive_alone	87
1085	Alabama	Lowndes	pcnt_drive_alone	80
1087	Alabama	Macon	pcnt_drive_alone	75
1089	Alabama	Madison	pcnt_drive_alone	86
1091	Alabama	Marengo	pcnt_drive_alone	85
1093	Alabama	Marion	pcnt_drive_alone	84
1095	Alabama	Marshall	pcnt_drive_alone	80
1097	Alabama	Mobile	pcnt_drive_alone	84
1099	Alabama	Monroe	pcnt_drive_alone	85
1101	Alabama	Montgomery	pcnt_drive_alone	84
1103	Alabama	Morgan	pcnt_drive_alone	85
1105	Alabama	Perry	pcnt_drive_alone	80
1107	Alabama	Pickens	pcnt_drive_alone	86
1109	Alabama	Pike	pcnt_drive_alone	82
1111	Alabama	Randolph	pcnt_drive_alone	78
1113	Alabama	Russell	pcnt_drive_alone	80
1115	Alabama	St. Clair	pcnt_drive_alone	85
1117	Alabama	Shelby	pcnt_drive_alone	84
1119	Alabama	Sumter	pcnt_drive_alone	82
1121	Alabama	Talladega	pcnt_drive_alone	84
1123	Alabama	Tallapoosa	pcnt_drive_alone	81
1125	Alabama	Tuscaloosa	pcnt_drive_alone	85
1127	Alabama	Walker	pcnt_drive_alone	85
1129	Alabama	Washington	pcnt_drive_alone	84
1131	Alabama	Wilcox	pcnt_drive_alone	76
1133	Alabama	Winston	pcnt_drive_alone	83
2013	Alaska	Aleutians East	pcnt_drive_alone	8
2016	Alaska	Aleutians West	pcnt_drive_alone	24
2020	Alaska	Anchorage	pcnt_drive_alone	76
2050	Alaska	Bethel	pcnt_drive_alone	28
