FIPS	State	County	Variable	pcnt_excessive_drinking
1001	Alabama	Autauga	pcnt_excessive_drinking	17
1003	Alabama	Baldwin	pcnt_excessive_drinking	19
1005	Alabama	Barbour	pcnt_excessive_drinking	13
1007	Alabama	Bibb	pcnt_excessive_drinking	13
1009	Alabama	Blount	pcnt_excessive_drinking	5
1011	Alabama	Bullock	pcnt_excessive_drinking	
1013	Alabama	Butler	pcnt_excessive_drinking	10
1015	Alabama	Calhoun	pcnt_excessive_drinking	13
1017	Alabama	Chambers	pcnt_excessive_drinking	8
1019	Alabama	Cherokee	pcnt_excessive_drinking	14
1021	Alabama	Chilton	pcnt_excessive_drinking	11
1023	Alabama	Choctaw	pcnt_excessive_drinking	8
1025	Alabama	Clarke	pcnt_excessive_drinking	13
1027	Alabama	Clay	pcnt_excessive_drinking	6
1029	Alabama	Cleburne	pcnt_excessive_drinking	9
1031	Alabama	Coffee	pcnt_excessive_drinking	12
1033	Alabama	Colbert	pcnt_excessive_drinking	10
1035	Alabama	Conecuh	pcnt_excessive_drinking	6
1037	Alabama	Coosa	pcnt_excessive_drinking	13
1039	Alabama	Covington	pcnt_excessive_drinking	12
1041	Alabama	Crenshaw	pcnt_excessive_drinking	13
1043	Alabama	Cullman	pcnt_excessive_drinking	10
1045	Alabama	Dale	pcnt_excessive_drinking	15
1047	Alabama	Dallas	pcnt_excessive_drinking	11
1049	Alabama	DeKalb	pcnt_excessive_drinking	10
1051	Alabama	Elmore	pcnt_excessive_drinking	10
1053	Alabama	Escambia	pcnt_excessive_drinking	7
1055	Alabama	Etowah	pcnt_excessive_drinking	11
1057	Alabama	Fayette	pcnt_excessive_drinking	4
1059	Alabama	Franklin	pcnt_excessive_drinking	4
1061	Alabama	Geneva	pcnt_excessive_drinking	12
1063	Alabama	Greene	pcnt_excessive_drinking	
1065	Alabama	Hale	pcnt_excessive_drinking	8
1067	Alabama	Henry	pcnt_excessive_drinking	6
1069	Alabama	Houston	pcnt_excessive_drinking	12
1071	Alabama	Jackson	pcnt_excessive_drinking	8
1073	Alabama	Jefferson	pcnt_excessive_drinking	15
1075	Alabama	Lamar	pcnt_excessive_drinking	
1077	Alabama	Lauderdale	pcnt_excessive_drinking	4
1079	Alabama	Lawrence	pcnt_excessive_drinking	5
1081	Alabama	Lee	pcnt_excessive_drinking	19
1083	Alabama	Limestone	pcnt_excessive_drinking	10
1085	Alabama	Lowndes	pcnt_excessive_drinking	18
1087	Alabama	Macon	pcnt_excessive_drinking	
1089	Alabama	Madison	pcnt_excessive_drinking	11
1091	Alabama	Marengo	pcnt_excessive_drinking	15
1093	Alabama	Marion	pcnt_excessive_drinking	3
1095	Alabama	Marshall	pcnt_excessive_drinking	13
1097	Alabama	Mobile	pcnt_excessive_drinking	15
1099	Alabama	Monroe	pcnt_excessive_drinking	15
