FIPS	State	County	Variable	pcnt_fair_poor
01001	Alabama	Autauga	pcnt_fair_poor	23
01003	Alabama	Baldwin	pcnt_fair_poor	13
01005	Alabama	Barbour	pcnt_fair_poor	22
01007	Alabama	Bibb	pcnt_fair_poor	21
01009	Alabama	Blount	pcnt_fair_poor	22
01011	Alabama	Bullock	pcnt_fair_poor	25
01013	Alabama	Butler	pcnt_fair_poor	20
01015	Alabama	Calhoun	pcnt_fair_poor	24
01017	Alabama	Chambers	pcnt_fair_poor	40
01019	Alabama	Cherokee	pcnt_fair_poor	23
01021	Alabama	Chilton	pcnt_fair_poor	21
01023	Alabama	Choctaw	pcnt_fair_poor	33
01025	Alabama	Clarke	pcnt_fair_poor	
01027	Alabama	Clay	pcnt_fair_poor	24
01029	Alabama	Cleburne	pcnt_fair_poor	19
01031	Alabama	Coffee	pcnt_fair_poor	19
01033	Alabama	Colbert	pcnt_fair_poor	24
01035	Alabama	Conecuh	pcnt_fair_poor	20
01037	Alabama	Coosa	pcnt_fair_poor	22
01039	Alabama	Covington	pcnt_fair_poor	23
01041	Alabama	Crenshaw	pcnt_fair_poor	20
01043	Alabama	Cullman	pcnt_fair_poor	22
01045	Alabama	Dale	pcnt_fair_poor	24
01047	Alabama	Dallas	pcnt_fair_poor	26
01049	Alabama	DeKalb	pcnt_fair_poor	21
01051	Alabama	Elmore	pcnt_fair_poor	18
01053	Alabama	Escambia	pcnt_fair_poor	26
01055	Alabama	Etowah	pcnt_fair_poor	23
01057	Alabama	Fayette	pcnt_fair_poor	31
01059	Alabama	Franklin	pcnt_fair_poor	22
01061	Alabama	Geneva	pcnt_fair_poor	27
01063	Alabama	Greene	pcnt_fair_poor	20
01065	Alabama	Hale	pcnt_fair_poor	23
01067	Alabama	Henry	pcnt_fair_poor	17
01069	Alabama	Houston	pcnt_fair_poor	21
01071	Alabama	Jackson	pcnt_fair_poor	27
01073	Alabama	Jefferson	pcnt_fair_poor	17
01075	Alabama	Lamar	pcnt_fair_poor	27
01077	Alabama	Lauderdale	pcnt_fair_poor	21
