FIPS	State	County	Variable	pcnt_free_lunch
1001	Alabama	Autauga	pcnt_free_lunch	36
1003	Alabama	Baldwin	pcnt_free_lunch	37
1005	Alabama	Barbour	pcnt_free_lunch	66
1007	Alabama	Bibb	pcnt_free_lunch	54
1009	Alabama	Blount	pcnt_free_lunch	44
1011	Alabama	Bullock	pcnt_free_lunch	90
1013	Alabama	Butler	pcnt_free_lunch	68
1015	Alabama	Calhoun	pcnt_free_lunch	51
1017	Alabama	Chambers	pcnt_free_lunch	65
1019	Alabama	Cherokee	pcnt_free_lunch	51
1021	Alabama	Chilton	pcnt_free_lunch	52
1023	Alabama	Choctaw	pcnt_free_lunch	68
1025	Alabama	Clarke	pcnt_free_lunch	60
1027	Alabama	Clay	pcnt_free_lunch	52
1029	Alabama	Cleburne	pcnt_free_lunch	49
1031	Alabama	Coffee	pcnt_free_lunch	36
1033	Alabama	Colbert	pcnt_free_lunch	44
1035	Alabama	Conecuh	pcnt_free_lunch	81
1037	Alabama	Coosa	pcnt_free_lunch	65
1039	Alabama	Covington	pcnt_free_lunch	47
1041	Alabama	Crenshaw	pcnt_free_lunch	50
1043	Alabama	Cullman	pcnt_free_lunch	45
1045	Alabama	Dale	pcnt_free_lunch	52
1047	Alabama	Dallas	pcnt_free_lunch	77
1049	Alabama	DeKalb	pcnt_free_lunch	59
1051	Alabama	Elmore	pcnt_free_lunch	41
1053	Alabama	Escambia	pcnt_free_lunch	62
1055	Alabama	Etowah	pcnt_free_lunch	49
1057	Alabama	Fayette	pcnt_free_lunch	48
1059	Alabama	Franklin	pcnt_free_lunch	57
1061	Alabama	Geneva	pcnt_free_lunch	54
1063	Alabama	Greene	pcnt_free_lunch	87
1065	Alabama	Hale	pcnt_free_lunch	68
1067	Alabama	Henry	pcnt_free_lunch	53
1069	Alabama	Houston	pcnt_free_lunch	54
1071	Alabama	Jackson	pcnt_free_lunch	50
1073	Alabama	Jefferson	pcnt_free_lunch	43
1075	Alabama	Lamar	pcnt_free_lunch	50
1077	Alabama	Lauderdale	pcnt_free_lunch	42
1079	Alabama	Lawrence	pcnt_free_lunch	50
1081	Alabama	Lee	pcnt_free_lunch	40
1083	Alabama	Limestone	pcnt_free_lunch	39
1085	Alabama	Lowndes	pcnt_free_lunch	91
1087	Alabama	Macon	pcnt_free_lunch	98
1089	Alabama	Madison	pcnt_free_lunch	32
1091	Alabama	Marengo	pcnt_free_lunch	62
1093	Alabama	Marion	pcnt_free_lunch	48
1095	Alabama	Marshall	pcnt_free_lunch	49
1097	Alabama	Mobile	pcnt_free_lunch	63
1099	Alabama	Monroe	pcnt_free_lunch	61
1101	Alabama	Montgomery	pcnt_free_lunch	65
1103	Alabama	Morgan	pcnt_free_lunch	37
1105	Alabama	Perry	pcnt_free_lunch	97
1107	Alabama	Pickens	pcnt_free_lunch	68
1109	Alabama	Pike	pcnt_free_lunch	62
1111	Alabama	Randolph	pcnt_free_lunch	58
1113	Alabama	Russell	pcnt_free_lunch	62
1115	Alabama	St. Clair	pcnt_free_lunch	42
1117	Alabama	Shelby	pcnt_free_lunch	23
1119	Alabama	Sumter	pcnt_free_lunch	86
1121	Alabama	Talladega	pcnt_free_lunch	63
1123	Alabama	Tallapoosa	pcnt_free_lunch	54
1125	Alabama	Tuscaloosa	pcnt_free_lunch	48
1127	Alabama	Walker	pcnt_free_lunch	47
1129	Alabama	Washington	pcnt_free_lunch	52
1131	Alabama	Wilcox	pcnt_free_lunch	96
1133	Alabama	Winston	pcnt_free_lunch	46
2013	Alaska	Aleutians East	pcnt_free_lunch	38
2016	Alaska	Aleutians West	pcnt_free_lunch	13
2020	Alaska	Anchorage	pcnt_free_lunch	32
2050	Alaska	Bethel	pcnt_free_lunch	67
2060	Alaska	Bristol Bay	pcnt_free_lunch	33
2068	Alaska	Denali	pcnt_free_lunch	0
2070	Alaska	Dillingham	pcnt_free_lunch	64
2090	Alaska	Fairbanks North Star	pcnt_free_lunch	16
2100	Alaska	Haines	pcnt_free_lunch	40
2110	Alaska	Juneau	pcnt_free_lunch	22
2122	Alaska	Kenai Peninsula	pcnt_free_lunch	28
2130	Alaska	Ketchikan Gateway	pcnt_free_lunch	32
2150	Alaska	Kodiak Island	pcnt_free_lunch	35
2164	Alaska	Lake and Peninsula	pcnt_free_lunch	63
2170	Alaska	Matanuska-Susitna	pcnt_free_lunch	26
2180	Alaska	Nome	pcnt_free_lunch	72
2185	Alaska	North Slope	pcnt_free_lunch	34
2188	Alaska	Northwest Arctic	pcnt_free_lunch	71
2201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_free_lunch	51
2220	Alaska	Sitka	pcnt_free_lunch	29
2232	Alaska	Skagway-Hoonah-Angoon	pcnt_free_lunch	32
2240	Alaska	Southeast Fairbanks	pcnt_free_lunch	32
2261	Alaska	Valdez-Cordova	pcnt_free_lunch	25
2270	Alaska	Wade Hampton	pcnt_free_lunch	64
2280	Alaska	Wrangell-Petersburg	pcnt_free_lunch	44
2282	Alaska	Yakutat	pcnt_free_lunch	71
2290	Alaska	Yukon-Koyukuk	pcnt_free_lunch	27
4001	Arizona	Apache	pcnt_free_lunch	25
4003	Arizona	Cochise	pcnt_free_lunch	43
4005	Arizona	Coconino	pcnt_free_lunch	29
4007	Arizona	Gila	pcnt_free_lunch	42
4009	Arizona	Graham	pcnt_free_lunch	30
4011	Arizona	Greenlee	pcnt_free_lunch	24
4012	Arizona	La Paz	pcnt_free_lunch	59
4013	Arizona	Maricopa	pcnt_free_lunch	33
4015	Arizona	Mohave	pcnt_free_lunch	50
4017	Arizona	Navajo	pcnt_free_lunch	39
4019	Arizona	Pima	pcnt_free_lunch	40
4021	Arizona	Pinal	pcnt_free_lunch	41
4023	Arizona	Santa Cruz	pcnt_free_lunch	66
4025	Arizona	Yavapai	pcnt_free_lunch	35
4027	Arizona	Yuma	pcnt_free_lunch	34
5001	Arkansas	Arkansas	pcnt_free_lunch	54
5003	Arkansas	Ashley	pcnt_free_lunch	77
5005	Arkansas	Baxter	pcnt_free_lunch	47
5007	Arkansas	Benton	pcnt_free_lunch	37
5009	Arkansas	Boone	pcnt_free_lunch	43
5011	Arkansas	Bradley	pcnt_free_lunch	64
5013	Arkansas	Calhoun	pcnt_free_lunch	50
5015	Arkansas	Carroll	pcnt_free_lunch	53
5017	Arkansas	Chicot	pcnt_free_lunch	98
5019	Arkansas	Clark	pcnt_free_lunch	49
5021	Arkansas	Clay	pcnt_free_lunch	49
5023	Arkansas	Cleburne	pcnt_free_lunch	42
5025	Arkansas	Cleveland	pcnt_free_lunch	38
5027	Arkansas	Columbia	pcnt_free_lunch	56
5029	Arkansas	Conway	pcnt_free_lunch	52
5031	Arkansas	Craighead	pcnt_free_lunch	46
5033	Arkansas	Crawford	pcnt_free_lunch	50
5035	Arkansas	Crittenden	pcnt_free_lunch	79
5037	Arkansas	Cross	pcnt_free_lunch	58
5039	Arkansas	Dallas	pcnt_free_lunch	55
5041	Arkansas	Desha	pcnt_free_lunch	70
5043	Arkansas	Drew	pcnt_free_lunch	54
5045	Arkansas	Faulkner	pcnt_free_lunch	35
5047	Arkansas	Franklin	pcnt_free_lunch	44
5049	Arkansas	Fulton	pcnt_free_lunch	51
5051	Arkansas	Garland	pcnt_free_lunch	49
5053	Arkansas	Grant	pcnt_free_lunch	35
5055	Arkansas	Greene	pcnt_free_lunch	46
5057	Arkansas	Hempstead	pcnt_free_lunch	69
5059	Arkansas	Hot Spring	pcnt_free_lunch	48
5061	Arkansas	Howard	pcnt_free_lunch	59
5063	Arkansas	Independence	pcnt_free_lunch	47
5065	Arkansas	Izard	pcnt_free_lunch	46
5067	Arkansas	Jackson	pcnt_free_lunch	59
5069	Arkansas	Jefferson	pcnt_free_lunch	61
5071	Arkansas	Johnson	pcnt_free_lunch	60
5073	Arkansas	Lafayette	pcnt_free_lunch	73
5075	Arkansas	Lawrence	pcnt_free_lunch	54
5077	Arkansas	Lee	pcnt_free_lunch	85
5079	Arkansas	Lincoln	pcnt_free_lunch	51
5081	Arkansas	Little River	pcnt_free_lunch	51
5083	Arkansas	Logan	pcnt_free_lunch	50
5085	Arkansas	Lonoke	pcnt_free_lunch	32
5087	Arkansas	Madison	pcnt_free_lunch	51
5089	Arkansas	Marion	pcnt_free_lunch	54
5091	Arkansas	Miller	pcnt_free_lunch	55
5093	Arkansas	Mississippi	pcnt_free_lunch	73
