FIPS	State	County	Variable	pcnt_hba1c
01001	Alabama	Autauga	pcnt_hba1c	85
01003	Alabama	Baldwin	pcnt_hba1c	81
01005	Alabama	Barbour	pcnt_hba1c	86
01007	Alabama	Bibb	pcnt_hba1c	85
01009	Alabama	Blount	pcnt_hba1c	84
01011	Alabama	Bullock	pcnt_hba1c	76
01013	Alabama	Butler	pcnt_hba1c	83
01015	Alabama	Calhoun	pcnt_hba1c	80
01017	Alabama	Chambers	pcnt_hba1c	86
01019	Alabama	Cherokee	pcnt_hba1c	89
01021	Alabama	Chilton	pcnt_hba1c	84
01023	Alabama	Choctaw	pcnt_hba1c	84
01025	Alabama	Clarke	pcnt_hba1c	79
01027	Alabama	Clay	pcnt_hba1c	81
01029	Alabama	Cleburne	pcnt_hba1c	79
01031	Alabama	Coffee	pcnt_hba1c	84
01033	Alabama	Colbert	pcnt_hba1c	90
01035	Alabama	Conecuh	pcnt_hba1c	75
01037	Alabama	Coosa	pcnt_hba1c	85
01039	Alabama	Covington	pcnt_hba1c	86
01041	Alabama	Crenshaw	pcnt_hba1c	77
01043	Alabama	Cullman	pcnt_hba1c	88
01045	Alabama	Dale	pcnt_hba1c	84
01047	Alabama	Dallas	pcnt_hba1c	70
01049	Alabama	DeKalb	pcnt_hba1c	88
01051	Alabama	Elmore	pcnt_hba1c	84
01053	Alabama	Escambia	pcnt_hba1c	75
01055	Alabama	Etowah	pcnt_hba1c	85
01057	Alabama	Fayette	pcnt_hba1c	83
01059	Alabama	Franklin	pcnt_hba1c	89
01061	Alabama	Geneva	pcnt_hba1c	87
01063	Alabama	Greene	pcnt_hba1c	79
01065	Alabama	Hale	pcnt_hba1c	72
01067	Alabama	Henry	pcnt_hba1c	83
01069	Alabama	Houston	pcnt_hba1c	86
01071	Alabama	Jackson	pcnt_hba1c	84
01073	Alabama	Jefferson	pcnt_hba1c	85
01075	Alabama	Lamar	pcnt_hba1c	79
01077	Alabama	Lauderdale	pcnt_hba1c	88
01079	Alabama	Lawrence	pcnt_hba1c	83
