FIPS	State	County	Variable	pcnt_lbw
01001	Alabama	Autauga	pcnt_lbw	9.4
01003	Alabama	Baldwin	pcnt_lbw	8.8
01005	Alabama	Barbour	pcnt_lbw	12.3
01007	Alabama	Bibb	pcnt_lbw	11.9
01009	Alabama	Blount	pcnt_lbw	7.6
01011	Alabama	Bullock	pcnt_lbw	14.1
01013	Alabama	Butler	pcnt_lbw	10.4
01015	Alabama	Calhoun	pcnt_lbw	9.2
01017	Alabama	Chambers	pcnt_lbw	11.4
01019	Alabama	Cherokee	pcnt_lbw	9.3
01021	Alabama	Chilton	pcnt_lbw	9.8
01023	Alabama	Choctaw	pcnt_lbw	10.8
01025	Alabama	Clarke	pcnt_lbw	12.2
01027	Alabama	Clay	pcnt_lbw	10.9
01029	Alabama	Cleburne	pcnt_lbw	7.9
01031	Alabama	Coffee	pcnt_lbw	9.2
01033	Alabama	Colbert	pcnt_lbw	11.0
01035	Alabama	Conecuh	pcnt_lbw	11.6
01037	Alabama	Coosa	pcnt_lbw	11.7
01039	Alabama	Covington	pcnt_lbw	9.6
01041	Alabama	Crenshaw	pcnt_lbw	9.7
01043	Alabama	Cullman	pcnt_lbw	9.3
01045	Alabama	Dale	pcnt_lbw	8.4
01047	Alabama	Dallas	pcnt_lbw	12.6
01049	Alabama	DeKalb	pcnt_lbw	8.9
01051	Alabama	Elmore	pcnt_lbw	9.0
01053	Alabama	Escambia	pcnt_lbw	10.8
01055	Alabama	Etowah	pcnt_lbw	9.1
01057	Alabama	Fayette	pcnt_lbw	9.6
01059	Alabama	Franklin	pcnt_lbw	9.0
01061	Alabama	Geneva	pcnt_lbw	8.8
01063	Alabama	Greene	pcnt_lbw	15.3
01065	Alabama	Hale	pcnt_lbw	13.0
01067	Alabama	Henry	pcnt_lbw	9.0
01069	Alabama	Houston	pcnt_lbw	8.5
01071	Alabama	Jackson	pcnt_lbw	8.9
01073	Alabama	Jefferson	pcnt_lbw	11.6
01075	Alabama	Lamar	pcnt_lbw	9.0
01077	Alabama	Lauderdale	pcnt_lbw	10.1
01079	Alabama	Lawrence	pcnt_lbw	10.1
01081	Alabama	Lee	pcnt_lbw	8.0
01083	Alabama	Limestone	pcnt_lbw	9.6
01085	Alabama	Lowndes	pcnt_lbw	12.9
01087	Alabama	Macon	pcnt_lbw	11.4
01089	Alabama	Madison	pcnt_lbw	10.6
01091	Alabama	Marengo	pcnt_lbw	12.4
01093	Alabama	Marion	pcnt_lbw	9.3
01095	Alabama	Marshall	pcnt_lbw	8.2
01097	Alabama	Mobile	pcnt_lbw	11.9
01099	Alabama	Monroe	pcnt_lbw	15.1
01101	Alabama	Montgomery	pcnt_lbw	11.7
01103	Alabama	Morgan	pcnt_lbw	9.2
01105	Alabama	Perry	pcnt_lbw	12.8
01107	Alabama	Pickens	pcnt_lbw	12.7
01109	Alabama	Pike	pcnt_lbw	10.1
01111	Alabama	Randolph	pcnt_lbw	10.2
01113	Alabama	Russell	pcnt_lbw	11.0
01115	Alabama	St. Clair	pcnt_lbw	8.7
01117	Alabama	Shelby	pcnt_lbw	8.5
01119	Alabama	Sumter	pcnt_lbw	13.6
01121	Alabama	Talladega	pcnt_lbw	12.7
01123	Alabama	Tallapoosa	pcnt_lbw	12.0
01125	Alabama	Tuscaloosa	pcnt_lbw	11.6
01127	Alabama	Walker	pcnt_lbw	10.2
01129	Alabama	Washington	pcnt_lbw	10.0
01131	Alabama	Wilcox	pcnt_lbw	12.9
01133	Alabama	Winston	pcnt_lbw	9.8
02013	Alaska	Aleutians East	pcnt_lbw	
02016	Alaska	Aleutians West	pcnt_lbw	
02020	Alaska	Anchorage	pcnt_lbw	6.3
02050	Alaska	Bethel	pcnt_lbw	5.5
02060	Alaska	Bristol Bay	pcnt_lbw	
02068	Alaska	Denali	pcnt_lbw	
