FIPS	State	County	Variable	pcnt_mammography
01001	Alabama	Autauga	pcnt_mammography	68.5
01003	Alabama	Baldwin	pcnt_mammography	69.9
01005	Alabama	Barbour	pcnt_mammography	64.8
01007	Alabama	Bibb	pcnt_mammography	57.2
01009	Alabama	Blount	pcnt_mammography	66.0
01011	Alabama	Bullock	pcnt_mammography	57.0
01013	Alabama	Butler	pcnt_mammography	59.9
01015	Alabama	Calhoun	pcnt_mammography	60.0
01017	Alabama	Chambers	pcnt_mammography	64.5
01019	Alabama	Cherokee	pcnt_mammography	64.1
01021	Alabama	Chilton	pcnt_mammography	62.1
01023	Alabama	Choctaw	pcnt_mammography	66.9
01025	Alabama	Clarke	pcnt_mammography	62.2
01027	Alabama	Clay	pcnt_mammography	58.2
01029	Alabama	Cleburne	pcnt_mammography	50.3
01031	Alabama	Coffee	pcnt_mammography	70.2
01033	Alabama	Colbert	pcnt_mammography	65.0
01035	Alabama	Conecuh	pcnt_mammography	58.2
01037	Alabama	Coosa	pcnt_mammography	62.6
01039	Alabama	Covington	pcnt_mammography	66.2
01041	Alabama	Crenshaw	pcnt_mammography	58.8
01043	Alabama	Cullman	pcnt_mammography	71.2
01045	Alabama	Dale	pcnt_mammography	68.1
01047	Alabama	Dallas	pcnt_mammography	65.3
01049	Alabama	DeKalb	pcnt_mammography	61.3
01051	Alabama	Elmore	pcnt_mammography	69.0
01053	Alabama	Escambia	pcnt_mammography	61.8
01055	Alabama	Etowah	pcnt_mammography	58.2
01057	Alabama	Fayette	pcnt_mammography	63.1
01059	Alabama	Franklin	pcnt_mammography	56.4
01061	Alabama	Geneva	pcnt_mammography	63.5
01063	Alabama	Greene	pcnt_mammography	50.6
01065	Alabama	Hale	pcnt_mammography	59.7
01067	Alabama	Henry	pcnt_mammography	62.4
01069	Alabama	Houston	pcnt_mammography	68.1
01071	Alabama	Jackson	pcnt_mammography	55.9
01073	Alabama	Jefferson	pcnt_mammography	69.4
01075	Alabama	Lamar	pcnt_mammography	61.3
01077	Alabama	Lauderdale	pcnt_mammography	66.2
01079	Alabama	Lawrence	pcnt_mammography	61.7
01081	Alabama	Lee	pcnt_mammography	63.4
01083	Alabama	Limestone	pcnt_mammography	69.7
01085	Alabama	Lowndes	pcnt_mammography	63.9
01087	Alabama	Macon	pcnt_mammography	59.7
01089	Alabama	Madison	pcnt_mammography	69.2
01091	Alabama	Marengo	pcnt_mammography	51.6
01093	Alabama	Marion	pcnt_mammography	59.6
01095	Alabama	Marshall	pcnt_mammography	60.0
01097	Alabama	Mobile	pcnt_mammography	64.1
01099	Alabama	Monroe	pcnt_mammography	65.4
01101	Alabama	Montgomery	pcnt_mammography	67.8
01103	Alabama	Morgan	pcnt_mammography	68.5
01105	Alabama	Perry	pcnt_mammography	56.8
01107	Alabama	Pickens	pcnt_mammography	65.0
01109	Alabama	Pike	pcnt_mammography	67.3
01111	Alabama	Randolph	pcnt_mammography	55.1
01113	Alabama	Russell	pcnt_mammography	57.9
01115	Alabama	St. Clair	pcnt_mammography	65.0
01117	Alabama	Shelby	pcnt_mammography	75.0
01119	Alabama	Sumter	pcnt_mammography	67.0
01121	Alabama	Talladega	pcnt_mammography	57.3
01123	Alabama	Tallapoosa	pcnt_mammography	64.8
01125	Alabama	Tuscaloosa	pcnt_mammography	72.8
01127	Alabama	Walker	pcnt_mammography	63.3
01129	Alabama	Washington	pcnt_mammography	61.9
01131	Alabama	Wilcox	pcnt_mammography	47.9
01133	Alabama	Winston	pcnt_mammography	55.0
02013	Alaska	Aleutians East	pcnt_mammography	
02016	Alaska	Aleutians West	pcnt_mammography	
02020	Alaska	Anchorage	pcnt_mammography	57.2
02050	Alaska	Bethel	pcnt_mammography	
02060	Alaska	Bristol Bay	pcnt_mammography	
02068	Alaska	Denali	pcnt_mammography	
02070	Alaska	Dillingham	pcnt_mammography	58.3
02090	Alaska	Fairbanks North Star	pcnt_mammography	58.5
02100	Alaska	Haines	pcnt_mammography	58.8
02110	Alaska	Juneau	pcnt_mammography	68.8
02122	Alaska	Kenai Peninsula	pcnt_mammography	58.3
02130	Alaska	Ketchikan Gateway	pcnt_mammography	61.5
02150	Alaska	Kodiak Island	pcnt_mammography	50.7
02164	Alaska	Lake and Peninsula	pcnt_mammography	
02170	Alaska	Matanuska-Susitna	pcnt_mammography	59.1
02180	Alaska	Nome	pcnt_mammography	55.8
02185	Alaska	North Slope	pcnt_mammography	
02188	Alaska	Northwest Arctic	pcnt_mammography	
02201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_mammography	56.5
02220	Alaska	Sitka	pcnt_mammography	57.1
02232	Alaska	Skagway-Hoonah-Angoon	pcnt_mammography	60.0
02240	Alaska	Southeast Fairbanks	pcnt_mammography	52.7
02261	Alaska	Valdez-Cordova	pcnt_mammography	62.7
02270	Alaska	Wade Hampton	pcnt_mammography	
