FIPS	State	County	Variable	pcnt_no_social_emotional_support
01001	Alabama	Autauga	pcnt_no_social_emotional_support	24
01003	Alabama	Baldwin	pcnt_no_social_emotional_support	19
01005	Alabama	Barbour	pcnt_no_social_emotional_support	18
01007	Alabama	Bibb	pcnt_no_social_emotional_support	29
01009	Alabama	Blount	pcnt_no_social_emotional_support	14
01011	Alabama	Bullock	pcnt_no_social_emotional_support	
01013	Alabama	Butler	pcnt_no_social_emotional_support	28
01015	Alabama	Calhoun	pcnt_no_social_emotional_support	22
01017	Alabama	Chambers	pcnt_no_social_emotional_support	33
01019	Alabama	Cherokee	pcnt_no_social_emotional_support	23
01021	Alabama	Chilton	pcnt_no_social_emotional_support	23
01023	Alabama	Choctaw	pcnt_no_social_emotional_support	27
01025	Alabama	Clarke	pcnt_no_social_emotional_support	28
01027	Alabama	Clay	pcnt_no_social_emotional_support	27
01029	Alabama	Cleburne	pcnt_no_social_emotional_support	25
01031	Alabama	Coffee	pcnt_no_social_emotional_support	23
01033	Alabama	Colbert	pcnt_no_social_emotional_support	21
01035	Alabama	Conecuh	pcnt_no_social_emotional_support	
01037	Alabama	Coosa	pcnt_no_social_emotional_support	
01039	Alabama	Covington	pcnt_no_social_emotional_support	15
01041	Alabama	Crenshaw	pcnt_no_social_emotional_support	18
01043	Alabama	Cullman	pcnt_no_social_emotional_support	17
01045	Alabama	Dale	pcnt_no_social_emotional_support	17
01047	Alabama	Dallas	pcnt_no_social_emotional_support	33
01049	Alabama	DeKalb	pcnt_no_social_emotional_support	26
01051	Alabama	Elmore	pcnt_no_social_emotional_support	15
01053	Alabama	Escambia	pcnt_no_social_emotional_support	21
01055	Alabama	Etowah	pcnt_no_social_emotional_support	25
01057	Alabama	Fayette	pcnt_no_social_emotional_support	28
01059	Alabama	Franklin	pcnt_no_social_emotional_support	24
01061	Alabama	Geneva	pcnt_no_social_emotional_support	24
01063	Alabama	Greene	pcnt_no_social_emotional_support	
01065	Alabama	Hale	pcnt_no_social_emotional_support	
01067	Alabama	Henry	pcnt_no_social_emotional_support	16
01069	Alabama	Houston	pcnt_no_social_emotional_support	20
01071	Alabama	Jackson	pcnt_no_social_emotional_support	22
01073	Alabama	Jefferson	pcnt_no_social_emotional_support	23
01075	Alabama	Lamar	pcnt_no_social_emotional_support	22
