FIPS	State	County	Variable	pcnt_not_proficient_in_english
1001	Alabama	Autauga	pcnt_not_proficient_in_english	0.5
1003	Alabama	Baldwin	pcnt_not_proficient_in_english	1.7
1005	Alabama	Barbour	pcnt_not_proficient_in_english	1.5
1007	Alabama	Bibb	pcnt_not_proficient_in_english	0.8
1009	Alabama	Blount	pcnt_not_proficient_in_english	3
1011	Alabama	Bullock	pcnt_not_proficient_in_english	3.1
1013	Alabama	Butler	pcnt_not_proficient_in_english	0.1
1015	Alabama	Calhoun	pcnt_not_proficient_in_english	1
1017	Alabama	Chambers	pcnt_not_proficient_in_english	0.3
1019	Alabama	Cherokee	pcnt_not_proficient_in_english	0.2
1021	Alabama	Chilton	pcnt_not_proficient_in_english	2.2
1023	Alabama	Choctaw	pcnt_not_proficient_in_english	0.1
1025	Alabama	Clarke	pcnt_not_proficient_in_english	0
1027	Alabama	Clay	pcnt_not_proficient_in_english	1.3
1029	Alabama	Cleburne	pcnt_not_proficient_in_english	0.9
1031	Alabama	Coffee	pcnt_not_proficient_in_english	2.1
1033	Alabama	Colbert	pcnt_not_proficient_in_english	0.7
1035	Alabama	Conecuh	pcnt_not_proficient_in_english	0.2
1037	Alabama	Coosa	pcnt_not_proficient_in_english	0
1039	Alabama	Covington	pcnt_not_proficient_in_english	0.9
1041	Alabama	Crenshaw	pcnt_not_proficient_in_english	1.1
1043	Alabama	Cullman	pcnt_not_proficient_in_english	1.5
1045	Alabama	Dale	pcnt_not_proficient_in_english	1.1
1047	Alabama	Dallas	pcnt_not_proficient_in_english	0.2
1049	Alabama	DeKalb	pcnt_not_proficient_in_english	5.1
1051	Alabama	Elmore	pcnt_not_proficient_in_english	1
1053	Alabama	Escambia	pcnt_not_proficient_in_english	0.3
1055	Alabama	Etowah	pcnt_not_proficient_in_english	1.2
1057	Alabama	Fayette	pcnt_not_proficient_in_english	0.2
1059	Alabama	Franklin	pcnt_not_proficient_in_english	5.8
1061	Alabama	Geneva	pcnt_not_proficient_in_english	1.2
1063	Alabama	Greene	pcnt_not_proficient_in_english	0.1
1065	Alabama	Hale	pcnt_not_proficient_in_english	0.1
1067	Alabama	Henry	pcnt_not_proficient_in_english	0.8
1069	Alabama	Houston	pcnt_not_proficient_in_english	0.7
1071	Alabama	Jackson	pcnt_not_proficient_in_english	0.6
1073	Alabama	Jefferson	pcnt_not_proficient_in_english	1.7
1075	Alabama	Lamar	pcnt_not_proficient_in_english	0.1
1077	Alabama	Lauderdale	pcnt_not_proficient_in_english	0.8
1079	Alabama	Lawrence	pcnt_not_proficient_in_english	0.2
1081	Alabama	Lee	pcnt_not_proficient_in_english	1.6
1083	Alabama	Limestone	pcnt_not_proficient_in_english	1.8
1085	Alabama	Lowndes	pcnt_not_proficient_in_english	0.2
1087	Alabama	Macon	pcnt_not_proficient_in_english	0.3
1089	Alabama	Madison	pcnt_not_proficient_in_english	1.5
1091	Alabama	Marengo	pcnt_not_proficient_in_english	0.2
1093	Alabama	Marion	pcnt_not_proficient_in_english	1.1
1095	Alabama	Marshall	pcnt_not_proficient_in_english	5.8
1097	Alabama	Mobile	pcnt_not_proficient_in_english	1.2
1099	Alabama	Monroe	pcnt_not_proficient_in_english	0.2
1101	Alabama	Montgomery	pcnt_not_proficient_in_english	1.9
1103	Alabama	Morgan	pcnt_not_proficient_in_english	3.2
1105	Alabama	Perry	pcnt_not_proficient_in_english	0.4
1107	Alabama	Pickens	pcnt_not_proficient_in_english	0.9
1109	Alabama	Pike	pcnt_not_proficient_in_english	0.7
1111	Alabama	Randolph	pcnt_not_proficient_in_english	1.7
1113	Alabama	Russell	pcnt_not_proficient_in_english	0.6
1115	Alabama	St. Clair	pcnt_not_proficient_in_english	0.7
1117	Alabama	Shelby	pcnt_not_proficient_in_english	1.9
1119	Alabama	Sumter	pcnt_not_proficient_in_english	0
1121	Alabama	Talladega	pcnt_not_proficient_in_english	0.5
1123	Alabama	Tallapoosa	pcnt_not_proficient_in_english	0.9
1125	Alabama	Tuscaloosa	pcnt_not_proficient_in_english	1.5
1127	Alabama	Walker	pcnt_not_proficient_in_english	0.7
1129	Alabama	Washington	pcnt_not_proficient_in_english	0.3
1131	Alabama	Wilcox	pcnt_not_proficient_in_english	0
1133	Alabama	Winston	pcnt_not_proficient_in_english	0.5
2013	Alaska	Aleutians East	pcnt_not_proficient_in_english	22
2016	Alaska	Aleutians West	pcnt_not_proficient_in_english	9.7
2020	Alaska	Anchorage	pcnt_not_proficient_in_english	2.5
2050	Alaska	Bethel	pcnt_not_proficient_in_english	5
2060	Alaska	Bristol Bay	pcnt_not_proficient_in_english	0
2068	Alaska	Denali	pcnt_not_proficient_in_english	3.6
2070	Alaska	Dillingham	pcnt_not_proficient_in_english	4.3
2090	Alaska	Fairbanks North Star	pcnt_not_proficient_in_english	0.8
2100	Alaska	Haines	pcnt_not_proficient_in_english	0
2110	Alaska	Juneau	pcnt_not_proficient_in_english	0.8
2122	Alaska	Kenai Peninsula	pcnt_not_proficient_in_english	0.3
2130	Alaska	Ketchikan Gateway	pcnt_not_proficient_in_english	1
2150	Alaska	Kodiak Island	pcnt_not_proficient_in_english	3.9
2164	Alaska	Lake and Peninsula	pcnt_not_proficient_in_english	0.6
2170	Alaska	Matanuska-Susitna	pcnt_not_proficient_in_english	0.7
2180	Alaska	Nome	pcnt_not_proficient_in_english	1.5
2185	Alaska	North Slope	pcnt_not_proficient_in_english	2
2188	Alaska	Northwest Arctic	pcnt_not_proficient_in_english	2.1
2201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_not_proficient_in_english	0.1
2220	Alaska	Sitka	pcnt_not_proficient_in_english	0.5
2232	Alaska	Skagway-Hoonah-Angoon	pcnt_not_proficient_in_english	
2240	Alaska	Southeast Fairbanks	pcnt_not_proficient_in_english	1.2
2261	Alaska	Valdez-Cordova	pcnt_not_proficient_in_english	1
2270	Alaska	Wade Hampton	pcnt_not_proficient_in_english	2.1
2280	Alaska	Wrangell-Petersburg	pcnt_not_proficient_in_english	
2282	Alaska	Yakutat	pcnt_not_proficient_in_english	0.1
2290	Alaska	Yukon-Koyukuk	pcnt_not_proficient_in_english	0.5
4001	Arizona	Apache	pcnt_not_proficient_in_english	5.4
4003	Arizona	Cochise	pcnt_not_proficient_in_english	5
4005	Arizona	Coconino	pcnt_not_proficient_in_english	3.7
4007	Arizona	Gila	pcnt_not_proficient_in_english	1.2
4009	Arizona	Graham	pcnt_not_proficient_in_english	3.1
4011	Arizona	Greenlee	pcnt_not_proficient_in_english	1.6
4012	Arizona	La Paz	pcnt_not_proficient_in_english	5.8
4013	Arizona	Maricopa	pcnt_not_proficient_in_english	6.6
4015	Arizona	Mohave	pcnt_not_proficient_in_english	1.8
4017	Arizona	Navajo	pcnt_not_proficient_in_english	4.3
4019	Arizona	Pima	pcnt_not_proficient_in_english	4.8
4021	Arizona	Pinal	pcnt_not_proficient_in_english	3.9
4023	Arizona	Santa Cruz	pcnt_not_proficient_in_english	21.5
4025	Arizona	Yavapai	pcnt_not_proficient_in_english	2.1
4027	Arizona	Yuma	pcnt_not_proficient_in_english	14.4
5001	Arkansas	Arkansas	pcnt_not_proficient_in_english	1.9
5003	Arkansas	Ashley	pcnt_not_proficient_in_english	1.1
5005	Arkansas	Baxter	pcnt_not_proficient_in_english	0.2
5007	Arkansas	Benton	pcnt_not_proficient_in_english	3.8
5009	Arkansas	Boone	pcnt_not_proficient_in_english	0.5
5011	Arkansas	Bradley	pcnt_not_proficient_in_english	3.2
5013	Arkansas	Calhoun	pcnt_not_proficient_in_english	0
5015	Arkansas	Carroll	pcnt_not_proficient_in_english	3.8
5017	Arkansas	Chicot	pcnt_not_proficient_in_english	0.9
5019	Arkansas	Clark	pcnt_not_proficient_in_english	1
5021	Arkansas	Clay	pcnt_not_proficient_in_english	0.4
5023	Arkansas	Cleburne	pcnt_not_proficient_in_english	0.5
5025	Arkansas	Cleveland	pcnt_not_proficient_in_english	0.1
5027	Arkansas	Columbia	pcnt_not_proficient_in_english	0.2
5029	Arkansas	Conway	pcnt_not_proficient_in_english	0.7
5031	Arkansas	Craighead	pcnt_not_proficient_in_english	0.9
5033	Arkansas	Crawford	pcnt_not_proficient_in_english	2.2
5035	Arkansas	Crittenden	pcnt_not_proficient_in_english	0.3
5037	Arkansas	Cross	pcnt_not_proficient_in_english	0.1
5039	Arkansas	Dallas	pcnt_not_proficient_in_english	0.2
5041	Arkansas	Desha	pcnt_not_proficient_in_english	1.6
5043	Arkansas	Drew	pcnt_not_proficient_in_english	0.8
5045	Arkansas	Faulkner	pcnt_not_proficient_in_english	1.2
5047	Arkansas	Franklin	pcnt_not_proficient_in_english	0.2
5049	Arkansas	Fulton	pcnt_not_proficient_in_english	0.3
5051	Arkansas	Garland	pcnt_not_proficient_in_english	1.3
5053	Arkansas	Grant	pcnt_not_proficient_in_english	0.6
5055	Arkansas	Greene	pcnt_not_proficient_in_english	0.3
5057	Arkansas	Hempstead	pcnt_not_proficient_in_english	3.7
5059	Arkansas	Hot Spring	pcnt_not_proficient_in_english	0.4
5061	Arkansas	Howard	pcnt_not_proficient_in_english	4
5063	Arkansas	Independence	pcnt_not_proficient_in_english	2
5065	Arkansas	Izard	pcnt_not_proficient_in_english	0.2
5067	Arkansas	Jackson	pcnt_not_proficient_in_english	0.4
5069	Arkansas	Jefferson	pcnt_not_proficient_in_english	0.4
5071	Arkansas	Johnson	pcnt_not_proficient_in_english	3.7
5073	Arkansas	Lafayette	pcnt_not_proficient_in_english	0.3
5075	Arkansas	Lawrence	pcnt_not_proficient_in_english	0
5077	Arkansas	Lee	pcnt_not_proficient_in_english	0.7
5079	Arkansas	Lincoln	pcnt_not_proficient_in_english	0.4
5081	Arkansas	Little River	pcnt_not_proficient_in_english	0.1
5083	Arkansas	Logan	pcnt_not_proficient_in_english	0.4
5085	Arkansas	Lonoke	pcnt_not_proficient_in_english	0.5
5087	Arkansas	Madison	pcnt_not_proficient_in_english	1.1
5089	Arkansas	Marion	pcnt_not_proficient_in_english	0
5091	Arkansas	Miller	pcnt_not_proficient_in_english	0.8
5093	Arkansas	Mississippi	pcnt_not_proficient_in_english	0.8
5095	Arkansas	Monroe	pcnt_not_proficient_in_english	0.3
5097	Arkansas	Montgomery	pcnt_not_proficient_in_english	0.6
5099	Arkansas	Nevada	pcnt_not_proficient_in_english	0.3
5101	Arkansas	Newton	pcnt_not_proficient_in_english	0
5103	Arkansas	Ouachita	pcnt_not_proficient_in_english	0.2
5105	Arkansas	Perry	pcnt_not_proficient_in_english	0.1
5107	Arkansas	Phillips	pcnt_not_proficient_in_english	0.1
5109	Arkansas	Pike	pcnt_not_proficient_in_english	2
5111	Arkansas	Poinsett	pcnt_not_proficient_in_english	0.2
5113	Arkansas	Polk	pcnt_not_proficient_in_english	2.1
5115	Arkansas	Pope	pcnt_not_proficient_in_english	1.7
5117	Arkansas	Prairie	pcnt_not_proficient_in_english	0.2
5119	Arkansas	Pulaski	pcnt_not_proficient_in_english	2
5121	Arkansas	Randolph	pcnt_not_proficient_in_english	0.6
5123	Arkansas	St. Francis	pcnt_not_proficient_in_english	0.5
5125	Arkansas	Saline	pcnt_not_proficient_in_english	0.5
5127	Arkansas	Scott	pcnt_not_proficient_in_english	1.1
5129	Arkansas	Searcy	pcnt_not_proficient_in_english	0.4
5131	Arkansas	Sebastian	pcnt_not_proficient_in_english	4.2
5133	Arkansas	Sevier	pcnt_not_proficient_in_english	12
5135	Arkansas	Sharp	pcnt_not_proficient_in_english	0.5
5137	Arkansas	Stone	pcnt_not_proficient_in_english	0.2
5139	Arkansas	Union	pcnt_not_proficient_in_english	1
5141	Arkansas	Van Buren	pcnt_not_proficient_in_english	0.3
5143	Arkansas	Washington	pcnt_not_proficient_in_english	5
5145	Arkansas	White	pcnt_not_proficient_in_english	0.6
5147	Arkansas	Woodruff	pcnt_not_proficient_in_english	0
5149	Arkansas	Yell	pcnt_not_proficient_in_english	6.6
6001	California	Alameda	pcnt_not_proficient_in_english	9.9
6003	California	Alpine	pcnt_not_proficient_in_english	1.9
6005	California	Amador	pcnt_not_proficient_in_english	1.2
6007	California	Butte	pcnt_not_proficient_in_english	3.1
6009	California	Calaveras	pcnt_not_proficient_in_english	1.2
6011	California	Colusa	pcnt_not_proficient_in_english	16.5
6013	California	Contra Costa	pcnt_not_proficient_in_english	6.9
6015	California	Del Norte	pcnt_not_proficient_in_english	2.2
6017	California	El Dorado	pcnt_not_proficient_in_english	2
6019	California	Fresno	pcnt_not_proficient_in_english	12.8
6021	California	Glenn	pcnt_not_proficient_in_english	9.2
6023	California	Humboldt	pcnt_not_proficient_in_english	1.8
6025	California	Imperial	pcnt_not_proficient_in_english	20.1
6027	California	Inyo	pcnt_not_proficient_in_english	2.6
6029	California	Kern	pcnt_not_proficient_in_english	11.7
6031	California	Kings	pcnt_not_proficient_in_english	12.2
6033	California	Lake	pcnt_not_proficient_in_english	3
6035	California	Lassen	pcnt_not_proficient_in_english	2.2
6037	California	Los Angeles	pcnt_not_proficient_in_english	15.7
6039	California	Madera	pcnt_not_proficient_in_english	14.2
6041	California	Marin	pcnt_not_proficient_in_english	4.3
6043	California	Mariposa	pcnt_not_proficient_in_english	1.9
6045	California	Mendocino	pcnt_not_proficient_in_english	5
6047	California	Merced	pcnt_not_proficient_in_english	14.5
6049	California	Modoc	pcnt_not_proficient_in_english	3.1
6051	California	Mono	pcnt_not_proficient_in_english	7.3
6053	California	Monterey	pcnt_not_proficient_in_english	19.2
6055	California	Napa	pcnt_not_proficient_in_english	9
6057	California	Nevada	pcnt_not_proficient_in_english	1.4
6059	California	Orange	pcnt_not_proficient_in_english	11.6
6061	California	Placer	pcnt_not_proficient_in_english	2.4
6063	California	Plumas	pcnt_not_proficient_in_english	0.8
6065	California	Riverside	pcnt_not_proficient_in_english	9.2
6067	California	Sacramento	pcnt_not_proficient_in_english	7.1
6069	California	San Benito	pcnt_not_proficient_in_english	13
6071	California	San Bernardino	pcnt_not_proficient_in_english	8.9
6073	California	San Diego	pcnt_not_proficient_in_english	8.1
6075	California	San Francisco	pcnt_not_proficient_in_english	14.2
6077	California	San Joaquin	pcnt_not_proficient_in_english	10.3
6079	California	San Luis Obispo	pcnt_not_proficient_in_english	3.6
6081	California	San Mateo	pcnt_not_proficient_in_english	8.7
6083	California	Santa Barbara	pcnt_not_proficient_in_english	11.8
6085	California	Santa Clara	pcnt_not_proficient_in_english	10.7
6087	California	Santa Cruz	pcnt_not_proficient_in_english	9.4
6089	California	Shasta	pcnt_not_proficient_in_english	1.5
6091	California	Sierra	pcnt_not_proficient_in_english	2.5
6093	California	Siskiyou	pcnt_not_proficient_in_english	2
6095	California	Solano	pcnt_not_proficient_in_english	6
6097	California	Sonoma	pcnt_not_proficient_in_english	6.6
6099	California	Stanislaus	pcnt_not_proficient_in_english	10.3
6101	California	Sutter	pcnt_not_proficient_in_english	11.4
6103	California	Tehama	pcnt_not_proficient_in_english	5.1
6105	California	Trinity	pcnt_not_proficient_in_english	0.2
6107	California	Tulare	pcnt_not_proficient_in_english	14.8
6109	California	Tuolumne	pcnt_not_proficient_in_english	1.2
6111	California	Ventura	pcnt_not_proficient_in_english	10.3
6113	California	Yolo	pcnt_not_proficient_in_english	7.8
6115	California	Yuba	pcnt_not_proficient_in_english	6.5
8001	Colorado	Adams	pcnt_not_proficient_in_english	7.9
8003	Colorado	Alamosa	pcnt_not_proficient_in_english	2.2
8005	Colorado	Arapahoe	pcnt_not_proficient_in_english	5.2
8007	Colorado	Archuleta	pcnt_not_proficient_in_english	0.6
8009	Colorado	Baca	pcnt_not_proficient_in_english	0.6
8011	Colorado	Bent	pcnt_not_proficient_in_english	2.9
8013	Colorado	Boulder	pcnt_not_proficient_in_english	3.3
8014	Colorado	Broomfield	pcnt_not_proficient_in_english	2.1
8015	Colorado	Chaffee	pcnt_not_proficient_in_english	1.2
8017	Colorado	Cheyenne	pcnt_not_proficient_in_english	1.5
8019	Colorado	Clear Creek	pcnt_not_proficient_in_english	0.3
8021	Colorado	Conejos	pcnt_not_proficient_in_english	2.4
8023	Colorado	Costilla	pcnt_not_proficient_in_english	8.4
8025	Colorado	Crowley	pcnt_not_proficient_in_english	4.4
8027	Colorado	Custer	pcnt_not_proficient_in_english	0
8029	Colorado	Delta	pcnt_not_proficient_in_english	2
8031	Colorado	Denver	pcnt_not_proficient_in_english	7.7
8033	Colorado	Dolores	pcnt_not_proficient_in_english	0
8035	Colorado	Douglas	pcnt_not_proficient_in_english	1
8037	Colorado	Eagle	pcnt_not_proficient_in_english	10.7
8039	Colorado	Elbert	pcnt_not_proficient_in_english	0.4
8041	Colorado	El Paso	pcnt_not_proficient_in_english	1.8
8043	Colorado	Fremont	pcnt_not_proficient_in_english	2.6
8045	Colorado	Garfield	pcnt_not_proficient_in_english	7.7
8047	Colorado	Gilpin	pcnt_not_proficient_in_english	0.6
8049	Colorado	Grand	pcnt_not_proficient_in_english	2.1
8051	Colorado	Gunnison	pcnt_not_proficient_in_english	2.8
8053	Colorado	Hinsdale	pcnt_not_proficient_in_english	0
8055	Colorado	Huerfano	pcnt_not_proficient_in_english	1.7
8057	Colorado	Jackson	pcnt_not_proficient_in_english	0
8059	Colorado	Jefferson	pcnt_not_proficient_in_english	1.5
8061	Colorado	Kiowa	pcnt_not_proficient_in_english	0.4
8063	Colorado	Kit Carson	pcnt_not_proficient_in_english	3.7
8065	Colorado	Lake	pcnt_not_proficient_in_english	6.6
8067	Colorado	La Plata	pcnt_not_proficient_in_english	0.9
8069	Colorado	Larimer	pcnt_not_proficient_in_english	1.5
8071	Colorado	Las Animas	pcnt_not_proficient_in_english	1.9
8073	Colorado	Lincoln	pcnt_not_proficient_in_english	4.2
