FIPS	State	County	Variable	pcnt_pcp
1001	Alabama	Autauga	pcnt_pcp	0.000366
1003	Alabama	Baldwin	pcnt_pcp	0.000742
1005	Alabama	Barbour	pcnt_pcp	0.000438
1007	Alabama	Bibb	pcnt_pcp	0.000262
1009	Alabama	Blount	pcnt_pcp	0.000209
1011	Alabama	Bullock	pcnt_pcp	0.000551
1013	Alabama	Butler	pcnt_pcp	0.000334
1015	Alabama	Calhoun	pcnt_pcp	0.000625
1017	Alabama	Chambers	pcnt_pcp	0.00041
1019	Alabama	Cherokee	pcnt_pcp	0.000308
1021	Alabama	Chilton	pcnt_pcp	0.000183
1023	Alabama	Choctaw	pcnt_pcp	0.000361
1025	Alabama	Clarke	pcnt_pcp	0.000543
1027	Alabama	Clay	pcnt_pcp	0.000359
1029	Alabama	Cleburne	pcnt_pcp	0.000134
1031	Alabama	Coffee	pcnt_pcp	0.000439
1033	Alabama	Colbert	pcnt_pcp	0.000606
1035	Alabama	Conecuh	pcnt_pcp	0.000378
1037	Alabama	Coosa	pcnt_pcp	0.000087
1039	Alabama	Covington	pcnt_pcp	0.000635
1041	Alabama	Crenshaw	pcnt_pcp	0.000144
1043	Alabama	Cullman	pcnt_pcp	0.000572
1045	Alabama	Dale	pcnt_pcp	0.000278
1047	Alabama	Dallas	pcnt_pcp	0.000548
1049	Alabama	DeKalb	pcnt_pcp	0.000309
1051	Alabama	Elmore	pcnt_pcp	0.000289
1053	Alabama	Escambia	pcnt_pcp	0.000549
1055	Alabama	Etowah	pcnt_pcp	0.000709
1057	Alabama	Fayette	pcnt_pcp	0.000406
1059	Alabama	Franklin	pcnt_pcp	0.000473
1061	Alabama	Geneva	pcnt_pcp	0.000186
1063	Alabama	Greene	pcnt_pcp	0.000333
1065	Alabama	Hale	pcnt_pcp	0.000064
1067	Alabama	Henry	pcnt_pcp	0.000289
1069	Alabama	Houston	pcnt_pcp	0.000776
1071	Alabama	Jackson	pcnt_pcp	0.000508
1073	Alabama	Jefferson	pcnt_pcp	0.000973
1075	Alabama	Lamar	pcnt_pcp	0.000207
1077	Alabama	Lauderdale	pcnt_pcp	0.000507
1079	Alabama	Lawrence	pcnt_pcp	0.000175
1081	Alabama	Lee	pcnt_pcp	0.000483
1083	Alabama	Limestone	pcnt_pcp	0.000252
1085	Alabama	Lowndes	pcnt_pcp	0.000089
1087	Alabama	Macon	pcnt_pcp	0.000232
1089	Alabama	Madison	pcnt_pcp	0.00084
1091	Alabama	Marengo	pcnt_pcp	0.000334
1093	Alabama	Marion	pcnt_pcp	0.000683
1095	Alabama	Marshall	pcnt_pcp	0.000558
1097	Alabama	Mobile	pcnt_pcp	0.000583
1099	Alabama	Monroe	pcnt_pcp	0.000348
1101	Alabama	Montgomery	pcnt_pcp	0.000845
1103	Alabama	Morgan	pcnt_pcp	0.00056
1105	Alabama	Perry	pcnt_pcp	0.00038
1107	Alabama	Pickens	pcnt_pcp	0.000355
1109	Alabama	Pike	pcnt_pcp	0.000546
1111	Alabama	Randolph	pcnt_pcp	0.000393
1113	Alabama	Russell	pcnt_pcp	0.000301
1115	Alabama	St. Clair	pcnt_pcp	0.000239
1117	Alabama	Shelby	pcnt_pcp	0.000853
1119	Alabama	Sumter	pcnt_pcp	0.000436
1121	Alabama	Talladega	pcnt_pcp	0.000317
1123	Alabama	Tallapoosa	pcnt_pcp	0.000385
