FIPS	State	County	Variable	pcnt_physically_inactive
01001	Alabama	Autauga	pcnt_physically_inactive	32
01003	Alabama	Baldwin	pcnt_physically_inactive	25
01005	Alabama	Barbour	pcnt_physically_inactive	34
01007	Alabama	Bibb	pcnt_physically_inactive	37
01009	Alabama	Blount	pcnt_physically_inactive	36
01011	Alabama	Bullock	pcnt_physically_inactive	31
01013	Alabama	Butler	pcnt_physically_inactive	37
01015	Alabama	Calhoun	pcnt_physically_inactive	34
01017	Alabama	Chambers	pcnt_physically_inactive	36
01019	Alabama	Cherokee	pcnt_physically_inactive	36
01021	Alabama	Chilton	pcnt_physically_inactive	31
01023	Alabama	Choctaw	pcnt_physically_inactive	35
01025	Alabama	Clarke	pcnt_physically_inactive	38
01027	Alabama	Clay	pcnt_physically_inactive	38
01029	Alabama	Cleburne	pcnt_physically_inactive	34
01031	Alabama	Coffee	pcnt_physically_inactive	29
01033	Alabama	Colbert	pcnt_physically_inactive	35
01035	Alabama	Conecuh	pcnt_physically_inactive	36
01037	Alabama	Coosa	pcnt_physically_inactive	35
01039	Alabama	Covington	pcnt_physically_inactive	37
01041	Alabama	Crenshaw	pcnt_physically_inactive	34
01043	Alabama	Cullman	pcnt_physically_inactive	29
01045	Alabama	Dale	pcnt_physically_inactive	31
01047	Alabama	Dallas	pcnt_physically_inactive	34
01049	Alabama	DeKalb	pcnt_physically_inactive	28
01051	Alabama	Elmore	pcnt_physically_inactive	32
01053	Alabama	Escambia	pcnt_physically_inactive	38
01055	Alabama	Etowah	pcnt_physically_inactive	34
01057	Alabama	Fayette	pcnt_physically_inactive	33
01059	Alabama	Franklin	pcnt_physically_inactive	37
01061	Alabama	Geneva	pcnt_physically_inactive	35
01063	Alabama	Greene	pcnt_physically_inactive	38
01065	Alabama	Hale	pcnt_physically_inactive	36
01067	Alabama	Henry	pcnt_physically_inactive	31
01069	Alabama	Houston	pcnt_physically_inactive	33
01071	Alabama	Jackson	pcnt_physically_inactive	30
01073	Alabama	Jefferson	pcnt_physically_inactive	29
01075	Alabama	Lamar	pcnt_physically_inactive	36
01077	Alabama	Lauderdale	pcnt_physically_inactive	33
01079	Alabama	Lawrence	pcnt_physically_inactive	36
01081	Alabama	Lee	pcnt_physically_inactive	27
01083	Alabama	Limestone	pcnt_physically_inactive	31
01085	Alabama	Lowndes	pcnt_physically_inactive	38
01087	Alabama	Macon	pcnt_physically_inactive	31
01089	Alabama	Madison	pcnt_physically_inactive	25
01091	Alabama	Marengo	pcnt_physically_inactive	35
01093	Alabama	Marion	pcnt_physically_inactive	36
01095	Alabama	Marshall	pcnt_physically_inactive	32
01097	Alabama	Mobile	pcnt_physically_inactive	31
01099	Alabama	Monroe	pcnt_physically_inactive	32
01101	Alabama	Montgomery	pcnt_physically_inactive	30
01103	Alabama	Morgan	pcnt_physically_inactive	27
01105	Alabama	Perry	pcnt_physically_inactive	35
01107	Alabama	Pickens	pcnt_physically_inactive	33
01109	Alabama	Pike	pcnt_physically_inactive	32
01111	Alabama	Randolph	pcnt_physically_inactive	35
01113	Alabama	Russell	pcnt_physically_inactive	37
01115	Alabama	St. Clair	pcnt_physically_inactive	35
01117	Alabama	Shelby	pcnt_physically_inactive	24
01119	Alabama	Sumter	pcnt_physically_inactive	33
01121	Alabama	Talladega	pcnt_physically_inactive	35
01123	Alabama	Tallapoosa	pcnt_physically_inactive	31
01125	Alabama	Tuscaloosa	pcnt_physically_inactive	29
01127	Alabama	Walker	pcnt_physically_inactive	38
01129	Alabama	Washington	pcnt_physically_inactive	33
01131	Alabama	Wilcox	pcnt_physically_inactive	35
01133	Alabama	Winston	pcnt_physically_inactive	34
02013	Alaska	Aleutians East	pcnt_physically_inactive	29
02016	Alaska	Aleutians West	pcnt_physically_inactive	23
02020	Alaska	Anchorage	pcnt_physically_inactive	22
02050	Alaska	Bethel	pcnt_physically_inactive	28
02060	Alaska	Bristol Bay	pcnt_physically_inactive	24
02068	Alaska	Denali	pcnt_physically_inactive	21
02070	Alaska	Dillingham	pcnt_physically_inactive	28
02090	Alaska	Fairbanks North Star	pcnt_physically_inactive	23
02100	Alaska	Haines	pcnt_physically_inactive	21
02110	Alaska	Juneau	pcnt_physically_inactive	18
02122	Alaska	Kenai Peninsula	pcnt_physically_inactive	24
02130	Alaska	Ketchikan Gateway	pcnt_physically_inactive	28
02150	Alaska	Kodiak Island	pcnt_physically_inactive	21
02164	Alaska	Lake and Peninsula	pcnt_physically_inactive	31
02170	Alaska	Matanuska-Susitna	pcnt_physically_inactive	24
02180	Alaska	Nome	pcnt_physically_inactive	24
02185	Alaska	North Slope	pcnt_physically_inactive	33
02188	Alaska	Northwest Arctic	pcnt_physically_inactive	32
02201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_physically_inactive	25
02220	Alaska	Sitka	pcnt_physically_inactive	20
02232	Alaska	Skagway-Hoonah-Angoon	pcnt_physically_inactive	25
02240	Alaska	Southeast Fairbanks	pcnt_physically_inactive	25
02261	Alaska	Valdez-Cordova	pcnt_physically_inactive	25
02270	Alaska	Wade Hampton	pcnt_physically_inactive	28
02280	Alaska	Wrangell-Petersburg	pcnt_physically_inactive	25
02282	Alaska	Yakutat	pcnt_physically_inactive	24
02290	Alaska	Yukon-Koyukuk	pcnt_physically_inactive	27
04001	Arizona	Apache	pcnt_physically_inactive	28
04003	Arizona	Cochise	pcnt_physically_inactive	24
04005	Arizona	Coconino	pcnt_physically_inactive	17
04007	Arizona	Gila	pcnt_physically_inactive	25
04009	Arizona	Graham	pcnt_physically_inactive	27
04011	Arizona	Greenlee	pcnt_physically_inactive	26
04012	Arizona	La Paz	pcnt_physically_inactive	34
04013	Arizona	Maricopa	pcnt_physically_inactive	19
04015	Arizona	Mohave	pcnt_physically_inactive	30
04017	Arizona	Navajo	pcnt_physically_inactive	25
04019	Arizona	Pima	pcnt_physically_inactive	20
04021	Arizona	Pinal	pcnt_physically_inactive	24
04023	Arizona	Santa Cruz	pcnt_physically_inactive	18
04025	Arizona	Yavapai	pcnt_physically_inactive	21
04027	Arizona	Yuma	pcnt_physically_inactive	24
05001	Arkansas	Arkansas	pcnt_physically_inactive	37
05003	Arkansas	Ashley	pcnt_physically_inactive	39
05005	Arkansas	Baxter	pcnt_physically_inactive	33
05007	Arkansas	Benton	pcnt_physically_inactive	28
05009	Arkansas	Boone	pcnt_physically_inactive	32
05011	Arkansas	Bradley	pcnt_physically_inactive	33
05013	Arkansas	Calhoun	pcnt_physically_inactive	37
05015	Arkansas	Carroll	pcnt_physically_inactive	28
05017	Arkansas	Chicot	pcnt_physically_inactive	36
05019	Arkansas	Clark	pcnt_physically_inactive	31
05021	Arkansas	Clay	pcnt_physically_inactive	35
05023	Arkansas	Cleburne	pcnt_physically_inactive	32
05025	Arkansas	Cleveland	pcnt_physically_inactive	28
05027	Arkansas	Columbia	pcnt_physically_inactive	30
05029	Arkansas	Conway	pcnt_physically_inactive	30
05031	Arkansas	Craighead	pcnt_physically_inactive	32
05033	Arkansas	Crawford	pcnt_physically_inactive	30
05035	Arkansas	Crittenden	pcnt_physically_inactive	33
05037	Arkansas	Cross	pcnt_physically_inactive	36
05039	Arkansas	Dallas	pcnt_physically_inactive	34
05041	Arkansas	Desha	pcnt_physically_inactive	33
05043	Arkansas	Drew	pcnt_physically_inactive	33
05045	Arkansas	Faulkner	pcnt_physically_inactive	28
05047	Arkansas	Franklin	pcnt_physically_inactive	31
05049	Arkansas	Fulton	pcnt_physically_inactive	30
05051	Arkansas	Garland	pcnt_physically_inactive	28
05053	Arkansas	Grant	pcnt_physically_inactive	34
05055	Arkansas	Greene	pcnt_physically_inactive	28
05057	Arkansas	Hempstead	pcnt_physically_inactive	32
05059	Arkansas	Hot Spring	pcnt_physically_inactive	35
05061	Arkansas	Howard	pcnt_physically_inactive	34
