FIPS	State	County	Variable	pcnt_pop_in_viol
1001	Alabama	Autauga	pcnt_pop_in_viol	0
1003	Alabama	Baldwin	pcnt_pop_in_viol	8
1005	Alabama	Barbour	pcnt_pop_in_viol	8
1007	Alabama	Bibb	pcnt_pop_in_viol	0
1009	Alabama	Blount	pcnt_pop_in_viol	7
1011	Alabama	Bullock	pcnt_pop_in_viol	0
1013	Alabama	Butler	pcnt_pop_in_viol	0
1015	Alabama	Calhoun	pcnt_pop_in_viol	0
1017	Alabama	Chambers	pcnt_pop_in_viol	0
1019	Alabama	Cherokee	pcnt_pop_in_viol	0
1021	Alabama	Chilton	pcnt_pop_in_viol	0
1023	Alabama	Choctaw	pcnt_pop_in_viol	0
1025	Alabama	Clarke	pcnt_pop_in_viol	12
1027	Alabama	Clay	pcnt_pop_in_viol	0
1029	Alabama	Cleburne	pcnt_pop_in_viol	0
1031	Alabama	Coffee	pcnt_pop_in_viol	0
1033	Alabama	Colbert	pcnt_pop_in_viol	5
1035	Alabama	Conecuh	pcnt_pop_in_viol	0
1037	Alabama	Coosa	pcnt_pop_in_viol	0
1039	Alabama	Covington	pcnt_pop_in_viol	0
1041	Alabama	Crenshaw	pcnt_pop_in_viol	0
1043	Alabama	Cullman	pcnt_pop_in_viol	0
1045	Alabama	Dale	pcnt_pop_in_viol	0
1047	Alabama	Dallas	pcnt_pop_in_viol	0
1049	Alabama	DeKalb	pcnt_pop_in_viol	0
1051	Alabama	Elmore	pcnt_pop_in_viol	0
1053	Alabama	Escambia	pcnt_pop_in_viol	0
1055	Alabama	Etowah	pcnt_pop_in_viol	0
1057	Alabama	Fayette	pcnt_pop_in_viol	0
1059	Alabama	Franklin	pcnt_pop_in_viol	0
1061	Alabama	Geneva	pcnt_pop_in_viol	0
1063	Alabama	Greene	pcnt_pop_in_viol	0
1065	Alabama	Hale	pcnt_pop_in_viol	49
1067	Alabama	Henry	pcnt_pop_in_viol	46
1069	Alabama	Houston	pcnt_pop_in_viol	0
1071	Alabama	Jackson	pcnt_pop_in_viol	0
1073	Alabama	Jefferson	pcnt_pop_in_viol	0
1075	Alabama	Lamar	pcnt_pop_in_viol	0
1077	Alabama	Lauderdale	pcnt_pop_in_viol	0
1079	Alabama	Lawrence	pcnt_pop_in_viol	7
1081	Alabama	Lee	pcnt_pop_in_viol	0
1083	Alabama	Limestone	pcnt_pop_in_viol	0
1085	Alabama	Lowndes	pcnt_pop_in_viol	0
1087	Alabama	Macon	pcnt_pop_in_viol	0
1089	Alabama	Madison	pcnt_pop_in_viol	0
1091	Alabama	Marengo	pcnt_pop_in_viol	45
1093	Alabama	Marion	pcnt_pop_in_viol	0
1095	Alabama	Marshall	pcnt_pop_in_viol	0
1097	Alabama	Mobile	pcnt_pop_in_viol	0
1099	Alabama	Monroe	pcnt_pop_in_viol	8
1101	Alabama	Montgomery	pcnt_pop_in_viol	0
1103	Alabama	Morgan	pcnt_pop_in_viol	0
1105	Alabama	Perry	pcnt_pop_in_viol	0
1107	Alabama	Pickens	pcnt_pop_in_viol	0
1109	Alabama	Pike	pcnt_pop_in_viol	0
1111	Alabama	Randolph	pcnt_pop_in_viol	7
1113	Alabama	Russell	pcnt_pop_in_viol	0
1115	Alabama	St. Clair	pcnt_pop_in_viol	0
1117	Alabama	Shelby	pcnt_pop_in_viol	0
1119	Alabama	Sumter	pcnt_pop_in_viol	0
1121	Alabama	Talladega	pcnt_pop_in_viol	0
1123	Alabama	Tallapoosa	pcnt_pop_in_viol	4
1125	Alabama	Tuscaloosa	pcnt_pop_in_viol	0
1127	Alabama	Walker	pcnt_pop_in_viol	0
1129	Alabama	Washington	pcnt_pop_in_viol	0
1131	Alabama	Wilcox	pcnt_pop_in_viol	0
1133	Alabama	Winston	pcnt_pop_in_viol	0
2013	Alaska	Aleutians East	pcnt_pop_in_viol	45
2016	Alaska	Aleutians West	pcnt_pop_in_viol	3
2020	Alaska	Anchorage	pcnt_pop_in_viol	34
2050	Alaska	Bethel	pcnt_pop_in_viol	18
2060	Alaska	Bristol Bay	pcnt_pop_in_viol	0
2068	Alaska	Denali	pcnt_pop_in_viol	
2070	Alaska	Dillingham	pcnt_pop_in_viol	57
2090	Alaska	Fairbanks North Star	pcnt_pop_in_viol	2
2100	Alaska	Haines	pcnt_pop_in_viol	73
2110	Alaska	Juneau	pcnt_pop_in_viol	0
2122	Alaska	Kenai Peninsula	pcnt_pop_in_viol	5
2130	Alaska	Ketchikan Gateway	pcnt_pop_in_viol	99
2150	Alaska	Kodiak Island	pcnt_pop_in_viol	3
2164	Alaska	Lake and Peninsula	pcnt_pop_in_viol	31
2170	Alaska	Matanuska-Susitna	pcnt_pop_in_viol	1
2180	Alaska	Nome	pcnt_pop_in_viol	66
2185	Alaska	North Slope	pcnt_pop_in_viol	0
2188	Alaska	Northwest Arctic	pcnt_pop_in_viol	73
2201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_pop_in_viol	63
2220	Alaska	Sitka	pcnt_pop_in_viol	1
2232	Alaska	Skagway-Hoonah-Angoon	pcnt_pop_in_viol	8
2240	Alaska	Southeast Fairbanks	pcnt_pop_in_viol	10
2261	Alaska	Valdez-Cordova	pcnt_pop_in_viol	1
2270	Alaska	Wade Hampton	pcnt_pop_in_viol	71
2280	Alaska	Wrangell-Petersburg	pcnt_pop_in_viol	7
2282	Alaska	Yakutat	pcnt_pop_in_viol	0
