FIPS	State	County	Variable	pcnt_single_parent_households
1001	Alabama	Autauga	pcnt_single_parent_households	26
1003	Alabama	Baldwin	pcnt_single_parent_households	28
1005	Alabama	Barbour	pcnt_single_parent_households	57
1007	Alabama	Bibb	pcnt_single_parent_households	38
1009	Alabama	Blount	pcnt_single_parent_households	26
1011	Alabama	Bullock	pcnt_single_parent_households	67
1013	Alabama	Butler	pcnt_single_parent_households	51
1015	Alabama	Calhoun	pcnt_single_parent_households	40
1017	Alabama	Chambers	pcnt_single_parent_households	50
1019	Alabama	Cherokee	pcnt_single_parent_households	28
1021	Alabama	Chilton	pcnt_single_parent_households	30
1023	Alabama	Choctaw	pcnt_single_parent_households	46
1025	Alabama	Clarke	pcnt_single_parent_households	50
1027	Alabama	Clay	pcnt_single_parent_households	30
1029	Alabama	Cleburne	pcnt_single_parent_households	30
1031	Alabama	Coffee	pcnt_single_parent_households	37
1033	Alabama	Colbert	pcnt_single_parent_households	33
1035	Alabama	Conecuh	pcnt_single_parent_households	53
1037	Alabama	Coosa	pcnt_single_parent_households	39
1039	Alabama	Covington	pcnt_single_parent_households	39
1041	Alabama	Crenshaw	pcnt_single_parent_households	45
1043	Alabama	Cullman	pcnt_single_parent_households	24
1045	Alabama	Dale	pcnt_single_parent_households	30
1047	Alabama	Dallas	pcnt_single_parent_households	59
1049	Alabama	DeKalb	pcnt_single_parent_households	31
1051	Alabama	Elmore	pcnt_single_parent_households	30
1053	Alabama	Escambia	pcnt_single_parent_households	50
1055	Alabama	Etowah	pcnt_single_parent_households	34
1057	Alabama	Fayette	pcnt_single_parent_households	34
1059	Alabama	Franklin	pcnt_single_parent_households	31
1061	Alabama	Geneva	pcnt_single_parent_households	42
1063	Alabama	Greene	pcnt_single_parent_households	55
1065	Alabama	Hale	pcnt_single_parent_households	52
1067	Alabama	Henry	pcnt_single_parent_households	33
1069	Alabama	Houston	pcnt_single_parent_households	41
1071	Alabama	Jackson	pcnt_single_parent_households	26
1073	Alabama	Jefferson	pcnt_single_parent_households	42
1075	Alabama	Lamar	pcnt_single_parent_households	36
1077	Alabama	Lauderdale	pcnt_single_parent_households	31
1079	Alabama	Lawrence	pcnt_single_parent_households	32
1081	Alabama	Lee	pcnt_single_parent_households	32
1083	Alabama	Limestone	pcnt_single_parent_households	27
1085	Alabama	Lowndes	pcnt_single_parent_households	56
1087	Alabama	Macon	pcnt_single_parent_households	61
1089	Alabama	Madison	pcnt_single_parent_households	32
1091	Alabama	Marengo	pcnt_single_parent_households	40
1093	Alabama	Marion	pcnt_single_parent_households	31
1095	Alabama	Marshall	pcnt_single_parent_households	32
1097	Alabama	Mobile	pcnt_single_parent_households	44
1099	Alabama	Monroe	pcnt_single_parent_households	51
1101	Alabama	Montgomery	pcnt_single_parent_households	50
1103	Alabama	Morgan	pcnt_single_parent_households	31
1105	Alabama	Perry	pcnt_single_parent_households	59
1107	Alabama	Pickens	pcnt_single_parent_households	48
1109	Alabama	Pike	pcnt_single_parent_households	45
1111	Alabama	Randolph	pcnt_single_parent_households	44
1113	Alabama	Russell	pcnt_single_parent_households	47
1115	Alabama	St. Clair	pcnt_single_parent_households	29
1117	Alabama	Shelby	pcnt_single_parent_households	19
1119	Alabama	Sumter	pcnt_single_parent_households	61
1121	Alabama	Talladega	pcnt_single_parent_households	39
1123	Alabama	Tallapoosa	pcnt_single_parent_households	34
1125	Alabama	Tuscaloosa	pcnt_single_parent_households	37
1127	Alabama	Walker	pcnt_single_parent_households	29
1129	Alabama	Washington	pcnt_single_parent_households	29
1131	Alabama	Wilcox	pcnt_single_parent_households	69
1133	Alabama	Winston	pcnt_single_parent_households	35
2013	Alaska	Aleutians East	pcnt_single_parent_households	40
2016	Alaska	Aleutians West	pcnt_single_parent_households	32
2020	Alaska	Anchorage	pcnt_single_parent_households	30
2050	Alaska	Bethel	pcnt_single_parent_households	30
2060	Alaska	Bristol Bay	pcnt_single_parent_households	41
2068	Alaska	Denali	pcnt_single_parent_households	11
2070	Alaska	Dillingham	pcnt_single_parent_households	37
2090	Alaska	Fairbanks North Star	pcnt_single_parent_households	30
2100	Alaska	Haines	pcnt_single_parent_households	24
2110	Alaska	Juneau	pcnt_single_parent_households	36
2122	Alaska	Kenai Peninsula	pcnt_single_parent_households	29
2130	Alaska	Ketchikan Gateway	pcnt_single_parent_households	31
2150	Alaska	Kodiak Island	pcnt_single_parent_households	31
2164	Alaska	Lake and Peninsula	pcnt_single_parent_households	31
2170	Alaska	Matanuska-Susitna	pcnt_single_parent_households	24
2180	Alaska	Nome	pcnt_single_parent_households	46
2185	Alaska	North Slope	pcnt_single_parent_households	39
2188	Alaska	Northwest Arctic	pcnt_single_parent_households	42
2201	Alaska	Prince of Wales-Outer Ketchikan	pcnt_single_parent_households	41
2220	Alaska	Sitka	pcnt_single_parent_households	35
