FIPS	State	County	Variable	pcnt_smokers
1001	Alabama	Autauga	pcnt_smokers	24
1003	Alabama	Baldwin	pcnt_smokers	23
1005	Alabama	Barbour	pcnt_smokers	24
1007	Alabama	Bibb	pcnt_smokers	33
1009	Alabama	Blount	pcnt_smokers	22
1011	Alabama	Bullock	pcnt_smokers	
1013	Alabama	Butler	pcnt_smokers	29
1015	Alabama	Calhoun	pcnt_smokers	26
1017	Alabama	Chambers	pcnt_smokers	24
1019	Alabama	Cherokee	pcnt_smokers	25
1021	Alabama	Chilton	pcnt_smokers	21
1023	Alabama	Choctaw	pcnt_smokers	19
1025	Alabama	Clarke	pcnt_smokers	20
1027	Alabama	Clay	pcnt_smokers	21
1029	Alabama	Cleburne	pcnt_smokers	18
1031	Alabama	Coffee	pcnt_smokers	19
1033	Alabama	Colbert	pcnt_smokers	30
1035	Alabama	Conecuh	pcnt_smokers	19
1037	Alabama	Coosa	pcnt_smokers	
1039	Alabama	Covington	pcnt_smokers	31
1041	Alabama	Crenshaw	pcnt_smokers	15
1043	Alabama	Cullman	pcnt_smokers	25
1045	Alabama	Dale	pcnt_smokers	24
1047	Alabama	Dallas	pcnt_smokers	21
1049	Alabama	DeKalb	pcnt_smokers	17
1051	Alabama	Elmore	pcnt_smokers	21
1053	Alabama	Escambia	pcnt_smokers	21
1055	Alabama	Etowah	pcnt_smokers	27
1057	Alabama	Fayette	pcnt_smokers	17
1059	Alabama	Franklin	pcnt_smokers	
1061	Alabama	Geneva	pcnt_smokers	
1063	Alabama	Greene	pcnt_smokers	
1065	Alabama	Hale	pcnt_smokers	
1067	Alabama	Henry	pcnt_smokers	21
1069	Alabama	Houston	pcnt_smokers	19
1071	Alabama	Jackson	pcnt_smokers	27
1073	Alabama	Jefferson	pcnt_smokers	21
1075	Alabama	Lamar	pcnt_smokers	
1077	Alabama	Lauderdale	pcnt_smokers	19
1079	Alabama	Lawrence	pcnt_smokers	26
1081	Alabama	Lee	pcnt_smokers	20
1083	Alabama	Limestone	pcnt_smokers	22
1085	Alabama	Lowndes	pcnt_smokers	22
1087	Alabama	Macon	pcnt_smokers	13
1089	Alabama	Madison	pcnt_smokers	19
1091	Alabama	Marengo	pcnt_smokers	15
1093	Alabama	Marion	pcnt_smokers	
1095	Alabama	Marshall	pcnt_smokers	30
1097	Alabama	Mobile	pcnt_smokers	24
1099	Alabama	Monroe	pcnt_smokers	21
1101	Alabama	Montgomery	pcnt_smokers	19
1103	Alabama	Morgan	pcnt_smokers	25
1105	Alabama	Perry	pcnt_smokers	20
1107	Alabama	Pickens	pcnt_smokers	14
1109	Alabama	Pike	pcnt_smokers	19
1111	Alabama	Randolph	pcnt_smokers	28
1113	Alabama	Russell	pcnt_smokers	
1115	Alabama	St. Clair	pcnt_smokers	26
1117	Alabama	Shelby	pcnt_smokers	19
1119	Alabama	Sumter	pcnt_smokers	16
1121	Alabama	Talladega	pcnt_smokers	23
1123	Alabama	Tallapoosa	pcnt_smokers	29
1125	Alabama	Tuscaloosa	pcnt_smokers	22
1127	Alabama	Walker	pcnt_smokers	28
1129	Alabama	Washington	pcnt_smokers	20
1131	Alabama	Wilcox	pcnt_smokers	
1133	Alabama	Winston	pcnt_smokers	21
2013	Alaska	Aleutians East	pcnt_smokers	
2016	Alaska	Aleutians West	pcnt_smokers	29
2020	Alaska	Anchorage	pcnt_smokers	17
2050	Alaska	Bethel	pcnt_smokers	31
2060	Alaska	Bristol Bay	pcnt_smokers	24
2068	Alaska	Denali	pcnt_smokers	21
2070	Alaska	Dillingham	pcnt_smokers	39
2090	Alaska	Fairbanks North Star	pcnt_smokers	21
2100	Alaska	Haines	pcnt_smokers	15
2110	Alaska	Juneau	pcnt_smokers	19
2122	Alaska	Kenai Peninsula	pcnt_smokers	22
