FIPS	State	County	Variable	pcnt_some_college
01001	Alabama	Autauga	pcnt_some_college	54.4
01003	Alabama	Baldwin	pcnt_some_college	62.1
01005	Alabama	Barbour	pcnt_some_college	42.1
01007	Alabama	Bibb	pcnt_some_college	42.4
01009	Alabama	Blount	pcnt_some_college	43.3
01011	Alabama	Bullock	pcnt_some_college	39.0
01013	Alabama	Butler	pcnt_some_college	47.3
01015	Alabama	Calhoun	pcnt_some_college	49.2
01017	Alabama	Chambers	pcnt_some_college	46.5
01019	Alabama	Cherokee	pcnt_some_college	45.9
01021	Alabama	Chilton	pcnt_some_college	43.7
01023	Alabama	Choctaw	pcnt_some_college	41.4
01025	Alabama	Clarke	pcnt_some_college	51.1
01027	Alabama	Clay	pcnt_some_college	41.4
01029	Alabama	Cleburne	pcnt_some_college	43.0
01031	Alabama	Coffee	pcnt_some_college	58.7
01033	Alabama	Colbert	pcnt_some_college	55.0
01035	Alabama	Conecuh	pcnt_some_college	31.5
01037	Alabama	Coosa	pcnt_some_college	32.3
01039	Alabama	Covington	pcnt_some_college	44.8
01041	Alabama	Crenshaw	pcnt_some_college	42.7
01043	Alabama	Cullman	pcnt_some_college	49.0
01045	Alabama	Dale	pcnt_some_college	62.3
01047	Alabama	Dallas	pcnt_some_college	44.2
01049	Alabama	DeKalb	pcnt_some_college	39.4
01051	Alabama	Elmore	pcnt_some_college	55.0
01053	Alabama	Escambia	pcnt_some_college	43.7
01055	Alabama	Etowah	pcnt_some_college	55.9
01057	Alabama	Fayette	pcnt_some_college	39.6
01059	Alabama	Franklin	pcnt_some_college	42.4
01061	Alabama	Geneva	pcnt_some_college	51.5
01063	Alabama	Greene	pcnt_some_college	36.4
01065	Alabama	Hale	pcnt_some_college	39.8
01067	Alabama	Henry	pcnt_some_college	51.8
01069	Alabama	Houston	pcnt_some_college	52.4
01071	Alabama	Jackson	pcnt_some_college	47.4
01073	Alabama	Jefferson	pcnt_some_college	64.7
01075	Alabama	Lamar	pcnt_some_college	41.9
01077	Alabama	Lauderdale	pcnt_some_college	55.5
01079	Alabama	Lawrence	pcnt_some_college	46.6
01081	Alabama	Lee	pcnt_some_college	64.6
01083	Alabama	Limestone	pcnt_some_college	53.0
01085	Alabama	Lowndes	pcnt_some_college	42.2
01087	Alabama	Macon	pcnt_some_college	50.9
01089	Alabama	Madison	pcnt_some_college	69.0
01091	Alabama	Marengo	pcnt_some_college	50.0
01093	Alabama	Marion	pcnt_some_college	48.7
01095	Alabama	Marshall	pcnt_some_college	43.2
01097	Alabama	Mobile	pcnt_some_college	55.9
01099	Alabama	Monroe	pcnt_some_college	37.7
01101	Alabama	Montgomery	pcnt_some_college	60.5
01103	Alabama	Morgan	pcnt_some_college	55.2
01105	Alabama	Perry	pcnt_some_college	40.4
01107	Alabama	Pickens	pcnt_some_college	40.7
01109	Alabama	Pike	pcnt_some_college	56.3
01111	Alabama	Randolph	pcnt_some_college	43.6
01113	Alabama	Russell	pcnt_some_college	53.3
01115	Alabama	St. Clair	pcnt_some_college	48.9
01117	Alabama	Shelby	pcnt_some_college	74.1
01119	Alabama	Sumter	pcnt_some_college	50.4
01121	Alabama	Talladega	pcnt_some_college	46.2
