FIPS	State	County	Variable	population
1001	Alabama	Autauga	population	55267
1003	Alabama	Baldwin	population	186717
1005	Alabama	Barbour	population	27119
1007	Alabama	Bibb	population	22766
1009	Alabama	Blount	population	57677
1011	Alabama	Bullock	population	10542
1013	Alabama	Butler	population	20650
1015	Alabama	Calhoun	population	117797
1017	Alabama	Chambers	population	33939
1019	Alabama	Cherokee	population	26057
1021	Alabama	Chilton	population	43895
1023	Alabama	Choctaw	population	13609
1025	Alabama	Clarke	population	25695
1027	Alabama	Clay	population	13862
1029	Alabama	Cleburne	population	14835
1031	Alabama	Coffee	population	50526
1033	Alabama	Colbert	population	54512
1035	Alabama	Conecuh	population	13105
1037	Alabama	Coosa	population	10713
1039	Alabama	Covington	population	38058
1041	Alabama	Crenshaw	population	13911
1043	Alabama	Cullman	population	80536
1045	Alabama	Dale	population	50044
1047	Alabama	Dallas	population	43332
1049	Alabama	DeKalb	population	71375
1051	Alabama	Elmore	population	80162
1053	Alabama	Escambia	population	38095
1055	Alabama	Etowah	population	104303
1057	Alabama	Fayette	population	17182
1059	Alabama	Franklin	population	31884
1061	Alabama	Geneva	population	26781
1063	Alabama	Greene	population	8921
1065	Alabama	Hale	population	15421
1067	Alabama	Henry	population	17412
1069	Alabama	Houston	population	102369
1071	Alabama	Jackson	population	53291
1073	Alabama	Jefferson	population	658931
1075	Alabama	Lamar	population	14311
1077	Alabama	Lauderdale	population	92781
1079	Alabama	Lawrence	population	34117
1081	Alabama	Lee	population	143468
1083	Alabama	Limestone	population	85369
1085	Alabama	Lowndes	population	11147
1087	Alabama	Macon	population	21182
1089	Alabama	Madison	population	340111
1091	Alabama	Marengo	population	20692
1093	Alabama	Marion	population	30663
1095	Alabama	Marshall	population	94166
1097	Alabama	Mobile	population	412577
1099	Alabama	Monroe	population	22760
1101	Alabama	Montgomery	population	232032
1103	Alabama	Morgan	population	119953
1105	Alabama	Perry	population	10373
1107	Alabama	Pickens	population	19349
1109	Alabama	Pike	population	32915
1111	Alabama	Randolph	population	22787
1113	Alabama	Russell	population	54572
1115	Alabama	St. Clair	population	84398
1117	Alabama	Shelby	population	197936
1119	Alabama	Sumter	population	13478
1121	Alabama	Talladega	population	81664
1123	Alabama	Tallapoosa	population	41623
1125	Alabama	Tuscaloosa	population	197211
1127	Alabama	Walker	population	66661
1129	Alabama	Washington	population	17344
1131	Alabama	Wilcox	population	11482
1133	Alabama	Winston	population	24327
2013	Alaska	Aleutians East	population	3172
2016	Alaska	Aleutians West	population	5504
2020	Alaska	Anchorage	population	295570
2050	Alaska	Bethel	population	17416
2060	Alaska	Bristol Bay	population	1030
2068	Alaska	Denali	population	1855
2070	Alaska	Dillingham	population	4975
2090	Alaska	Fairbanks North Star	population	99192
2100	Alaska	Haines	population	2554
2110	Alaska	Juneau	population	32164
2122	Alaska	Kenai Peninsula	population	56293
2130	Alaska	Ketchikan Gateway	population	13593
2150	Alaska	Kodiak Island	population	13872
2164	Alaska	Lake and Peninsula	population	1668
2170	Alaska	Matanuska-Susitna	population	91946
2180	Alaska	Nome	population	9856
2185	Alaska	North Slope	population	9503
2188	Alaska	Northwest Arctic	population	7733
2201	Alaska	Prince of Wales-Outer Ketchikan	population	5737
2220	Alaska	Sitka	population	8952
2232	Alaska	Skagway-Hoonah-Angoon	population	3047
2240	Alaska	Southeast Fairbanks	population	7132
2261	Alaska	Valdez-Cordova	population	9770
2270	Alaska	Wade Hampton	population	7662
2280	Alaska	Wrangell-Petersburg	population	6220
2282	Alaska	Yakutat	population	646
2290	Alaska	Yukon-Koyukuk	population	5656
4001	Arizona	Apache	population	72401
4003	Arizona	Cochise	population	133289
4005	Arizona	Coconino	population	134511
4007	Arizona	Gila	population	53144
4009	Arizona	Graham	population	37147
4011	Arizona	Greenlee	population	8606
4012	Arizona	La Paz	population	20419
4013	Arizona	Maricopa	population	3880244
4015	Arizona	Mohave	population	202351
4017	Arizona	Navajo	population	107398
4019	Arizona	Pima	population	989569
4021	Arizona	Pinal	population	382992
4023	Arizona	Santa Cruz	population	47676
4025	Arizona	Yavapai	population	211888
4027	Arizona	Yuma	population	200870
5001	Arkansas	Arkansas	population	18892
5003	Arkansas	Ashley	population	21692
5005	Arkansas	Baxter	population	41536
5007	Arkansas	Benton	population	227556
5009	Arkansas	Boone	population	37051
5011	Arkansas	Bradley	population	11482
5013	Arkansas	Calhoun	population	5144
5015	Arkansas	Carroll	population	27512
5017	Arkansas	Chicot	population	11721
5019	Arkansas	Clark	population	22858
5021	Arkansas	Clay	population	15880
5023	Arkansas	Cleburne	population	25901
5025	Arkansas	Cleveland	population	8672
5027	Arkansas	Columbia	population	24401
5029	Arkansas	Conway	population	21270
5031	Arkansas	Craighead	population	98315
5033	Arkansas	Crawford	population	61944
5035	Arkansas	Crittenden	population	50525
5037	Arkansas	Cross	population	17781
5039	Arkansas	Dallas	population	8072
5041	Arkansas	Desha	population	12763
5043	Arkansas	Drew	population	18467
5045	Arkansas	Faulkner	population	116342
5047	Arkansas	Franklin	population	18047
5049	Arkansas	Fulton	population	12296
5051	Arkansas	Garland	population	97124
5053	Arkansas	Grant	population	17988
5055	Arkansas	Greene	population	42720
5057	Arkansas	Hempstead	population	22541
5059	Arkansas	Hot Spring	population	32881
5061	Arkansas	Howard	population	13886
5063	Arkansas	Independence	population	36861
5065	Arkansas	Izard	population	13419
5067	Arkansas	Jackson	population	17866
5069	Arkansas	Jefferson	population	76246
5071	Arkansas	Johnson	population	25742
5073	Arkansas	Lafayette	population	7516
5075	Arkansas	Lawrence	population	17178
5077	Arkansas	Lee	population	10326
5079	Arkansas	Lincoln	population	14006
5081	Arkansas	Little River	population	12996
5083	Arkansas	Logan	population	22290
5085	Arkansas	Lonoke	population	69341
5087	Arkansas	Madison	population	15776
5089	Arkansas	Marion	population	16573
5091	Arkansas	Miller	population	43759
5093	Arkansas	Mississippi	population	45966
5095	Arkansas	Monroe	population	8075
5097	Arkansas	Montgomery	population	9433
5099	Arkansas	Nevada	population	9017
5101	Arkansas	Newton	population	8264
5103	Arkansas	Ouachita	population	25880
5105	Arkansas	Perry	population	10405
5107	Arkansas	Phillips	population	21442
5109	Arkansas	Pike	population	11259
5111	Arkansas	Poinsett	population	24514
5113	Arkansas	Polk	population	20610
5115	Arkansas	Pope	population	62331
5117	Arkansas	Prairie	population	8618
5119	Arkansas	Pulaski	population	386299
5121	Arkansas	Randolph	population	18017
5123	Arkansas	St. Francis	population	27970
5125	Arkansas	Saline	population	109526
5127	Arkansas	Scott	population	11272
5129	Arkansas	Searcy	population	8036
5131	Arkansas	Sebastian	population	127127
5133	Arkansas	Sevier	population	17293
5135	Arkansas	Sharp	population	17380
5137	Arkansas	Stone	population	12603
5139	Arkansas	Union	population	41427
5141	Arkansas	Van Buren	population	17083
5143	Arkansas	Washington	population	207521
5145	Arkansas	White	population	78167
5147	Arkansas	Woodruff	population	7229
5149	Arkansas	Yell	population	22060
6001	California	Alameda	population	1529875
6003	California	Alpine	population	1102
6005	California	Amador	population	37953
6007	California	Butte	population	220266
6009	California	Calaveras	population	45052
6011	California	Colusa	population	21549
6013	California	Contra Costa	population	1066096
6015	California	Del Norte	population	28659
6017	California	El Dorado	population	180938
6019	California	Fresno	population	942904
6021	California	Glenn	population	28128
6023	California	Humboldt	population	134761
6025	California	Imperial	population	177057
6027	California	Inyo	population	18478
6029	California	Kern	population	851710
6031	California	Kings	population	153765
6033	California	Lake	population	64323
6035	California	Lassen	population	34200
6037	California	Los Angeles	population	9889056
6039	California	Madera	population	152925
6041	California	Marin	population	255031
6043	California	Mariposa	population	18191
6045	California	Mendocino	population	87553
6047	California	Merced	population	259898
6049	California	Modoc	population	9517
6051	California	Mono	population	14309
6053	California	Monterey	population	421898
6055	California	Napa	population	138088
6057	California	Nevada	population	98612
6059	California	Orange	population	3055745
6061	California	Placer	population	357138
6063	California	Plumas	population	19765
6065	California	Riverside	population	2239620
6067	California	Sacramento	population	1436105
6069	California	San Benito	population	56072
6071	California	San Bernardino	population	2065377
6073	California	San Diego	population	3140069
6075	California	San Francisco	population	812826
6077	California	San Joaquin	population	696214
6079	California	San Luis Obispo	population	271969
6081	California	San Mateo	population	727209
6083	California	Santa Barbara	population	426878
6085	California	Santa Clara	population	1809378
6087	California	Santa Cruz	population	264298
6089	California	Shasta	population	177774
6091	California	Sierra	population	3113
6093	California	Siskiyou	population	44507
6095	California	Solano	population	416471
6097	California	Sonoma	population	488116
6099	California	Stanislaus	population	518522
6101	California	Sutter	population	94919
6103	California	Tehama	population	63601
6105	California	Trinity	population	13723
6107	California	Tulare	population	449253
6109	California	Tuolumne	population	54953
6111	California	Ventura	population	831771
6113	California	Yolo	population	202054
6115	California	Yuba	population	72578
8001	Colorado	Adams	population	451443
8003	Colorado	Alamosa	population	15710
8005	Colorado	Arapahoe	population	584948
8007	Colorado	Archuleta	population	12013
8009	Colorado	Baca	population	3795
8011	Colorado	Bent	population	6250
8013	Colorado	Boulder	population	299378
8014	Colorado	Broomfield	population	57352
8015	Colorado	Chaffee	population	17932
8017	Colorado	Cheyenne	population	1876
8019	Colorado	Clear Creek	population	9012
8021	Colorado	Conejos	population	8291
8023	Colorado	Costilla	population	3662
8025	Colorado	Crowley	population	5736
8027	Colorado	Custer	population	4205
8029	Colorado	Delta	population	30451
8031	Colorado	Denver	population	619968
8033	Colorado	Dolores	population	2056
8035	Colorado	Douglas	population	292167
8037	Colorado	Eagle	population	51854
8039	Colorado	Elbert	population	23174
8041	Colorado	El Paso	population	636963
8043	Colorado	Fremont	population	47347
8045	Colorado	Garfield	population	56270
8047	Colorado	Gilpin	population	5467
8049	Colorado	Grand	population	14548
8051	Colorado	Gunnison	population	15408
8053	Colorado	Hinsdale	population	830
8055	Colorado	Huerfano	population	6520
8057	Colorado	Jackson	population	1370
8059	Colorado	Jefferson	population	539884
8061	Colorado	Kiowa	population	1433
8063	Colorado	Kit Carson	population	8142
8065	Colorado	Lake	population	7427
8067	Colorado	La Plata	population	51917
8069	Colorado	Larimer	population	305525
8071	Colorado	Las Animas	population	15037
8073	Colorado	Lincoln	population	5454
8075	Colorado	Logan	population	22619
8077	Colorado	Mesa	population	147083
8079	Colorado	Mineral	population	708
8081	Colorado	Moffat	population	13451
8083	Colorado	Montezuma	population	25442
8085	Colorado	Montrose	population	41011
8087	Colorado	Morgan	population	28175
8089	Colorado	Otero	population	18865
8091	Colorado	Ouray	population	4356
8093	Colorado	Park	population	16089
8095	Colorado	Phillips	population	4399
8097	Colorado	Pitkin	population	17102
8099	Colorado	Prowers	population	12549
8101	Colorado	Pueblo	population	160545
8103	Colorado	Rio Blanco	population	6782
8105	Colorado	Rio Grande	population	11956
8107	Colorado	Routt	population	23239
8109	Colorado	Saguache	population	6228
8111	Colorado	San Juan	population	692
8113	Colorado	San Miguel	population	7490
8115	Colorado	Sedgwick	population	2364
8117	Colorado	Summit	population	27972
8119	Colorado	Teller	population	23356
8121	Colorado	Washington	population	4770
8123	Colorado	Weld	population	258638
8125	Colorado	Yuma	population	10100
9001	Connecticut	Fairfield	population	925899
9003	Connecticut	Hartford	population	894705
9005	Connecticut	Litchfield	population	188789
9007	Connecticut	Middlesex	population	166043
9009	Connecticut	New Haven	population	861113
9011	Connecticut	New London	population	273502
9013	Connecticut	Tolland	population	152507
9015	Connecticut	Windham	population	118151
10001	Delaware	Kent	population	164834
10003	Delaware	New Castle	population	541971
10005	Delaware	Sussex	population	200330
