FIPS	State	County	Variable	popchangerate0010
01000	AL	Alabama	popchangerate0010	7.48
01001	AL	Autauga	popchangerate0010	24.96
01003	AL	Baldwin	popchangerate0010	29.80
01005	AL	Barbour	popchangerate0010	-5.44
01007	AL	Bibb	popchangerate0010	10.03
01009	AL	Blount	popchangerate0010	12.34
01011	AL	Bullock	popchangerate0010	-6.83
01013	AL	Butler	popchangerate0010	-2.11
01015	AL	Calhoun	popchangerate0010	5.63
01017	AL	Chambers	popchangerate0010	-6.47
01019	AL	Cherokee	popchangerate0010	8.34
01021	AL	Chilton	popchangerate0010	10.23
01023	AL	Choctaw	popchangerate0010	-12.96
01025	AL	Clarke	popchangerate0010	-7.30
01027	AL	Clay	popchangerate0010	-2.26
01029	AL	Cleburne	popchangerate0010	6.01
01031	AL	Coffee	popchangerate0010	14.52
01033	AL	Colbert	popchangerate0010	-1.01
01035	AL	Conecuh	popchangerate0010	-6.11
01037	AL	Coosa	popchangerate0010	-5.43
01039	AL	Covington	popchangerate0010	0.36
01041	AL	Crenshaw	popchangerate0010	1.76
01043	AL	Cullman	popchangerate0010	3.77
01045	AL	Dale	popchangerate0010	2.28
01047	AL	Dallas	popchangerate0010	-5.49
01049	AL	DeKalb	popchangerate0010	10.33
01051	AL	Elmore	popchangerate0010	20.39
01053	AL	Escambia	popchangerate0010	-0.31
01055	AL	Etowah	popchangerate0010	0.94
01057	AL	Fayette	popchangerate0010	-6.78
01059	AL	Franklin	popchangerate0010	1.54
01061	AL	Geneva	popchangerate0010	3.98
01063	AL	Greene	popchangerate0010	-9.31
01065	AL	Hale	popchangerate0010	-8.29
01067	AL	Henry	popchangerate0010	6.08
01069	AL	Houston	popchangerate0010	14.37
01071	AL	Jackson	popchangerate0010	-1.30
01073	AL	Jefferson	popchangerate0010	-0.54
01075	AL	Lamar	popchangerate0010	-8.43
01077	AL	Lauderdale	popchangerate0010	5.39
01079	AL	Lawrence	popchangerate0010	-1.33
01081	AL	Lee	popchangerate0010	21.86
01083	AL	Limestone	popchangerate0010	26.05
01085	AL	Lowndes	popchangerate0010	-16.14
01087	AL	Macon	popchangerate0010	-11.01
01089	AL	Madison	popchangerate0010	21.00
01091	AL	Marengo	popchangerate0010	-6.71
01093	AL	Marion	popchangerate0010	-1.40
01095	AL	Marshall	popchangerate0010	13.12
01097	AL	Mobile	popchangerate0010	3.29
01099	AL	Monroe	popchangerate0010	-5.16
01101	AL	Montgomery	popchangerate0010	2.62
01103	AL	Morgan	popchangerate0010	7.59
01105	AL	Perry	popchangerate0010	-10.71
01107	AL	Pickens	popchangerate0010	-5.74
01109	AL	Pike	popchangerate0010	11.13
01111	AL	Randolph	popchangerate0010	2.38
01113	AL	Russell	popchangerate0010	6.41
01115	AL	St. Clair	popchangerate0010	29.12
01117	AL	Shelby	popchangerate0010	36.14
01119	AL	Sumter	popchangerate0010	-6.99
01121	AL	Talladega	popchangerate0010	2.45
01123	AL	Tallapoosa	popchangerate0010	0.34
01125	AL	Tuscaloosa	popchangerate0010	18.06
01127	AL	Walker	popchangerate0010	-5.22
01129	AL	Washington	popchangerate0010	-2.85
01131	AL	Wilcox	popchangerate0010	-11.48
01133	AL	Winston	popchangerate0010	-1.45
02000	AK	Alaska	popchangerate0010	13.29
02013	AK	Aleutians East	popchangerate0010	16.46
02016	AK	Aleutians West	popchangerate0010	1.76
02020	AK	Anchorage	popchangerate0010	12.12
02050	AK	Bethel	popchangerate0010	6.29
02060	AK	Bristol Bay	popchangerate0010	-20.75
02068	AK	Denali	popchangerate0010	-3.54
02070	AK	Dillingham	popchangerate0010	-1.52
02090	AK	Fairbanks North Star	popchangerate0010	17.79
02100	AK	Haines	popchangerate0010	4.85
02105	AK	Hoonah-Angoon	popchangerate0010	
02110	AK	Juneau 	popchangerate0010	1.84
02122	AK	Kenai Peninsula	popchangerate0010	11.49
02130	AK	Ketchikan Gateway	popchangerate0010	-4.21
02150	AK	Kodiak Island	popchangerate0010	-2.31
02164	AK	Lake and Peninsula	popchangerate0010	-10.53
02170	AK	Matanuska-Susitna	popchangerate0010	50.02
02180	AK	Nome	popchangerate0010	3.22
02185	AK	North Slope	popchangerate0010	27.69
02188	AK	Northwest Arctic	popchangerate0010	4.37
02195	AK	Petersburg	popchangerate0010	
02198	AK	Prince of Wales-Hyder	popchangerate0010	
02220	AK	Sitka 	popchangerate0010	0.52
02230	AK	Skagway	popchangerate0010	
02240	AK	Southeast Fairbanks	popchangerate0010	13.85
02261	AK	Valdez-Cordova	popchangerate0010	-5.48
02270	AK	Wade Hampton	popchangerate0010	6.13
02275	AK	Wrangell 	popchangerate0010	
02282	AK	Yakutat 	popchangerate0010	-18.07
02290	AK	Yukon-Koyukuk	popchangerate0010	-14.70
04000	AZ	Arizona	popchangerate0010	24.59
04001	AZ	Apache	popchangerate0010	3.02
04003	AZ	Cochise	popchangerate0010	11.54
04005	AZ	Coconino	popchangerate0010	15.56
04007	AZ	Gila	popchangerate0010	4.41
04009	AZ	Graham	popchangerate0010	11.14
04011	AZ	Greenlee	popchangerate0010	-1.29
04012	AZ	La Paz	popchangerate0010	3.93
04013	AZ	Maricopa	popchangerate0010	24.25
04015	AZ	Mohave	popchangerate0010	29.13
04017	AZ	Navajo	popchangerate0010	10.24
04019	AZ	Pima	popchangerate0010	16.18
04021	AZ	Pinal	popchangerate0010	109.08
04023	AZ	Santa Cruz	popchangerate0010	23.55
04025	AZ	Yavapai	popchangerate0010	25.98
04027	AZ	Yuma	popchangerate0010	22.32
05000	AR	Arkansas	popchangerate0010	9.07
05001	AR	Arkansas	popchangerate0010	-8.34
05003	AR	Ashley	popchangerate0010	-9.73
05005	AR	Baxter	popchangerate0010	8.15
05007	AR	Benton	popchangerate0010	44.28
05009	AR	Boone	popchangerate0010	8.70
05011	AR	Bradley	popchangerate0010	-8.67
05013	AR	Calhoun	popchangerate0010	-6.55
05015	AR	Carroll	popchangerate0010	8.24
05017	AR	Chicot	popchangerate0010	-16.41
05019	AR	Clark	popchangerate0010	-2.34
05021	AR	Clay	popchangerate0010	-8.67
05023	AR	Cleburne	popchangerate0010	8.00
05025	AR	Cleveland	popchangerate0010	1.38
05027	AR	Columbia	popchangerate0010	-4.10
05029	AR	Conway	popchangerate0010	4.61
05031	AR	Craighead	popchangerate0010	17.40
05033	AR	Crawford	popchangerate0010	16.34
05035	AR	Crittenden	popchangerate0010	0.07
05037	AR	Cross	popchangerate0010	-8.48
05039	AR	Dallas	popchangerate0010	-11.88
05041	AR	Desha	popchangerate0010	-15.21
05043	AR	Drew	popchangerate0010	-1.14
05045	AR	Faulkner	popchangerate0010	31.65
05047	AR	Franklin	popchangerate0010	1.99
05049	AR	Fulton	popchangerate0010	5.18
05051	AR	Garland	popchangerate0010	9.03
05053	AR	Grant	popchangerate0010	8.44
05055	AR	Greene	popchangerate0010	12.75
05057	AR	Hempstead	popchangerate0010	-4.15
05059	AR	Hot Spring	popchangerate0010	8.47
05061	AR	Howard	popchangerate0010	-3.57
05063	AR	Independence	popchangerate0010	7.05
05065	AR	Izard	popchangerate0010	3.37
05067	AR	Jackson	popchangerate0010	-2.29
05069	AR	Jefferson	popchangerate0010	-8.12
05071	AR	Johnson	popchangerate0010	12.11
05073	AR	Lafayette	popchangerate0010	-10.68
05075	AR	Lawrence	popchangerate0010	-2.02
05077	AR	Lee	popchangerate0010	-17.14
05079	AR	Lincoln	popchangerate0010	-2.47
05081	AR	Little River	popchangerate0010	-3.35
05083	AR	Logan	popchangerate0010	-0.59
05085	AR	Lonoke	popchangerate0010	29.39
05087	AR	Madison	popchangerate0010	10.35
05089	AR	Marion	popchangerate0010	3.18
05091	AR	Miller	popchangerate0010	7.46
05093	AR	Mississippi	popchangerate0010	-10.58
05095	AR	Monroe	popchangerate0010	-20.53
05097	AR	Montgomery	popchangerate0010	2.62
05099	AR	Nevada	popchangerate0010	-9.62
05101	AR	Newton	popchangerate0010	-3.23
05103	AR	Ouachita	popchangerate0010	-9.27
05105	AR	Perry	popchangerate0010	2.31
05107	AR	Phillips	popchangerate0010	-17.73
05109	AR	Pike	popchangerate0010	-0.11
05111	AR	Poinsett	popchangerate0010	-4.03
05113	AR	Polk	popchangerate0010	2.14
05115	AR	Pope	popchangerate0010	13.37
05117	AR	Prairie	popchangerate0010	-8.64
05119	AR	Pulaski	popchangerate0010	5.89
05121	AR	Randolph	popchangerate0010	-1.24
05123	AR	St. Francis	popchangerate0010	-3.65
05125	AR	Saline	popchangerate0010	28.24
05127	AR	Scott	popchangerate0010	2.16
05129	AR	Searcy	popchangerate0010	-0.80
05131	AR	Sebastian	popchangerate0010	9.28
05133	AR	Sevier	popchangerate0010	8.26
05135	AR	Sharp	popchangerate0010	0.85
05137	AR	Stone	popchangerate0010	7.78
05139	AR	Union	popchangerate0010	-8.74
05141	AR	Van Buren	popchangerate0010	6.81
05143	AR	Washington	popchangerate0010	28.75
05145	AR	White	popchangerate0010	14.76
05147	AR	Woodruff	popchangerate0010	-16.94
05149	AR	Yell	popchangerate0010	4.95
06000	CA	California	popchangerate0010	9.99
06001	CA	Alameda	popchangerate0010	4.61
06003	CA	Alpine	popchangerate0010	-2.73
06005	CA	Amador	popchangerate0010	8.52
06007	CA	Butte	popchangerate0010	8.28
06009	CA	Calaveras	popchangerate0010	12.39
06011	CA	Colusa	popchangerate0010	13.91
06013	CA	Contra Costa	popchangerate0010	10.56
06015	CA	Del Norte	popchangerate0010	4.01
06017	CA	El Dorado	popchangerate0010	15.84
06019	CA	Fresno	popchangerate0010	16.39
06021	CA	Glenn	popchangerate0010	6.31
06023	CA	Humboldt	popchangerate0010	6.41
06025	CA	Imperial	popchangerate0010	22.60
06027	CA	Inyo	popchangerate0010	3.35
06029	CA	Kern	popchangerate0010	26.90
06031	CA	Kings	popchangerate0010	18.17
06033	CA	Lake	popchangerate0010	10.90
06035	CA	Lassen	popchangerate0010	3.15
