FIPS	State	County	Variable	mph_rate
1001	Alabama	Autauga	mph_rate	0.000036605
1003	Alabama	Baldwin	mph_rate	0.000174616
1005	Alabama	Barbour	mph_rate	0.000036510
1007	Alabama	Bibb	mph_rate	
1009	Alabama	Blount	mph_rate	0.000017426
1011	Alabama	Bullock	mph_rate	
1013	Alabama	Butler	mph_rate	0.000047753
1015	Alabama	Calhoun	mph_rate	0.000092885
1017	Alabama	Chambers	mph_rate	0.000029289
1019	Alabama	Cherokee	mph_rate	
1021	Alabama	Chilton	mph_rate	0.000022872
1023	Alabama	Choctaw	mph_rate	
1025	Alabama	Clarke	mph_rate	0.000038796
1027	Alabama	Clay	mph_rate	0.000071762
1029	Alabama	Cleburne	mph_rate	
1031	Alabama	Coffee	mph_rate	0.000019933
1033	Alabama	Colbert	mph_rate	0.000055055
1035	Alabama	Conecuh	mph_rate	0.000075632
1037	Alabama	Coosa	mph_rate	
1039	Alabama	Covington	mph_rate	
1041	Alabama	Crenshaw	mph_rate	0.000072057
1043	Alabama	Cullman	mph_rate	0.000037269
1045	Alabama	Dale	mph_rate	0.000039728
1047	Alabama	Dallas	mph_rate	0.000068506
1049	Alabama	DeKalb	mph_rate	
1051	Alabama	Elmore	mph_rate	0.000025129
1053	Alabama	Escambia	mph_rate	0.000078339
1055	Alabama	Etowah	mph_rate	0.000095749
1057	Alabama	Fayette	mph_rate	
1059	Alabama	Franklin	mph_rate	0.000031523
1061	Alabama	Geneva	mph_rate	
1063	Alabama	Greene	mph_rate	0.000111049
1065	Alabama	Hale	mph_rate	0.000063549
1067	Alabama	Henry	mph_rate	
1069	Alabama	Houston	mph_rate	0.000275133
1071	Alabama	Jackson	mph_rate	0.000056418
1073	Alabama	Jefferson	mph_rate	0.000533122
1075	Alabama	Lamar	mph_rate	
1077	Alabama	Lauderdale	mph_rate	0.000086275
1079	Alabama	Lawrence	mph_rate	0.000029131
1081	Alabama	Lee	mph_rate	0.000383566
1083	Alabama	Limestone	mph_rate	0.000024027
1085	Alabama	Lowndes	mph_rate	
1087	Alabama	Macon	mph_rate	0.000046436
1089	Alabama	Madison	mph_rate	0.000240970
1091	Alabama	Marengo	mph_rate	
1093	Alabama	Marion	mph_rate	
1095	Alabama	Marshall	mph_rate	0.000064376
1097	Alabama	Mobile	mph_rate	0.000220277
1099	Alabama	Monroe	mph_rate	
1101	Alabama	Montgomery	mph_rate	0.000256850
1103	Alabama	Morgan	mph_rate	0.000150494
1105	Alabama	Perry	mph_rate	
1107	Alabama	Pickens	mph_rate	
1109	Alabama	Pike	mph_rate	0.000030331
1111	Alabama	Randolph	mph_rate	0.000043613
1113	Alabama	Russell	mph_rate	
1115	Alabama	St. Clair	mph_rate	0.000011928
1117	Alabama	Shelby	mph_rate	0.000224653
1119	Alabama	Sumter	mph_rate	
1121	Alabama	Talladega	mph_rate	0.000012191
1123	Alabama	Tallapoosa	mph_rate	0.000048153
1125	Alabama	Tuscaloosa	mph_rate	0.000523082
1127	Alabama	Walker	mph_rate	
1129	Alabama	Washington	mph_rate	
1131	Alabama	Wilcox	mph_rate	
1133	Alabama	Winston	mph_rate	
2013	Alaska	Aleutians East	mph_rate	
2016	Alaska	Aleutians West	mph_rate	
