FIPS	State	County	Variable	rec_facility_rate
1001	Alabama	Autauga	rec_facility_rate	7.3
1003	Alabama	Baldwin	rec_facility_rate	8.7
1005	Alabama	Barbour	rec_facility_rate	3.7
1007	Alabama	Bibb	rec_facility_rate	4.4
1009	Alabama	Blount	rec_facility_rate	5.2
1011	Alabama	Bullock	rec_facility_rate	0
1013	Alabama	Butler	rec_facility_rate	0
1015	Alabama	Calhoun	rec_facility_rate	7.6
1017	Alabama	Chambers	rec_facility_rate	5.9
1019	Alabama	Cherokee	rec_facility_rate	0
1021	Alabama	Chilton	rec_facility_rate	6.9
1023	Alabama	Choctaw	rec_facility_rate	0
1025	Alabama	Clarke	rec_facility_rate	11.6
1027	Alabama	Clay	rec_facility_rate	0
1029	Alabama	Cleburne	rec_facility_rate	0
1031	Alabama	Coffee	rec_facility_rate	10
1033	Alabama	Colbert	rec_facility_rate	9.2
1035	Alabama	Conecuh	rec_facility_rate	0
1037	Alabama	Coosa	rec_facility_rate	0
1039	Alabama	Covington	rec_facility_rate	5.3
1041	Alabama	Crenshaw	rec_facility_rate	0
1043	Alabama	Cullman	rec_facility_rate	6.2
1045	Alabama	Dale	rec_facility_rate	4
1047	Alabama	Dallas	rec_facility_rate	2.3
1049	Alabama	DeKalb	rec_facility_rate	5.6
1051	Alabama	Elmore	rec_facility_rate	6.3
1053	Alabama	Escambia	rec_facility_rate	5.2
1055	Alabama	Etowah	rec_facility_rate	6.7
1057	Alabama	Fayette	rec_facility_rate	0
1059	Alabama	Franklin	rec_facility_rate	15.8
1061	Alabama	Geneva	rec_facility_rate	0
1063	Alabama	Greene	rec_facility_rate	0
1065	Alabama	Hale	rec_facility_rate	0
1067	Alabama	Henry	rec_facility_rate	0
1069	Alabama	Houston	rec_facility_rate	4.9
1071	Alabama	Jackson	rec_facility_rate	1.9
1073	Alabama	Jefferson	rec_facility_rate	10.5
1075	Alabama	Lamar	rec_facility_rate	0
1077	Alabama	Lauderdale	rec_facility_rate	7.5
1079	Alabama	Lawrence	rec_facility_rate	2.9
1081	Alabama	Lee	rec_facility_rate	5
1083	Alabama	Limestone	rec_facility_rate	6
1085	Alabama	Lowndes	rec_facility_rate	8.9
1087	Alabama	Macon	rec_facility_rate	0
1089	Alabama	Madison	rec_facility_rate	17
1091	Alabama	Marengo	rec_facility_rate	9.5
1093	Alabama	Marion	rec_facility_rate	0
1095	Alabama	Marshall	rec_facility_rate	2.1
1097	Alabama	Mobile	rec_facility_rate	6.8
1099	Alabama	Monroe	rec_facility_rate	0
1101	Alabama	Montgomery	rec_facility_rate	7.4
1103	Alabama	Morgan	rec_facility_rate	5.9
1105	Alabama	Perry	rec_facility_rate	0
1107	Alabama	Pickens	rec_facility_rate	10.1
1109	Alabama	Pike	rec_facility_rate	6.1
1111	Alabama	Randolph	rec_facility_rate	4.4
1113	Alabama	Russell	rec_facility_rate	5.6
1115	Alabama	St. Clair	rec_facility_rate	2.4
1117	Alabama	Shelby	rec_facility_rate	10.7
1119	Alabama	Sumter	rec_facility_rate	7.3
1121	Alabama	Talladega	rec_facility_rate	2.4
1123	Alabama	Tallapoosa	rec_facility_rate	7.2
1125	Alabama	Tuscaloosa	rec_facility_rate	6.7
1127	Alabama	Walker	rec_facility_rate	7.5
1129	Alabama	Washington	rec_facility_rate	0
1131	Alabama	Wilcox	rec_facility_rate	0
1133	Alabama	Winston	rec_facility_rate	0
2013	Alaska	Aleutians East	rec_facility_rate	0
2016	Alaska	Aleutians West	rec_facility_rate	0
2020	Alaska	Anchorage	rec_facility_rate	12.6
2050	Alaska	Bethel	rec_facility_rate	5.8
2060	Alaska	Bristol Bay	rec_facility_rate	0
2068	Alaska	Denali	rec_facility_rate	0
2070	Alaska	Dillingham	rec_facility_rate	0
2090	Alaska	Fairbanks North Star	rec_facility_rate	9.2
2100	Alaska	Haines	rec_facility_rate	0
2110	Alaska	Juneau	rec_facility_rate	22.3
2122	Alaska	Kenai Peninsula	rec_facility_rate	19.8
2130	Alaska	Ketchikan Gateway	rec_facility_rate	44.3
2150	Alaska	Kodiak Island	rec_facility_rate	0
2164	Alaska	Lake and Peninsula	rec_facility_rate	0
2170	Alaska	Matanuska-Susitna	rec_facility_rate	8.9
2180	Alaska	Nome	rec_facility_rate	0
2185	Alaska	North Slope	rec_facility_rate	10.6
2188	Alaska	Northwest Arctic	rec_facility_rate	0
2201	Alaska	Prince of Wales-Outer Ketchikan	rec_facility_rate	0
2220	Alaska	Sitka	rec_facility_rate	11.2
2232	Alaska	Skagway-Hoonah-Angoon	rec_facility_rate	0
2240	Alaska	Southeast Fairbanks	rec_facility_rate	0
2261	Alaska	Valdez-Cordova	rec_facility_rate	20.6
2270	Alaska	Wade Hampton	rec_facility_rate	0
