FIPS	State	County	Variable	65_and_over
1001	Alabama	Autauga	65_and_over	12.3
1003	Alabama	Baldwin	65_and_over	17.1
1005	Alabama	Barbour	65_and_over	14.6
1007	Alabama	Bibb	65_and_over	13.3
1009	Alabama	Blount	65_and_over	15
1011	Alabama	Bullock	65_and_over	13.6
1013	Alabama	Butler	65_and_over	17.1
1015	Alabama	Calhoun	65_and_over	14.6
1017	Alabama	Chambers	65_and_over	17
1019	Alabama	Cherokee	65_and_over	18.4
1021	Alabama	Chilton	65_and_over	14.1
1023	Alabama	Choctaw	65_and_over	19
1025	Alabama	Clarke	65_and_over	16.6
1027	Alabama	Clay	65_and_over	18.6
1029	Alabama	Cleburne	65_and_over	16.2
1031	Alabama	Coffee	65_and_over	14.7
1033	Alabama	Colbert	65_and_over	17.6
1035	Alabama	Conecuh	65_and_over	18.6
1037	Alabama	Coosa	65_and_over	13.9
1039	Alabama	Covington	65_and_over	18.6
1041	Alabama	Crenshaw	65_and_over	16
1043	Alabama	Cullman	65_and_over	16.2
1045	Alabama	Dale	65_and_over	13.8
1047	Alabama	Dallas	65_and_over	14.5
1049	Alabama	DeKalb	65_and_over	14.1
1051	Alabama	Elmore	65_and_over	12.3
1053	Alabama	Escambia	65_and_over	15.3
1055	Alabama	Etowah	65_and_over	15.9
1057	Alabama	Fayette	65_and_over	18.4
1059	Alabama	Franklin	65_and_over	15.2
1061	Alabama	Geneva	65_and_over	17.8
1063	Alabama	Greene	65_and_over	16.4
1065	Alabama	Hale	65_and_over	15.9
1067	Alabama	Henry	65_and_over	18.1
1069	Alabama	Houston	65_and_over	14.8
1071	Alabama	Jackson	65_and_over	17.1
1073	Alabama	Jefferson	65_and_over	13.3
1075	Alabama	Lamar	65_and_over	19.1
1077	Alabama	Lauderdale	65_and_over	17.1
1079	Alabama	Lawrence	65_and_over	15.2
1081	Alabama	Lee	65_and_over	9.2
1083	Alabama	Limestone	65_and_over	12.5
1085	Alabama	Lowndes	65_and_over	15.2
1087	Alabama	Macon	65_and_over	14.5
1089	Alabama	Madison	65_and_over	12.4
1091	Alabama	Marengo	65_and_over	16.7
1093	Alabama	Marion	65_and_over	18.5
1095	Alabama	Marshall	65_and_over	15
1097	Alabama	Mobile	65_and_over	13.2
1099	Alabama	Monroe	65_and_over	16
1101	Alabama	Montgomery	65_and_over	12
1103	Alabama	Morgan	65_and_over	14.3
1105	Alabama	Perry	65_and_over	16.2
1107	Alabama	Pickens	65_and_over	17.2
1109	Alabama	Pike	65_and_over	13.1
1111	Alabama	Randolph	65_and_over	17.2
1113	Alabama	Russell	65_and_over	12.6
1115	Alabama	St. Clair	65_and_over	13.6
1117	Alabama	Shelby	65_and_over	11.1
1119	Alabama	Sumter	65_and_over	15.3
1121	Alabama	Talladega	65_and_over	14.4
1123	Alabama	Tallapoosa	65_and_over	17.9
1125	Alabama	Tuscaloosa	65_and_over	10.9
1127	Alabama	Walker	65_and_over	16.7
1129	Alabama	Washington	65_and_over	15.1
1131	Alabama	Wilcox	65_and_over	15.4
1133	Alabama	Winston	65_and_over	18.1
2013	Alaska	Aleutians East	65_and_over	5.8
2016	Alaska	Aleutians West	65_and_over	3.8
2020	Alaska	Anchorage	65_and_over	7.6
2050	Alaska	Bethel	65_and_over	6.3
2060	Alaska	Bristol Bay	65_and_over	8.3
2068	Alaska	Denali	65_and_over	8.4
2070	Alaska	Dillingham	65_and_over	7.3
2090	Alaska	Fairbanks North Star	65_and_over	6.8
2100	Alaska	Haines	65_and_over	14.5
2110	Alaska	Juneau	65_and_over	8.7
2122	Alaska	Kenai Peninsula	65_and_over	11.8
2130	Alaska	Ketchikan Gateway	65_and_over	10.5
2150	Alaska	Kodiak Island	65_and_over	7
2164	Alaska	Lake and Peninsula	65_and_over	8.3
2170	Alaska	Matanuska-Susitna	65_and_over	8.3
2180	Alaska	Nome	65_and_over	6.4
2185	Alaska	North Slope	65_and_over	4.2
2188	Alaska	Northwest Arctic	65_and_over	6.4
2201	Alaska	Prince of Wales-Outer Ketchikan	65_and_over	10.2
2220	Alaska	Sitka	65_and_over	11.9
2232	Alaska	Skagway-Hoonah-Angoon	65_and_over	12.6
2240	Alaska	Southeast Fairbanks	65_and_over	9.6
2261	Alaska	Valdez-Cordova	65_and_over	8.6
2270	Alaska	Wade Hampton	65_and_over	5.5
2280	Alaska	Wrangell-Petersburg	65_and_over	13.6
2282	Alaska	Yakutat	65_and_over	10.8
2290	Alaska	Yukon-Koyukuk	65_and_over	10.6
4001	Arizona	Apache	65_and_over	12
4003	Arizona	Cochise	65_and_over	17.6
4005	Arizona	Coconino	65_and_over	9.3
4007	Arizona	Gila	65_and_over	23.3
4009	Arizona	Graham	65_and_over	11.6
4011	Arizona	Greenlee	65_and_over	11.9
4012	Arizona	La Paz	65_and_over	33.4
4013	Arizona	Maricopa	65_and_over	12.5
4015	Arizona	Mohave	65_and_over	24
4017	Arizona	Navajo	65_and_over	13.8
4019	Arizona	Pima	65_and_over	15.9
4021	Arizona	Pinal	65_and_over	14.8
4023	Arizona	Santa Cruz	65_and_over	13.8
4025	Arizona	Yavapai	65_and_over	25.2
4027	Arizona	Yuma	65_and_over	15.9
5001	Arkansas	Arkansas	65_and_over	16.5
5003	Arkansas	Ashley	65_and_over	16.5
5005	Arkansas	Baxter	65_and_over	28.7
5007	Arkansas	Benton	65_and_over	12.3
5009	Arkansas	Boone	65_and_over	18.4
5011	Arkansas	Bradley	65_and_over	17.6
5013	Arkansas	Calhoun	65_and_over	16.2
5015	Arkansas	Carroll	65_and_over	19.5
5017	Arkansas	Chicot	65_and_over	18.5
5019	Arkansas	Clark	65_and_over	15.1
5021	Arkansas	Clay	65_and_over	20
5023	Arkansas	Cleburne	65_and_over	23.8
5025	Arkansas	Cleveland	65_and_over	16.4
5027	Arkansas	Columbia	65_and_over	16.2
5029	Arkansas	Conway	65_and_over	17.3
5031	Arkansas	Craighead	65_and_over	12.2
5033	Arkansas	Crawford	65_and_over	13.7
5035	Arkansas	Crittenden	65_and_over	11.1
5037	Arkansas	Cross	65_and_over	15.9
5039	Arkansas	Dallas	65_and_over	18.4
5041	Arkansas	Desha	65_and_over	15.8
5043	Arkansas	Drew	65_and_over	14.8
5045	Arkansas	Faulkner	65_and_over	10.2
5047	Arkansas	Franklin	65_and_over	17
5049	Arkansas	Fulton	65_and_over	22.6
5051	Arkansas	Garland	65_and_over	21.1
5053	Arkansas	Grant	65_and_over	14.8
5055	Arkansas	Greene	65_and_over	14.3
5057	Arkansas	Hempstead	65_and_over	15
5059	Arkansas	Hot Spring	65_and_over	15.9
5061	Arkansas	Howard	65_and_over	15.4
5063	Arkansas	Independence	65_and_over	15.9
5065	Arkansas	Izard	65_and_over	23.3
5067	Arkansas	Jackson	65_and_over	16.2
5069	Arkansas	Jefferson	65_and_over	13.7
5071	Arkansas	Johnson	65_and_over	14.8
5073	Arkansas	Lafayette	65_and_over	19.7
