FIPS	State	County	Variable	teen_birth_rate
1001	Alabama	Autauga	teen_birth_rate	43
1003	Alabama	Baldwin	teen_birth_rate	48
1005	Alabama	Barbour	teen_birth_rate	74
1007	Alabama	Bibb	teen_birth_rate	48
1009	Alabama	Blount	teen_birth_rate	49
1011	Alabama	Bullock	teen_birth_rate	86
1013	Alabama	Butler	teen_birth_rate	62
1015	Alabama	Calhoun	teen_birth_rate	51
1017	Alabama	Chambers	teen_birth_rate	64
1019	Alabama	Cherokee	teen_birth_rate	52
1021	Alabama	Chilton	teen_birth_rate	57
1023	Alabama	Choctaw	teen_birth_rate	48
1025	Alabama	Clarke	teen_birth_rate	42
1027	Alabama	Clay	teen_birth_rate	51
1029	Alabama	Cleburne	teen_birth_rate	58
1031	Alabama	Coffee	teen_birth_rate	49
1033	Alabama	Colbert	teen_birth_rate	55
1035	Alabama	Conecuh	teen_birth_rate	53
1037	Alabama	Coosa	teen_birth_rate	48
1039	Alabama	Covington	teen_birth_rate	70
1041	Alabama	Crenshaw	teen_birth_rate	55
1043	Alabama	Cullman	teen_birth_rate	57
1045	Alabama	Dale	teen_birth_rate	53
1047	Alabama	Dallas	teen_birth_rate	77
1049	Alabama	DeKalb	teen_birth_rate	64
1051	Alabama	Elmore	teen_birth_rate	44
1053	Alabama	Escambia	teen_birth_rate	71
1055	Alabama	Etowah	teen_birth_rate	56
1057	Alabama	Fayette	teen_birth_rate	50
1059	Alabama	Franklin	teen_birth_rate	69
1061	Alabama	Geneva	teen_birth_rate	53
1063	Alabama	Greene	teen_birth_rate	56
1065	Alabama	Hale	teen_birth_rate	46
1067	Alabama	Henry	teen_birth_rate	47
1069	Alabama	Houston	teen_birth_rate	56
1071	Alabama	Jackson	teen_birth_rate	53
1073	Alabama	Jefferson	teen_birth_rate	49
1075	Alabama	Lamar	teen_birth_rate	58
1077	Alabama	Lauderdale	teen_birth_rate	37
1079	Alabama	Lawrence	teen_birth_rate	51
1081	Alabama	Lee	teen_birth_rate	25
1083	Alabama	Limestone	teen_birth_rate	49
1085	Alabama	Lowndes	teen_birth_rate	65
1087	Alabama	Macon	teen_birth_rate	35
1089	Alabama	Madison	teen_birth_rate	35
1091	Alabama	Marengo	teen_birth_rate	51
1093	Alabama	Marion	teen_birth_rate	65
1095	Alabama	Marshall	teen_birth_rate	76
1097	Alabama	Mobile	teen_birth_rate	59
1099	Alabama	Monroe	teen_birth_rate	58
1101	Alabama	Montgomery	teen_birth_rate	59
1103	Alabama	Morgan	teen_birth_rate	52
1105	Alabama	Perry	teen_birth_rate	54
1107	Alabama	Pickens	teen_birth_rate	42
1109	Alabama	Pike	teen_birth_rate	35
1111	Alabama	Randolph	teen_birth_rate	54
1113	Alabama	Russell	teen_birth_rate	57
1115	Alabama	St. Clair	teen_birth_rate	50
1117	Alabama	Shelby	teen_birth_rate	26
1119	Alabama	Sumter	teen_birth_rate	34
1121	Alabama	Talladega	teen_birth_rate	55
1123	Alabama	Tallapoosa	teen_birth_rate	59
1125	Alabama	Tuscaloosa	teen_birth_rate	31
1127	Alabama	Walker	teen_birth_rate	59
1129	Alabama	Washington	teen_birth_rate	45
1131	Alabama	Wilcox	teen_birth_rate	52
1133	Alabama	Winston	teen_birth_rate	56
2013	Alaska	Aleutians East	teen_birth_rate	
2016	Alaska	Aleutians West	teen_birth_rate	
2020	Alaska	Anchorage	teen_birth_rate	39
2050	Alaska	Bethel	teen_birth_rate	78
2060	Alaska	Bristol Bay	teen_birth_rate	
2068	Alaska	Denali	teen_birth_rate	
2070	Alaska	Dillingham	teen_birth_rate	57
2090	Alaska	Fairbanks North Star	teen_birth_rate	39
2100	Alaska	Haines	teen_birth_rate	
2110	Alaska	Juneau	teen_birth_rate	27
2122	Alaska	Kenai Peninsula	teen_birth_rate	31
2130	Alaska	Ketchikan Gateway	teen_birth_rate	33
2150	Alaska	Kodiak Island	teen_birth_rate	35
2164	Alaska	Lake and Peninsula	teen_birth_rate	52
2170	Alaska	Matanuska-Susitna	teen_birth_rate	33
2180	Alaska	Nome	teen_birth_rate	96
2185	Alaska	North Slope	teen_birth_rate	101
2188	Alaska	Northwest Arctic	teen_birth_rate	94
2201	Alaska	Prince of Wales-Outer Ketchikan	teen_birth_rate	53
2220	Alaska	Sitka	teen_birth_rate	26
2232	Alaska	Skagway-Hoonah-Angoon	teen_birth_rate	
2240	Alaska	Southeast Fairbanks	teen_birth_rate	34
2261	Alaska	Valdez-Cordova	teen_birth_rate	25
2270	Alaska	Wade Hampton	teen_birth_rate	101
2280	Alaska	Wrangell-Petersburg	teen_birth_rate	33
2282	Alaska	Yakutat	teen_birth_rate	
2290	Alaska	Yukon-Koyukuk	teen_birth_rate	62
4001	Arizona	Apache	teen_birth_rate	61
4003	Arizona	Cochise	teen_birth_rate	55
4005	Arizona	Coconino	teen_birth_rate	38
4007	Arizona	Gila	teen_birth_rate	83
4009	Arizona	Graham	teen_birth_rate	59
4011	Arizona	Greenlee	teen_birth_rate	74
4012	Arizona	La Paz	teen_birth_rate	82
4013	Arizona	Maricopa	teen_birth_rate	55
4015	Arizona	Mohave	teen_birth_rate	60
4017	Arizona	Navajo	teen_birth_rate	69
4019	Arizona	Pima	teen_birth_rate	47
4021	Arizona	Pinal	teen_birth_rate	65
4023	Arizona	Santa Cruz	teen_birth_rate	59
4025	Arizona	Yavapai	teen_birth_rate	51
4027	Arizona	Yuma	teen_birth_rate	72
5001	Arkansas	Arkansas	teen_birth_rate	66
5003	Arkansas	Ashley	teen_birth_rate	67
5005	Arkansas	Baxter	teen_birth_rate	51
5007	Arkansas	Benton	teen_birth_rate	52
5009	Arkansas	Boone	teen_birth_rate	55
5011	Arkansas	Bradley	teen_birth_rate	77
5013	Arkansas	Calhoun	teen_birth_rate	44
5015	Arkansas	Carroll	teen_birth_rate	70
5017	Arkansas	Chicot	teen_birth_rate	75
5019	Arkansas	Clark	teen_birth_rate	30
5021	Arkansas	Clay	teen_birth_rate	65
5023	Arkansas	Cleburne	teen_birth_rate	51
5025	Arkansas	Cleveland	teen_birth_rate	52
5027	Arkansas	Columbia	teen_birth_rate	52
5029	Arkansas	Conway	teen_birth_rate	66
5031	Arkansas	Craighead	teen_birth_rate	51
5033	Arkansas	Crawford	teen_birth_rate	60
5035	Arkansas	Crittenden	teen_birth_rate	90
5037	Arkansas	Cross	teen_birth_rate	64
5039	Arkansas	Dallas	teen_birth_rate	69
5041	Arkansas	Desha	teen_birth_rate	87
5043	Arkansas	Drew	teen_birth_rate	48
5045	Arkansas	Faulkner	teen_birth_rate	36
5047	Arkansas	Franklin	teen_birth_rate	55
5049	Arkansas	Fulton	teen_birth_rate	51
5051	Arkansas	Garland	teen_birth_rate	57
5053	Arkansas	Grant	teen_birth_rate	48
5055	Arkansas	Greene	teen_birth_rate	66
5057	Arkansas	Hempstead	teen_birth_rate	78
5059	Arkansas	Hot Spring	teen_birth_rate	65
5061	Arkansas	Howard	teen_birth_rate	70
5063	Arkansas	Independence	teen_birth_rate	59
5065	Arkansas	Izard	teen_birth_rate	56
5067	Arkansas	Jackson	teen_birth_rate	78
5069	Arkansas	Jefferson	teen_birth_rate	70
5071	Arkansas	Johnson	teen_birth_rate	66
5073	Arkansas	Lafayette	teen_birth_rate	53
5075	Arkansas	Lawrence	teen_birth_rate	49
5077	Arkansas	Lee	teen_birth_rate	77
5079	Arkansas	Lincoln	teen_birth_rate	61
5081	Arkansas	Little River	teen_birth_rate	58
5083	Arkansas	Logan	teen_birth_rate	64
5085	Arkansas	Lonoke	teen_birth_rate	49
5087	Arkansas	Madison	teen_birth_rate	47
5089	Arkansas	Marion	teen_birth_rate	54
5091	Arkansas	Miller	teen_birth_rate	75
5093	Arkansas	Mississippi	teen_birth_rate	89
5095	Arkansas	Monroe	teen_birth_rate	72
5097	Arkansas	Montgomery	teen_birth_rate	52
5099	Arkansas	Nevada	teen_birth_rate	73
5101	Arkansas	Newton	teen_birth_rate	43
5103	Arkansas	Ouachita	teen_birth_rate	81
5105	Arkansas	Perry	teen_birth_rate	49
5107	Arkansas	Phillips	teen_birth_rate	94
5109	Arkansas	Pike	teen_birth_rate	51
5111	Arkansas	Poinsett	teen_birth_rate	84
5113	Arkansas	Polk	teen_birth_rate	68
5115	Arkansas	Pope	teen_birth_rate	48
5117	Arkansas	Prairie	teen_birth_rate	49
5119	Arkansas	Pulaski	teen_birth_rate	60
5121	Arkansas	Randolph	teen_birth_rate	57
5123	Arkansas	St. Francis	teen_birth_rate	97
5125	Arkansas	Saline	teen_birth_rate	39
5127	Arkansas	Scott	teen_birth_rate	76
5129	Arkansas	Searcy	teen_birth_rate	50
5131	Arkansas	Sebastian	teen_birth_rate	61
5133	Arkansas	Sevier	teen_birth_rate	79
5135	Arkansas	Sharp	teen_birth_rate	60
5137	Arkansas	Stone	teen_birth_rate	56
5139	Arkansas	Union	teen_birth_rate	71
5141	Arkansas	Van Buren	teen_birth_rate	60
5143	Arkansas	Washington	teen_birth_rate	47
5145	Arkansas	White	teen_birth_rate	50
5147	Arkansas	Woodruff	teen_birth_rate	82
5149	Arkansas	Yell	teen_birth_rate	83
6001	California	Alameda	teen_birth_rate	27
6003	California	Alpine	teen_birth_rate	
6005	California	Amador	teen_birth_rate	24
6007	California	Butte	teen_birth_rate	28
6009	California	Calaveras	teen_birth_rate	25
6011	California	Colusa	teen_birth_rate	51
6013	California	Contra Costa	teen_birth_rate	24
