FIPS	State	County	Variable	violent_crime_rate
1001	Alabama	Autauga	violent_crime_rate	300
1003	Alabama	Baldwin	violent_crime_rate	215
1005	Alabama	Barbour	violent_crime_rate	150
1007	Alabama	Bibb	violent_crime_rate	246
1009	Alabama	Blount	violent_crime_rate	102
1011	Alabama	Bullock	violent_crime_rate	386
1013	Alabama	Butler	violent_crime_rate	370
1015	Alabama	Calhoun	violent_crime_rate	725
1017	Alabama	Chambers	violent_crime_rate	583
1019	Alabama	Cherokee	violent_crime_rate	241
1021	Alabama	Chilton	violent_crime_rate	876
1023	Alabama	Choctaw	violent_crime_rate	117
1025	Alabama	Clarke	violent_crime_rate	491
1027	Alabama	Clay	violent_crime_rate	225
1029	Alabama	Cleburne	violent_crime_rate	293
1031	Alabama	Coffee	violent_crime_rate	341
1033	Alabama	Colbert	violent_crime_rate	439
1035	Alabama	Conecuh	violent_crime_rate	377
1037	Alabama	Coosa	violent_crime_rate	230
1039	Alabama	Covington	violent_crime_rate	293
1041	Alabama	Crenshaw	violent_crime_rate	257
1043	Alabama	Cullman	violent_crime_rate	187
1045	Alabama	Dale	violent_crime_rate	391
1047	Alabama	Dallas	violent_crime_rate	750
1049	Alabama	DeKalb	violent_crime_rate	126
1051	Alabama	Elmore	violent_crime_rate	143
1053	Alabama	Escambia	violent_crime_rate	516
1055	Alabama	Etowah	violent_crime_rate	401
1057	Alabama	Fayette	violent_crime_rate	134
1059	Alabama	Franklin	violent_crime_rate	241
1061	Alabama	Geneva	violent_crime_rate	323
1063	Alabama	Greene	violent_crime_rate	1143
1065	Alabama	Hale	violent_crime_rate	438
1067	Alabama	Henry	violent_crime_rate	333
1069	Alabama	Houston	violent_crime_rate	538
1071	Alabama	Jackson	violent_crime_rate	243
1073	Alabama	Jefferson	violent_crime_rate	727
1075	Alabama	Lamar	violent_crime_rate	56
1077	Alabama	Lauderdale	violent_crime_rate	204
1079	Alabama	Lawrence	violent_crime_rate	198
1081	Alabama	Lee	violent_crime_rate	320
1083	Alabama	Limestone	violent_crime_rate	118
1085	Alabama	Lowndes	violent_crime_rate	527
1087	Alabama	Macon	violent_crime_rate	813
1089	Alabama	Madison	violent_crime_rate	478
1091	Alabama	Marengo	violent_crime_rate	513
1093	Alabama	Marion	violent_crime_rate	178
1095	Alabama	Marshall	violent_crime_rate	285
1097	Alabama	Mobile	violent_crime_rate	612
1099	Alabama	Monroe	violent_crime_rate	534
1101	Alabama	Montgomery	violent_crime_rate	406
1103	Alabama	Morgan	violent_crime_rate	250
1105	Alabama	Perry	violent_crime_rate	622
1107	Alabama	Pickens	violent_crime_rate	268
1109	Alabama	Pike	violent_crime_rate	357
1111	Alabama	Randolph	violent_crime_rate	248
1113	Alabama	Russell	violent_crime_rate	451
1115	Alabama	St. Clair	violent_crime_rate	182
1117	Alabama	Shelby	violent_crime_rate	156
1119	Alabama	Sumter	violent_crime_rate	
1121	Alabama	Talladega	violent_crime_rate	370
1123	Alabama	Tallapoosa	violent_crime_rate	539
1125	Alabama	Tuscaloosa	violent_crime_rate	447
1127	Alabama	Walker	violent_crime_rate	212
1129	Alabama	Washington	violent_crime_rate	354
1131	Alabama	Wilcox	violent_crime_rate	193
1133	Alabama	Winston	violent_crime_rate	186
2013	Alaska	Aleutians East	violent_crime_rate	
2016	Alaska	Aleutians West	violent_crime_rate	332
2020	Alaska	Anchorage	violent_crime_rate	887
2050	Alaska	Bethel	violent_crime_rate	
2060	Alaska	Bristol Bay	violent_crime_rate	277
2068	Alaska	Denali	violent_crime_rate	
2070	Alaska	Dillingham	violent_crime_rate	1875
2090	Alaska	Fairbanks North Star	violent_crime_rate	
2100	Alaska	Haines	violent_crime_rate	401
2110	Alaska	Juneau	violent_crime_rate	426
2122	Alaska	Kenai Peninsula	violent_crime_rate	
2130	Alaska	Ketchikan Gateway	violent_crime_rate	385
2150	Alaska	Kodiak Island	violent_crime_rate	
2164	Alaska	Lake and Peninsula	violent_crime_rate	
2170	Alaska	Matanuska-Susitna	violent_crime_rate	
2180	Alaska	Nome	violent_crime_rate	
2185	Alaska	North Slope	violent_crime_rate	901
2188	Alaska	Northwest Arctic	violent_crime_rate	
2201	Alaska	Prince of Wales-Outer Ketchikan	violent_crime_rate	
2220	Alaska	Sitka	violent_crime_rate	240
2232	Alaska	Skagway-Hoonah-Angoon	violent_crime_rate	
2240	Alaska	Southeast Fairbanks	violent_crime_rate	
2261	Alaska	Valdez-Cordova	violent_crime_rate	570
2270	Alaska	Wade Hampton	violent_crime_rate	
2280	Alaska	Wrangell-Petersburg	violent_crime_rate	226
2282	Alaska	Yakutat	violent_crime_rate	
2290	Alaska	Yukon-Koyukuk	violent_crime_rate	
4001	Arizona	Apache	violent_crime_rate	75
4003	Arizona	Cochise	violent_crime_rate	564
4005	Arizona	Coconino	violent_crime_rate	372
4007	Arizona	Gila	violent_crime_rate	488
4009	Arizona	Graham	violent_crime_rate	1627
4011	Arizona	Greenlee	violent_crime_rate	276
4012	Arizona	La Paz	violent_crime_rate	402
4013	Arizona	Maricopa	violent_crime_rate	422
4015	Arizona	Mohave	violent_crime_rate	218
4017	Arizona	Navajo	violent_crime_rate	372
4019	Arizona	Pima	violent_crime_rate	463
4021	Arizona	Pinal	violent_crime_rate	238
4023	Arizona	Santa Cruz	violent_crime_rate	167
4025	Arizona	Yavapai	violent_crime_rate	330
4027	Arizona	Yuma	violent_crime_rate	388
5001	Arkansas	Arkansas	violent_crime_rate	366
5003	Arkansas	Ashley	violent_crime_rate	306
5005	Arkansas	Baxter	violent_crime_rate	111
5007	Arkansas	Benton	violent_crime_rate	241
5009	Arkansas	Boone	violent_crime_rate	317
5011	Arkansas	Bradley	violent_crime_rate	297
5013	Arkansas	Calhoun	violent_crime_rate	80
5015	Arkansas	Carroll	violent_crime_rate	261
5017	Arkansas	Chicot	violent_crime_rate	811
5019	Arkansas	Clark	violent_crime_rate	361
5021	Arkansas	Clay	violent_crime_rate	126
5023	Arkansas	Cleburne	violent_crime_rate	257
5025	Arkansas	Cleveland	violent_crime_rate	69
5027	Arkansas	Columbia	violent_crime_rate	445
5029	Arkansas	Conway	violent_crime_rate	292
5031	Arkansas	Craighead	violent_crime_rate	368
5033	Arkansas	Crawford	violent_crime_rate	249
5035	Arkansas	Crittenden	violent_crime_rate	1626
5037	Arkansas	Cross	violent_crime_rate	499
5039	Arkansas	Dallas	violent_crime_rate	358
5041	Arkansas	Desha	violent_crime_rate	819
5043	Arkansas	Drew	violent_crime_rate	429
5045	Arkansas	Faulkner	violent_crime_rate	301
5047	Arkansas	Franklin	violent_crime_rate	240
5049	Arkansas	Fulton	violent_crime_rate	245
5051	Arkansas	Garland	violent_crime_rate	629
5053	Arkansas	Grant	violent_crime_rate	206
5055	Arkansas	Greene	violent_crime_rate	272
5057	Arkansas	Hempstead	violent_crime_rate	495
5059	Arkansas	Hot Spring	violent_crime_rate	121
5061	Arkansas	Howard	violent_crime_rate	287
5063	Arkansas	Independence	violent_crime_rate	586
5065	Arkansas	Izard	violent_crime_rate	50
5067	Arkansas	Jackson	violent_crime_rate	583
5069	Arkansas	Jefferson	violent_crime_rate	1087
5071	Arkansas	Johnson	violent_crime_rate	197
5073	Arkansas	Lafayette	violent_crime_rate	257
5075	Arkansas	Lawrence	violent_crime_rate	190
5077	Arkansas	Lee	violent_crime_rate	350
5079	Arkansas	Lincoln	violent_crime_rate	132
5081	Arkansas	Little River	violent_crime_rate	145
5083	Arkansas	Logan	violent_crime_rate	254
