Latitude,Longitude,BactRelAbundance,FirmRelAbundance
32.749789,-117.1676501,0.6386,0.293
35.5638694,-97.4705935,0.4403,0.5431
30.2729209,-97.7443863,0.3345,0.6195
40.7519846,-73.9697795,0.4482,0.3874
41.9013,-87.6828,0.492,0.4489
37.7597481,-122.4750292,0.1791,0.803
43.0528506,-74.3437467,0.0388,0.9524
45.4618086,-122.7181902,0.3987,0.5735
33.7963,-118.118,0.5094,0.4587
42.6120387,-70.8803277,0.4917,0.4185
33.599722,-117.699444,0.2436,0.7301
47.1625441,-114.0847398,0.285,0.6761
36.0097,-80.2879,0.6114,0.3599
40.659437,-75.3995089,0.575,0.4093
35.1106,-80.7104,0.5288,0.3578
44.811349,-91.4984941,0.0268,0.9022
39.1495912,-84.3909991,0.5106,0.4578
42.4816448,-72.4849861,0.3824,0.524
32.749789,-117.1676501,0.2187,0.5724
42.9692,-77.5734,0.2606,0.2049
40.7656538,-73.0151084,0.7486,0.2215
39.7698,-105.015,0.5853,0.4116
33.8092255,-84.2805478,0.4939,0.4431
32.6986242,-97.3786689,0.2537,0.731
45.0123,-93.1641,0.4672,0.411
47.6849444,-122.2982224,0.0096,0.8927
47.6384586,-122.3674079,0.4108,0.3114
46.9753708,-123.8157218,0.332,0.5147
42.1867052,-86.2605776,0.0187,0.7582
36.9741171,-122.0307963,0.4422,0.5366
38.9388,-77.0967,0.1211,0.7481
40.0149856,-105.2705456,0.5596,0.4388
35.8987,-86.9624,0.4787,0.441
41.8498151,-73.9301365,0.6432,0.3353
35.5692059,-82.6159271,0.4239,0.5524
33.7047,-111.988,0.6266,0.3509
42.5294773,-83.7802214,0.2955,0.6377
40.451096,-79.9332613,0.5003,0.4748
44.6942291,-75.4863364,0.561,0.4349
41.4857101,-81.6966306,0.6591,0.281
37.7561438,-122.4325682,0.1961,0.7554
44.0637173,-123.0847061,0.3003,0.3345
40.0418,-105.348,0.3253,0.6117
33.7911,-111.809,0.7257,0.2483
40.799333,-74.414889,0.512,0.4476
37.277,-121.953,0.7215,0.2237
